cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_1	ann_3	ann_2	votes	conc_distance	conc_id
hoop/noun/nrc_handelsblad_20021005_224/16/L0	hoop/noun/nrc_handelsblad_20021005_224/16	L0	een	det	een/det	een	True	L	1	0.36697876	11075723	25530	FALSE	FALSE	FALSE	0	1	hoop/noun/nrc_handelsblad_20021005_224/16/L0
hoop/noun/nrc_handelsblad_20021005_224/16/L1	hoop/noun/nrc_handelsblad_20021005_224/16	L1	nog	adv	nog/adv	nog	True	L	2	0.69479424	1683041	5377	FALSE	FALSE	FALSE	0	2	hoop/noun/nrc_handelsblad_20021005_224/16/L1
hoop/noun/nrc_handelsblad_20021005_224/16/L2	hoop/noun/nrc_handelsblad_20021005_224/16	L2	er	adv	er/adv	er	True	L	3	0.8658729	1744977	6641	FALSE	FALSE	FALSE	0	3	hoop/noun/nrc_handelsblad_20021005_224/16/L2
hoop/noun/nrc_handelsblad_20021005_224/16/L3	hoop/noun/nrc_handelsblad_20021005_224/16	L3	toen	comp	toen/comp	toen	True	L	4	NA	NA	NA	FALSE	FALSE	FALSE	0	4	hoop/noun/nrc_handelsblad_20021005_224/16/L3
hoop/noun/nrc_handelsblad_20021005_224/16/L4	hoop/noun/nrc_handelsblad_20021005_224/16	L4	,	punct	,/punct	,	True	L	5	NA	NA	NA	FALSE	FALSE	FALSE	0	5	hoop/noun/nrc_handelsblad_20021005_224/16/L4
hoop/noun/nrc_handelsblad_20021005_224/16/L5	hoop/noun/nrc_handelsblad_20021005_224/16	L5	donderdag_middag	noun	donderdag_middag/noun	donderdagmiddag	True	L	6	0.7952639	1431	5	FALSE	FALSE	FALSE	0	6	hoop/noun/nrc_handelsblad_20021005_224/16/L5
hoop/noun/nrc_handelsblad_20021005_224/16/L6	hoop/noun/nrc_handelsblad_20021005_224/16	L6	vraag	noun	vraag/noun	vragen	True	L	7	-0.32446358	181894	210	FALSE	FALSE	FALSE	0	7	hoop/noun/nrc_handelsblad_20021005_224/16/L6
hoop/noun/nrc_handelsblad_20021005_224/16/L7	hoop/noun/nrc_handelsblad_20021005_224/16	L7	de	det	de/det	de	True	L	8	0.16304721	28074105	52673	FALSE	FALSE	FALSE	0	8	hoop/noun/nrc_handelsblad_20021005_224/16/L7
hoop/noun/nrc_handelsblad_20021005_224/16/L8	hoop/noun/nrc_handelsblad_20021005_224/16	L8	stel	verb	stel/verb	stelde	True	L	9	0.6428608	212176	644	FALSE	FALSE	FALSE	0	9	hoop/noun/nrc_handelsblad_20021005_224/16/L8
hoop/noun/nrc_handelsblad_20021005_224/16/L9	hoop/noun/nrc_handelsblad_20021005_224/16	L9	Rosenmöller	name	Rosenmöller/name	Rosenmöller	True	L	10	NA	NA	NA	FALSE	FALSE	FALSE	0	10	hoop/noun/nrc_handelsblad_20021005_224/16/L9
hoop/noun/nrc_handelsblad_20021005_224/16/L10	hoop/noun/nrc_handelsblad_20021005_224/16	L10	heer	noun	heer/noun	heer	True	L	11	NA	NA	NA	FALSE	FALSE	FALSE	0	11	hoop/noun/nrc_handelsblad_20021005_224/16/L10
hoop/noun/nrc_handelsblad_20021005_224/16/L11	hoop/noun/nrc_handelsblad_20021005_224/16	L11	de	det	de/det	De	True	L	12	0.16304721	28074105	52673	FALSE	FALSE	FALSE	0	12	hoop/noun/nrc_handelsblad_20021005_224/16/L11
hoop/noun/nrc_handelsblad_20021005_224/16/L12	hoop/noun/nrc_handelsblad_20021005_224/16	L12	""""	punct	"""/punct"	""""	True	L	13	NA	NA	NA	FALSE	FALSE	FALSE	0	13	hoop/noun/nrc_handelsblad_20021005_224/16/L12
hoop/noun/nrc_handelsblad_20021005_224/16/L13	hoop/noun/nrc_handelsblad_20021005_224/16	L13	sentence_delimiter	none	none	<sentence>	none	L	14	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_20021005_224/16/delimiter
hoop/noun/nrc_handelsblad_20021005_224/16/L14	hoop/noun/nrc_handelsblad_20021005_224/16	L14	sentence_delimiter	none	none	"<artikel naam=""224"">"	none	L	15	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_20021005_224/16/delimiter
hoop/noun/nrc_handelsblad_20021005_224/16/R0	hoop/noun/nrc_handelsblad_20021005_224/16	R0	rumoer	noun	rumoer/noun	rumoer	True	R	1	1.220553	1301	7	FALSE	TRUE	TRUE	2	1	hoop/noun/nrc_handelsblad_20021005_224/16/R0
hoop/noun/nrc_handelsblad_20021005_224/16/R1	hoop/noun/nrc_handelsblad_20021005_224/16	R1	ben	verb	ben/verb	was	True	R	2	0.033185802	9938754	16385	FALSE	FALSE	FALSE	0	2	hoop/noun/nrc_handelsblad_20021005_224/16/R1
hoop/noun/nrc_handelsblad_20021005_224/16/R2	hoop/noun/nrc_handelsblad_20021005_224/16	R2	.	punct	./punct	.	True	R	3	NA	NA	NA	FALSE	FALSE	FALSE	0	3	hoop/noun/nrc_handelsblad_20021005_224/16/R2
hoop/noun/nrc_handelsblad_20021005_224/16/R3	hoop/noun/nrc_handelsblad_20021005_224/16	R3	sentence_delimiter	none	none	</sentence>	none	R	4	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_20021005_224/16/delimiter
hoop/noun/nrc_handelsblad_20021005_224/16/R4	hoop/noun/nrc_handelsblad_20021005_224/16	R4	sentence_delimiter	none	none	</artikel>	none	R	5	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_20021005_224/16/delimiter
hoop/noun/nrc_handelsblad_20000225_23/51/L0	hoop/noun/nrc_handelsblad_20000225_23/51	L0	die	det	die/det	Die	True	L	1	0.32286173	1365392	3025	FALSE	FALSE	FALSE	0	1	hoop/noun/nrc_handelsblad_20000225_23/51/L0
hoop/noun/nrc_handelsblad_20000225_23/51/L1	hoop/noun/nrc_handelsblad_20000225_23/51	L1	sentence_delimiter	none	none	<sentence>	none	L	2	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_20000225_23/51/delimiter
hoop/noun/nrc_handelsblad_20000225_23/51/L2	hoop/noun/nrc_handelsblad_20000225_23/51	L2	sentence_delimiter	none	none	</sentence>	none	L	3	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_20000225_23/51/delimiter
hoop/noun/nrc_handelsblad_20000225_23/51/L3	hoop/noun/nrc_handelsblad_20000225_23/51	L3	.	punct	./punct	.	False	L	4	NA	NA	NA	FALSE	FALSE	FALSE	0	2	hoop/noun/nrc_handelsblad_20000225_23/51/L1
hoop/noun/nrc_handelsblad_20000225_23/51/L4	hoop/noun/nrc_handelsblad_20000225_23/51	L4	Croiset	name	Croiset/name	Croiset	False	L	5	NA	NA	NA	FALSE	FALSE	FALSE	0	3	hoop/noun/nrc_handelsblad_20000225_23/51/L2
hoop/noun/nrc_handelsblad_20000225_23/51/L5	hoop/noun/nrc_handelsblad_20000225_23/51	L5	Fassbinder/Jules	name	Fassbinder/Jules/name	Fassbinder/Jules	False	L	6	NA	NA	NA	FALSE	FALSE	FALSE	0	4	hoop/noun/nrc_handelsblad_20000225_23/51/L3
hoop/noun/nrc_handelsblad_20000225_23/51/L6	hoop/noun/nrc_handelsblad_20000225_23/51	L6	zaak	noun	zaak/noun	zaak	False	L	7	-0.010719643999999999	181886	287	FALSE	FALSE	FALSE	0	5	hoop/noun/nrc_handelsblad_20000225_23/51/L4
hoop/noun/nrc_handelsblad_20000225_23/51/L7	hoop/noun/nrc_handelsblad_20000225_23/51	L7	opgelaaid	adj	opgelaaid/adj	opgelaaide	False	L	8	NA	NA	NA	FALSE	FALSE	FALSE	0	6	hoop/noun/nrc_handelsblad_20000225_23/51/L5
hoop/noun/nrc_handelsblad_20000225_23/51/L8	hoop/noun/nrc_handelsblad_20000225_23/51	L8	weer	adv	weer/adv	weer	False	L	9	1.0435869	396780	1787	FALSE	FALSE	FALSE	0	7	hoop/noun/nrc_handelsblad_20000225_23/51/L6
hoop/noun/nrc_handelsblad_20000225_23/51/L9	hoop/noun/nrc_handelsblad_20000225_23/51	L9	de	det	de/det	de	False	L	10	0.16304721	28074105	52673	FALSE	FALSE	FALSE	0	8	hoop/noun/nrc_handelsblad_20000225_23/51/L7
hoop/noun/nrc_handelsblad_20000225_23/51/L10	hoop/noun/nrc_handelsblad_20000225_23/51	L10	over	prep	over/prep	over	False	L	11	-0.227607	1300877	1651	FALSE	FALSE	FALSE	0	9	hoop/noun/nrc_handelsblad_20000225_23/51/L8
hoop/noun/nrc_handelsblad_20000225_23/51/L11	hoop/noun/nrc_handelsblad_20000225_23/51	L11	vraag	verb	vraag/verb	gevraagd	False	L	12	NA	NA	NA	FALSE	FALSE	FALSE	0	10	hoop/noun/nrc_handelsblad_20000225_23/51/L9
hoop/noun/nrc_handelsblad_20000225_23/51/L12	hoop/noun/nrc_handelsblad_20000225_23/51	L12	word	verb	word/verb	wordt	False	L	13	-0.09748684	3486710	5045	FALSE	FALSE	FALSE	0	11	hoop/noun/nrc_handelsblad_20000225_23/51/L10
hoop/noun/nrc_handelsblad_20000225_23/51/L13	hoop/noun/nrc_handelsblad_20000225_23/51	L13	mening	noun	mening/noun	mening	False	L	14	NA	NA	NA	FALSE	FALSE	FALSE	0	12	hoop/noun/nrc_handelsblad_20000225_23/51/L11
hoop/noun/nrc_handelsblad_20000225_23/51/L14	hoop/noun/nrc_handelsblad_20000225_23/51	L14	wie	det	wie/det	wiens	False	L	15	NA	NA	NA	FALSE	FALSE	FALSE	0	13	hoop/noun/nrc_handelsblad_20000225_23/51/L12
hoop/noun/nrc_handelsblad_20000225_23/51/L15	hoop/noun/nrc_handelsblad_20000225_23/51	L15	echt_genoot	noun	echt_genoot/noun	echtgenoot	False	L	16	NA	NA	NA	FALSE	FALSE	FALSE	0	14	hoop/noun/nrc_handelsblad_20000225_23/51/L13
hoop/noun/nrc_handelsblad_20000225_23/51/R0	hoop/noun/nrc_handelsblad_20000225_23/51	R0	op	prep	op/prep	op	True	R	1	0.55719376	4502370	12511	TRUE	TRUE	TRUE	3	1	hoop/noun/nrc_handelsblad_20000225_23/51/R0
hoop/noun/nrc_handelsblad_20000225_23/51/R1	hoop/noun/nrc_handelsblad_20000225_23/51	R1	waai_over	verb	waai_over/verb	overwaaien	True	R	2	1.7695714	1601	15	FALSE	TRUE	TRUE	2	2	hoop/noun/nrc_handelsblad_20000225_23/51/R1
hoop/noun/nrc_handelsblad_20000225_23/51/R2	hoop/noun/nrc_handelsblad_20000225_23/51	R2	ben	verb	ben/verb	is	True	R	3	0.033185802	9938754	16385	FALSE	FALSE	FALSE	0	3	hoop/noun/nrc_handelsblad_20000225_23/51/R2
hoop/noun/nrc_handelsblad_20000225_23/51/R3	hoop/noun/nrc_handelsblad_20000225_23/51	R3	tevergeefs	adj	tevergeefs/adj	tevergeefs	True	R	4	1.3525018999999998	7312	45	TRUE	FALSE	TRUE	2	4	hoop/noun/nrc_handelsblad_20000225_23/51/R3
hoop/noun/nrc_handelsblad_20000225_23/51/R4	hoop/noun/nrc_handelsblad_20000225_23/51	R4	.	punct	./punct	.	True	R	5	NA	NA	NA	FALSE	FALSE	FALSE	0	5	hoop/noun/nrc_handelsblad_20000225_23/51/R4
hoop/noun/nrc_handelsblad_20000225_23/51/R5	hoop/noun/nrc_handelsblad_20000225_23/51	R5	sentence_delimiter	none	none	</sentence>	none	R	6	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_20000225_23/51/delimiter
hoop/noun/nrc_handelsblad_20000225_23/51/R6	hoop/noun/nrc_handelsblad_20000225_23/51	R6	sentence_delimiter	none	none	<sentence>	none	R	7	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_20000225_23/51/delimiter
hoop/noun/nrc_handelsblad_20000225_23/51/R7	hoop/noun/nrc_handelsblad_20000225_23/51	R7	na	prep	na/prep	Na	False	R	8	0.1263623	796990	1437	FALSE	FALSE	FALSE	0	6	hoop/noun/nrc_handelsblad_20000225_23/51/R5
hoop/noun/nrc_handelsblad_20000225_23/51/R8	hoop/noun/nrc_handelsblad_20000225_23/51	R8	twaalf	num	twaalf/num	twaalf	False	R	9	NA	NA	NA	FALSE	FALSE	FALSE	0	7	hoop/noun/nrc_handelsblad_20000225_23/51/R6
hoop/noun/nrc_handelsblad_20000225_23/51/R9	hoop/noun/nrc_handelsblad_20000225_23/51	R9	jaar	noun	jaar/noun	jaar	False	R	10	-0.39259890000000003	1574348	1693	FALSE	FALSE	FALSE	0	8	hoop/noun/nrc_handelsblad_20000225_23/51/R7
hoop/noun/nrc_handelsblad_20000225_23/51/R10	hoop/noun/nrc_handelsblad_20000225_23/51	R10	blijk	verb	blijk/verb	blijkt	False	R	11	0.18411276	279801	539	FALSE	FALSE	FALSE	0	9	hoop/noun/nrc_handelsblad_20000225_23/51/R8
hoop/noun/nrc_handelsblad_20000225_23/51/R11	hoop/noun/nrc_handelsblad_20000225_23/51	R11	de	det	de/det	de	False	R	12	0.16304721	28074105	52673	FALSE	FALSE	FALSE	0	10	hoop/noun/nrc_handelsblad_20000225_23/51/R9
hoop/noun/nrc_handelsblad_20000225_23/51/R12	hoop/noun/nrc_handelsblad_20000225_23/51	R12	kwestie	noun	kwestie/noun	kwestie	False	R	13	NA	NA	NA	FALSE	FALSE	FALSE	0	11	hoop/noun/nrc_handelsblad_20000225_23/51/R10
hoop/noun/nrc_handelsblad_20000225_23/51/R13	hoop/noun/nrc_handelsblad_20000225_23/51	R13	nog	adv	nog/adv	nog	False	R	14	0.69479424	1683041	5377	FALSE	FALSE	FALSE	0	12	hoop/noun/nrc_handelsblad_20000225_23/51/R11
hoop/noun/nrc_handelsblad_20000225_23/51/R14	hoop/noun/nrc_handelsblad_20000225_23/51	R14	steeds	adv	steeds/adv	steeds	False	R	15	0.11617543	252048	451	FALSE	FALSE	FALSE	0	13	hoop/noun/nrc_handelsblad_20000225_23/51/R12
hoop/noun/nrc_handelsblad_20000225_23/51/R15	hoop/noun/nrc_handelsblad_20000225_23/51	R15	niet	adv	niet/adv	niet	False	R	16	-0.084431656	3455007	5068	FALSE	FALSE	FALSE	0	14	hoop/noun/nrc_handelsblad_20000225_23/51/R13
hoop/noun/nrc_handelsblad_20020417_53/391/L0	hoop/noun/nrc_handelsblad_20020417_53/391	L0	tussen	prep	tussen/prep	tussen	True	L	1	0.23075402	409604	823	FALSE	FALSE	TRUE	1	1	hoop/noun/nrc_handelsblad_20020417_53/391/L0
hoop/noun/nrc_handelsblad_20020417_53/391/L1	hoop/noun/nrc_handelsblad_20020417_53/391	L1	Israëliër	noun	Israëliër/noun	Israëliërs	True	L	2	0.8858700999999999	3121	12	FALSE	FALSE	FALSE	0	2	hoop/noun/nrc_handelsblad_20020417_53/391/L1
hoop/noun/nrc_handelsblad_20020417_53/391/L2	hoop/noun/nrc_handelsblad_20020417_53/391	L2	de	det	de/det	de	True	L	3	0.16304721	28074105	52673	FALSE	FALSE	FALSE	0	3	hoop/noun/nrc_handelsblad_20020417_53/391/L2
hoop/noun/nrc_handelsblad_20020417_53/391/L3	hoop/noun/nrc_handelsblad_20020417_53/391	L3	hoe	adj	hoe/adj	Hoe	True	L	4	-0.40635875	327075	348	FALSE	FALSE	FALSE	0	4	hoop/noun/nrc_handelsblad_20020417_53/391/L3
hoop/noun/nrc_handelsblad_20020417_53/391/L4	hoop/noun/nrc_handelsblad_20020417_53/391	L4	sentence_delimiter	none	none	<sentence>	none	L	5	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_20020417_53/391/delimiter
hoop/noun/nrc_handelsblad_20020417_53/391/L5	hoop/noun/nrc_handelsblad_20020417_53/391	L5	sentence_delimiter	none	none	</sentence>	none	L	6	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_20020417_53/391/delimiter
hoop/noun/nrc_handelsblad_20020417_53/391/L6	hoop/noun/nrc_handelsblad_20020417_53/391	L6	.	punct	./punct	.	False	L	7	NA	NA	NA	FALSE	FALSE	FALSE	0	5	hoop/noun/nrc_handelsblad_20020417_53/391/L4
hoop/noun/nrc_handelsblad_20020417_53/391/L7	hoop/noun/nrc_handelsblad_20020417_53/391	L7	week	noun	week/noun	weken	False	L	8	-0.04255517	444591	677	FALSE	FALSE	FALSE	0	6	hoop/noun/nrc_handelsblad_20020417_53/391/L5
hoop/noun/nrc_handelsblad_20020417_53/391/L8	hoop/noun/nrc_handelsblad_20020417_53/391	L8	afgelopen	adj	afgelopen/adj	afgelopen	False	L	9	-0.14439541	144650	199	FALSE	FALSE	FALSE	0	7	hoop/noun/nrc_handelsblad_20020417_53/391/L6
hoop/noun/nrc_handelsblad_20020417_53/391/L9	hoop/noun/nrc_handelsblad_20020417_53/391	L9	de	det	de/det	de	False	L	10	0.16304721	28074105	52673	FALSE	FALSE	FALSE	0	8	hoop/noun/nrc_handelsblad_20020417_53/391/L7
hoop/noun/nrc_handelsblad_20020417_53/391/L10	hoop/noun/nrc_handelsblad_20020417_53/391	L10	als	prep	als/prep	als	False	L	11	-0.2658523	1263756	1549	FALSE	FALSE	FALSE	0	9	hoop/noun/nrc_handelsblad_20020417_53/391/L8
hoop/noun/nrc_handelsblad_20020417_53/391/L11	hoop/noun/nrc_handelsblad_20020417_53/391	L11	schrijf_voor	verb	schrijf_voor/verb	voorgeschreven	False	L	12	NA	NA	NA	FALSE	FALSE	FALSE	0	10	hoop/noun/nrc_handelsblad_20020417_53/391/L9
hoop/noun/nrc_handelsblad_20020417_53/391/L12	hoop/noun/nrc_handelsblad_20020417_53/391	L12	kalm_ring_pil	noun	kalm_ring_pil/noun	kalmeringspillen	False	L	13	NA	NA	NA	FALSE	FALSE	FALSE	0	11	hoop/noun/nrc_handelsblad_20020417_53/391/L10
hoop/noun/nrc_handelsblad_20020417_53/391/L13	hoop/noun/nrc_handelsblad_20020417_53/391	L13	voor	prep	voor/prep	voor	False	L	14	0.08963211	3806927	6617	FALSE	FALSE	FALSE	0	12	hoop/noun/nrc_handelsblad_20020417_53/391/L11
hoop/noun/nrc_handelsblad_20020417_53/391/L14	hoop/noun/nrc_handelsblad_20020417_53/391	L14	recept	noun	recept/noun	recepten	False	L	15	NA	NA	NA	FALSE	FALSE	FALSE	0	13	hoop/noun/nrc_handelsblad_20020417_53/391/L12
hoop/noun/nrc_handelsblad_20020417_53/391/L15	hoop/noun/nrc_handelsblad_20020417_53/391	L15	zoveel	det	zoveel/det	zoveel	False	L	16	NA	NA	NA	FALSE	FALSE	FALSE	0	14	hoop/noun/nrc_handelsblad_20020417_53/391/L13
hoop/noun/nrc_handelsblad_20020417_53/391/R0	hoop/noun/nrc_handelsblad_20020417_53/391	R0	en	vg	en/vg	en	True	R	1	NA	NA	NA	FALSE	FALSE	TRUE	1	1	hoop/noun/nrc_handelsblad_20020417_53/391/R0
hoop/noun/nrc_handelsblad_20020417_53/391/R1	hoop/noun/nrc_handelsblad_20020417_53/391	R1	wanhoop	noun	wanhoop/noun	wanhoop	True	R	2	3.200749	4911	192	TRUE	TRUE	TRUE	3	2	hoop/noun/nrc_handelsblad_20020417_53/391/R1
hoop/noun/nrc_handelsblad_20020417_53/391/R2	hoop/noun/nrc_handelsblad_20020417_53/391	R2	heen	adv	heen/adv	heen	True	R	3	1.4023496000000002	6904	45	FALSE	FALSE	FALSE	0	3	hoop/noun/nrc_handelsblad_20020417_53/391/R2
hoop/noun/nrc_handelsblad_20020417_53/391/R3	hoop/noun/nrc_handelsblad_20020417_53/391	R3	en	adv	en/adv	en	True	R	4	0.21192253	50456	100	FALSE	FALSE	FALSE	0	4	hoop/noun/nrc_handelsblad_20020417_53/391/R3
hoop/noun/nrc_handelsblad_20020417_53/391/R4	hoop/noun/nrc_handelsblad_20020417_53/391	R4	weer	adv	weer/adv	weer	True	R	5	1.0435869	396780	1787	FALSE	FALSE	FALSE	0	5	hoop/noun/nrc_handelsblad_20020417_53/391/R4
hoop/noun/nrc_handelsblad_20020417_53/391/R5	hoop/noun/nrc_handelsblad_20020417_53/391	R5	word	verb	word/verb	worden	True	R	6	-0.09748684	3486710	5045	FALSE	FALSE	FALSE	0	6	hoop/noun/nrc_handelsblad_20020417_53/391/R5
hoop/noun/nrc_handelsblad_20020417_53/391/R6	hoop/noun/nrc_handelsblad_20020417_53/391	R6	slinger	verb	slinger/verb	geslingerd	True	R	7	1.7156097	4843	43	FALSE	FALSE	FALSE	0	7	hoop/noun/nrc_handelsblad_20020417_53/391/R6
hoop/noun/nrc_handelsblad_20020417_53/391/R7	hoop/noun/nrc_handelsblad_20020417_53/391	R7	blijk	verb	blijk/verb	bleek	True	R	8	0.18411276	279801	539	FALSE	FALSE	FALSE	0	8	hoop/noun/nrc_handelsblad_20020417_53/391/R7
hoop/noun/nrc_handelsblad_20020417_53/391/R8	hoop/noun/nrc_handelsblad_20020417_53/391	R8	gisteren	adv	gisteren/adv	gisteren	True	R	9	0.01489411	320152	512	FALSE	FALSE	FALSE	0	9	hoop/noun/nrc_handelsblad_20020417_53/391/R8
