_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress
stof.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.2238058335520268	-0.15615044641426348	1	5000	5000	313	stof	NA	NA	BOW	bound	766	all	10_10	weight	all	4_4	0.27175880253415124
stof.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.19203525676275623	-0.004298520916616283	1	FOC	507	313	stof	NA	NA	BOW	bound	766	all	10_10	weight	nav	4_4	0.2115680305954284
stof.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.18267329608215868	-0.006187538150743909	1	FOC	766	313	stof	NA	NA	BOW	bound	766	all	10_10	weight	all	4_4	0.2050387835056259
stof.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.028629659168962478	-0.009461147865864168	1	5000	5000	313	stof	NA	NA	BOW	bound	766	all	10_10	selection	nav	4_4	0.24196279778185578
stof.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.5845866983697646	-0.038021448734291245	1	5000	5000	313	stof	NA	NA	BOW	bound	766	all	10_10	selection	all	4_4	0.2498068270462113
stof.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.15415576969046457	-0.005574956456493327	1	FOC	507	313	stof	NA	NA	BOW	bound	766	all	10_10	selection	nav	4_4	0.22271573891426621
stof.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.1435873231969982	-0.011090514785217432	1	FOC	766	313	stof	NA	NA	BOW	bound	766	all	10_10	selection	all	4_4	0.22214107308084272
stof.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.053204221777488125	-0.14455278447123845	1	5000	5000	313	stof	NA	NA	BOW	bound	1416	all	10_10	no	nav	4_4	0.23641886578863366
stof.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.652128028516142	-0.14893217703585754	1	5000	5000	313	stof	NA	NA	BOW	bound	1416	all	10_10	no	all	4_4	0.25063071318612573
stof.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.14454407635665223	-0.0546487367896675	1	FOC	870	313	stof	NA	NA	BOW	bound	1416	all	10_10	no	nav	4_4	0.2271293548103358
stof.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.12550648089949346	-0.08872217547488724	1	FOC	1416	313	stof	NA	NA	BOW	bound	1416	all	10_10	no	all	4_4	0.23008113613894968
stof.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16144320995475925	-0.04264427341856369	1	5000	5000	307	stof	NA	NA	BOW	bound	483	lex	5_5	weight	nav	4_4	0.2394137538244424
stof.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.1584338652622766	-0.2885180957793224	1	5000	5000	307	stof	NA	NA	BOW	bound	483	lex	5_5	weight	all	4_4	0.29038944134060507
stof.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.21171613331380307	-0.01963255669471694	1	FOC	375	307	stof	NA	NA	BOW	bound	483	lex	5_5	weight	nav	4_4	0.24819786764211632
stof.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.2072633169721213	-0.021616160374072445	1	FOC	483	307	stof	NA	NA	BOW	bound	483	lex	5_5	weight	all	4_4	0.24383317115763034
stof.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.15605288557250077	-0.07228930674107295	1	5000	5000	307	stof	NA	NA	BOW	bound	483	lex	5_5	selection	nav	4_4	0.23928065812660407
stof.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.21874756974782067	-0.34477181544158503	1	5000	5000	307	stof	NA	NA	BOW	bound	483	lex	5_5	selection	all	4_4	0.2805871420192542
stof.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.19909083335866642	-0.0273461996477794	1	FOC	375	307	stof	NA	NA	BOW	bound	483	lex	5_5	selection	nav	4_4	0.24149167128885185
stof.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.19588257459341746	-0.031011008899753747	1	FOC	483	307	stof	NA	NA	BOW	bound	483	lex	5_5	selection	all	4_4	0.23689790664318622
stof.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.1443581521427043	-0.0798653879290198	1	5000	5000	312	stof	NA	NA	BOW	bound	711	lex	5_5	no	nav	4_4	0.23756998519294303
stof.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	0.2761075671582416	-0.3791712569483256	1	5000	5000	312	stof	NA	NA	BOW	bound	711	lex	5_5	no	all	4_4	0.26832626554476124
stof.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.19265310039905806	-0.04546595930273343	1	FOC	542	312	stof	NA	NA	BOW	bound	711	lex	5_5	no	nav	4_4	0.23336519125075872
stof.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.19036340294568724	-0.05039007611407553	1	FOC	711	312	stof	NA	NA	BOW	bound	711	lex	5_5	no	all	4_4	0.228231656889325
stof.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.11260018047604121	-0.03145713107662794	1	5000	5000	313	stof	NA	NA	BOW	bound	583	all	5_5	weight	nav	4_4	0.2171019669285526
stof.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.2513471784492703	-0.13259920523842614	1	5000	5000	313	stof	NA	NA	BOW	bound	583	all	5_5	weight	all	4_4	0.27835871782105015
stof.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1816912352073916	0.0022652452580835722	1	FOC	375	313	stof	NA	NA	BOW	bound	583	all	5_5	weight	nav	4_4	0.23048457279637946
stof.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.1691541417678902	-2.5590573422652942e-5	1	FOC	583	313	stof	NA	NA	BOW	bound	583	all	5_5	weight	all	4_4	0.22350737347970728
stof.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.08562989473155123	0.06802350470751992	1	5000	5000	313	stof	NA	NA	BOW	bound	583	all	5_5	selection	nav	4_4	0.25642953784988626
stof.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.5128634259462085	0.05474238706804037	1	5000	5000	313	stof	NA	NA	BOW	bound	583	all	5_5	selection	all	4_4	0.2512423910360984
stof.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.12044788991861802	0.007300637830700689	1	FOC	375	313	stof	NA	NA	BOW	bound	583	all	5_5	selection	nav	4_4	0.23783172265613325
stof.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.10708169642102451	0.0036138844383882796	1	FOC	583	313	stof	NA	NA	BOW	bound	583	all	5_5	selection	all	4_4	0.23384768378919324
stof.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.049229640362668504	0.034565809456416595	1	5000	5000	313	stof	NA	NA	BOW	bound	896	all	5_5	no	nav	4_4	0.24761857242369217
stof.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.5719385561321467	0.011516868962778258	1	5000	5000	313	stof	NA	NA	BOW	bound	896	all	5_5	no	all	4_4	0.25064416640417064
stof.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.11614178950124365	-0.0092562373725734	1	FOC	542	313	stof	NA	NA	BOW	bound	896	all	5_5	no	nav	4_4	0.2313521164976851
stof.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.10027368885145516	-0.017049769234774945	1	FOC	896	313	stof	NA	NA	BOW	bound	896	all	5_5	no	all	4_4	0.22942447074869288
stof.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.14888753998543305	-0.02977711961722584	1	5000	5000	292	stof	NA	NA	BOW	bound	341	lex	3_3	weight	nav	4_4	0.2499485040353825
stof.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.16435698946251662	-0.28528142958929315	1	5000	5000	292	stof	NA	NA	BOW	bound	341	lex	3_3	weight	all	4_4	0.29830362233499663
stof.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.22175501984535614	0.017414560038280943	1	FOC	259	292	stof	NA	NA	BOW	bound	341	lex	3_3	weight	nav	4_4	0.2539350349648789
stof.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.21381829302809136	0.014108256590270254	1	FOC	341	292	stof	NA	NA	BOW	bound	341	lex	3_3	weight	all	4_4	0.2551782972424571
stof.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.13278106858721048	-0.06876111363757345	1	5000	5000	292	stof	NA	NA	BOW	bound	341	lex	3_3	selection	nav	4_4	0.243080353720678
stof.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.22646279374730427	-0.32235409389374664	1	5000	5000	292	stof	NA	NA	BOW	bound	341	lex	3_3	selection	all	4_4	0.2850930668527183
stof.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.20264656735017617	0.014394298026255326	1	FOC	259	292	stof	NA	NA	BOW	bound	341	lex	3_3	selection	nav	4_4	0.2459971184491708
stof.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.2025806639764561	0.011246385296527425	1	FOC	341	292	stof	NA	NA	BOW	bound	341	lex	3_3	selection	all	4_4	0.24490079985619564
stof.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.13586962221154664	-0.09954953924715779	1	5000	5000	307	stof	NA	NA	BOW	bound	455	lex	3_3	no	nav	4_4	0.23976151475486324
stof.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	0.2478557987587781	-0.3938942476179882	1	5000	5000	307	stof	NA	NA	BOW	bound	455	lex	3_3	no	all	4_4	0.26980105308897684
stof.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.21358122747899272	0.009503759000758527	1	FOC	341	307	stof	NA	NA	BOW	bound	455	lex	3_3	no	nav	4_4	0.2424400118355062
stof.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.21865190684117047	0.007159399762477637	1	FOC	455	307	stof	NA	NA	BOW	bound	455	lex	3_3	no	all	4_4	0.23659286430772414
stof.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.07269286591929525	-0.01325111701399133	1	5000	5000	312	stof	NA	NA	BOW	bound	418	all	3_3	weight	nav	4_4	0.22441424184557132
stof.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.2753850879986739	-0.09462333535335683	1	5000	5000	312	stof	NA	NA	BOW	bound	418	all	3_3	weight	all	4_4	0.28154662714268186
stof.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.18618459025024311	0.041829772934658706	1	FOC	259	312	stof	NA	NA	BOW	bound	418	all	3_3	weight	nav	4_4	0.23387842160196035
stof.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.16569819635045227	0.035644515358091614	1	FOC	418	312	stof	NA	NA	BOW	bound	418	all	3_3	weight	all	4_4	0.23819605295163354
stof.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.1273273861345376	0.15298361167724114	1	5000	5000	312	stof	NA	NA	BOW	bound	418	all	3_3	selection	nav	4_4	0.25003849989754223
stof.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.46860474539027747	0.1402741930861369	1	5000	5000	312	stof	NA	NA	BOW	bound	418	all	3_3	selection	all	4_4	0.2451033520657799
stof.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.10522388984646518	0.04618298395452202	1	FOC	259	312	stof	NA	NA	BOW	bound	418	all	3_3	selection	nav	4_4	0.2502769404793688
stof.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	-0.08685999352423569	0.039239395799359984	1	FOC	418	312	stof	NA	NA	BOW	bound	418	all	3_3	selection	all	4_4	0.24669158050381929
stof.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.09924838569456933	0.11069882722763601	1	5000	5000	312	stof	NA	NA	BOW	bound	590	all	3_3	no	nav	4_4	0.23181742397816454
stof.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.514637200482015	0.10424668993480295	1	5000	5000	312	stof	NA	NA	BOW	bound	590	all	3_3	no	all	4_4	0.22404941077694415
stof.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	-0.10806029191512366	0.029508210825272486	1	FOC	341	312	stof	NA	NA	BOW	bound	590	all	3_3	no	nav	4_4	0.24244404719657559
stof.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	-0.08674970542439092	0.02107077267089059	1	FOC	590	312	stof	NA	NA	BOW	bound	590	all	3_3	no	all	4_4	0.24013725857320722
stof.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1783819568777154	-0.05264460434611779	1	5000	5000	311	stof	NA	NA	BOW	nobound	747	lex	10_10	weight	nav	4_4	0.2262589703704509
stof.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.11181937574184249	-0.29514836580079035	1	5000	5000	311	stof	NA	NA	BOW	nobound	747	lex	10_10	weight	all	4_4	0.28238229895781164
stof.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.24119320128921873	-0.02784931246293477	1	FOC	579	311	stof	NA	NA	BOW	nobound	747	lex	10_10	weight	nav	4_4	0.2194462035973089
stof.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.24175965647759673	-0.03099156228056177	1	FOC	747	311	stof	NA	NA	BOW	nobound	747	lex	10_10	weight	all	4_4	0.21539596298560282
stof.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.1948232976500511	-0.09944770434165433	1	5000	5000	311	stof	NA	NA	BOW	nobound	747	lex	10_10	selection	nav	4_4	0.22405436290466577
stof.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.17895495705880918	-0.3873424823136746	1	5000	5000	311	stof	NA	NA	BOW	nobound	747	lex	10_10	selection	all	4_4	0.268151456308258
stof.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.2420317106781421	-0.0518162494748654	1	FOC	579	311	stof	NA	NA	BOW	nobound	747	lex	10_10	selection	nav	4_4	0.21541546440337708
stof.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.2422353912615486	-0.05404630532160087	1	FOC	747	311	stof	NA	NA	BOW	nobound	747	lex	10_10	selection	all	4_4	0.21058757989679322
stof.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.22814772208716286	-0.11934921435792417	1	5000	5000	313	stof	NA	NA	BOW	nobound	1452	lex	10_10	no	nav	4_4	0.2222080911103961
stof.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	0.18760454393867795	-0.6246295689798155	1	5000	5000	313	stof	NA	NA	BOW	nobound	1452	lex	10_10	no	all	4_4	0.25077110520331736
stof.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.24400138967872956	-0.07418561196299855	1	FOC	1112	313	stof	NA	NA	BOW	nobound	1452	lex	10_10	no	nav	4_4	0.20955890706782906
stof.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.24209848572846834	-0.07620099486687665	1	FOC	1452	313	stof	NA	NA	BOW	nobound	1452	lex	10_10	no	all	4_4	0.20951289752977634
stof.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.14251667646849692	-0.047028106614671154	1	5000	5000	313	stof	NA	NA	BOW	nobound	889	all	10_10	weight	nav	4_4	0.20833288877430167
stof.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	0.20306716983530934	-0.1735670247811388	1	5000	5000	313	stof	NA	NA	BOW	nobound	889	all	10_10	weight	all	4_4	0.26656353516538495
stof.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2172689077765761	-0.014658662070637322	1	FOC	579	313	stof	NA	NA	BOW	nobound	889	all	10_10	weight	nav	4_4	0.2098871837904447
stof.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.19571618312300848	-0.015811439313221466	1	FOC	889	313	stof	NA	NA	BOW	nobound	889	all	10_10	weight	all	4_4	0.19880091088434076
stof.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.035875661542305315	-0.10274293955199425	1	5000	5000	313	stof	NA	NA	BOW	nobound	889	all	10_10	selection	nav	4_4	0.2563128646134313
stof.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.6756420448669858	-0.09063587081071982	1	5000	5000	313	stof	NA	NA	BOW	nobound	889	all	10_10	selection	all	4_4	0.24666162640194364
stof.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.19150370603009864	-0.03804803236319986	1	FOC	579	313	stof	NA	NA	BOW	nobound	889	all	10_10	selection	nav	4_4	0.22864749219893785
stof.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.17501499926584127	-0.036835108440206696	1	FOC	889	313	stof	NA	NA	BOW	nobound	889	all	10_10	selection	all	4_4	0.22769504180017794
stof.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.17622947799214528	-0.19739995196609597	1	5000	5000	313	stof	NA	NA	BOW	nobound	1845	all	10_10	no	nav	4_4	0.25167597563520155
stof.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.6638000347449378	-0.26289052350252806	1	5000	5000	313	stof	NA	NA	BOW	nobound	1845	all	10_10	no	all	4_4	0.26182097530153636
stof.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.21552685411201014	-0.10154057220311974	1	FOC	1112	313	stof	NA	NA	BOW	nobound	1845	all	10_10	no	nav	4_4	0.23349590353834845
stof.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.20468568817449687	-0.13651940900149442	1	FOC	1845	313	stof	NA	NA	BOW	nobound	1845	all	10_10	no	all	4_4	0.2398573148943218
stof.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16865507778292516	-0.0464703964238752	1	5000	5000	310	stof	NA	NA	BOW	nobound	513	lex	5_5	weight	nav	4_4	0.2385130857412476
stof.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.14399967872124617	-0.2989423359765714	1	5000	5000	310	stof	NA	NA	BOW	nobound	513	lex	5_5	weight	all	4_4	0.29045933452389205
stof.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.21878506969310577	-0.02076489059505138	1	FOC	395	310	stof	NA	NA	BOW	nobound	513	lex	5_5	weight	nav	4_4	0.24620646044717673
stof.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.21344640751555846	-0.024366700517924934	1	FOC	513	310	stof	NA	NA	BOW	nobound	513	lex	5_5	weight	all	4_4	0.24520624876272307
stof.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.16468185186791776	-0.0845036585907236	1	5000	5000	310	stof	NA	NA	BOW	nobound	513	lex	5_5	selection	nav	4_4	0.2419513920381896
stof.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.21403715681325858	-0.35911065842500667	1	5000	5000	310	stof	NA	NA	BOW	nobound	513	lex	5_5	selection	all	4_4	0.278490513032963
stof.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.20512383738056025	-0.033673376741666185	1	FOC	395	310	stof	NA	NA	BOW	nobound	513	lex	5_5	selection	nav	4_4	0.23868107302118044
stof.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.20290309108697313	-0.037815653542723274	1	FOC	513	310	stof	NA	NA	BOW	nobound	513	lex	5_5	selection	all	4_4	0.23552150405348518
stof.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.15721030874792435	-0.09058464902063307	1	5000	5000	313	stof	NA	NA	BOW	nobound	799	lex	5_5	no	nav	4_4	0.24386481032782234
stof.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	0.28555117172843514	-0.4370754603218399	1	5000	5000	313	stof	NA	NA	BOW	nobound	799	lex	5_5	no	all	4_4	0.26822295974952026
stof.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.198088742666625	-0.050547798977294396	1	FOC	601	313	stof	NA	NA	BOW	nobound	799	lex	5_5	no	nav	4_4	0.2370672488270659
stof.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.19635940943478808	-0.05611347361276755	1	FOC	799	313	stof	NA	NA	BOW	nobound	799	lex	5_5	no	all	4_4	0.23287329202429466
stof.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.12081319208081293	-0.03444365426608057	1	5000	5000	313	stof	NA	NA	BOW	nobound	624	all	5_5	weight	nav	4_4	0.21529326844352892
stof.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.24110781854936414	-0.1465411805755865	1	5000	5000	313	stof	NA	NA	BOW	nobound	624	all	5_5	weight	all	4_4	0.27994042644760425
stof.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.18498336486610653	-1.3473301984951998e-4	1	FOC	395	313	stof	NA	NA	BOW	nobound	624	all	5_5	weight	nav	4_4	0.2318374935104759
stof.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.17202654364845912	-0.0023924082156989808	1	FOC	624	313	stof	NA	NA	BOW	nobound	624	all	5_5	weight	all	4_4	0.223715432910747
stof.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.08138684159056284	0.05190148761781815	1	5000	5000	313	stof	NA	NA	BOW	nobound	624	all	5_5	selection	nav	4_4	0.2579991493295098
stof.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.5522354754684634	0.04186975204028001	1	5000	5000	313	stof	NA	NA	BOW	nobound	624	all	5_5	selection	all	4_4	0.2578150957018474
stof.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1276571633592525	0.0032999791607686195	1	FOC	395	313	stof	NA	NA	BOW	nobound	624	all	5_5	selection	nav	4_4	0.23661557253099222
stof.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.11296911176589738	-1.8574584365452183e-4	1	FOC	624	313	stof	NA	NA	BOW	nobound	624	all	5_5	selection	all	4_4	0.23430570718585247
stof.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.0345624920071627	0.00936180225546489	1	5000	5000	313	stof	NA	NA	BOW	nobound	1016	all	5_5	no	nav	4_4	0.2625942092357336
stof.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.613660197078402	-0.02392905477550689	1	5000	5000	313	stof	NA	NA	BOW	nobound	1016	all	5_5	no	all	4_4	0.2733280173516213
stof.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.12637722485595387	-0.015184497208788577	1	FOC	601	313	stof	NA	NA	BOW	nobound	1016	all	5_5	no	nav	4_4	0.23682784841617668
stof.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.10388455328785819	-0.027479232221064635	1	FOC	1016	313	stof	NA	NA	BOW	nobound	1016	all	5_5	no	all	4_4	0.23733411427099715
stof.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.15327459268817287	-0.03145794409148798	1	5000	5000	294	stof	NA	NA	BOW	nobound	352	lex	3_3	weight	nav	4_4	0.2560574161170359
stof.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.15843734947465798	-0.29376060927725406	1	5000	5000	294	stof	NA	NA	BOW	nobound	352	lex	3_3	weight	all	4_4	0.2988006913929324
stof.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.22719728985585377	0.014323253342731632	1	FOC	269	294	stof	NA	NA	BOW	nobound	352	lex	3_3	weight	nav	4_4	0.25647781686084403
stof.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.22041608791049877	0.012787251736790513	1	FOC	352	294	stof	NA	NA	BOW	nobound	352	lex	3_3	weight	all	4_4	0.2571154851027602
stof.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.13948713029974733	-0.0704092721194067	1	5000	5000	294	stof	NA	NA	BOW	nobound	352	lex	3_3	selection	nav	4_4	0.2447050838430214
stof.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.22567815229857183	-0.33260513056554986	1	5000	5000	294	stof	NA	NA	BOW	nobound	352	lex	3_3	selection	all	4_4	0.2848534008911846
