id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw	genre	broad_genre
church/NN/br-d09/2040	-0.116668450743292	-0.286430556206246	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 alerted to their part in this dynamic process. If the <font color=green>church</font>  has followed the plan of cultivation of prospects and carried	3	1	3.00283072645646	0.333333333333333	2	religion	non-fiction
church/NN/br-d09/2174	0.0375869762134776	0.0155538811077971	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 members. The new members justifiably expect some things from their <font color=green>church</font>  family:	3	2	2.67522084599895	0.666666666666667	2	religion	non-fiction
church/NN/br-d09/724	0.0217103767423138	-0.0124899591746514	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 as well as the program and activities of the local <font color=green>church</font> . The lay leadership of the church may be invited to	5	2	2.71419453928046	0.4	4	religion	non-fiction
church/NN/br-d09/731	0.033736102169099	-0.0154802467179543	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 activities of the local church. The lay leadership of the <font color=green>church</font>  may be invited to speak on the various phases of	2	1	3.04980643417492	0.5	4	religion	non-fiction
church/NN/br-d09/742	0.0325313828689682	-0.0208359466291745	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 may be invited to speak on the various phases of <font color=green>church</font>  life, service opportunities, the church school, missions, men 's work	6	1	3.12002240667993	0.166666666666667	5	religion	non-fiction
church/NN/br-d09/775	-0.192863967686721	-0.0370971880561018	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 youth program, social activities, and finances. The budget of the <font color=green>church</font>  may be presented and pledges solicited at this session. An	5	1	2.15672885265988	0.2	1	religion	non-fiction
church/NN/br-d09/837	0.000597560214543778	0.0145409964755983	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 facilities and refreshments. The social time gives an opportunity for <font color=green>church</font>  leaders to become acquainted with the new members. In conducting	5	2	2.57091182457903	0.4	2	religion	non-fiction
church/NN/br-d09/935	0.163735319732466	-0.297233030135315	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 dramatization- for example, in discussing the Lord 's Supper or <font color=green>church</font>  symbolism. Use audio-visual aids. Some excellent filmstrips with recordings and	3	0	2.68655485046236	0	2	religion	non-fiction
church/NN/br-d10/1913	0.0788926703574925	-0.221390814695502	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 impressive Roman Catholic defense of the practical autonomy of both <font color=green>church</font>  and state. The failure at that time of the Puerto	2	0	3.87076524704997	0	2	religion	non-fiction
church/NN/br-d10/2166	0.0835480714313374	-0.192626889993343	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 the Christian claim is of considerable significance. The Roman Catholic <font color=green>Church</font>  has excommunicated one of its priests, Father Feeney, for insisting	6	3	3.62175803510946	0.5	3	religion	non-fiction
church/NN/br-d10/2187	0.139549858356067	-0.236048905980599	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 for insisting that there is no salvation outside the visible <font color=green>church</font> . In mentioning this under`` salvation reconsidered'' I do not mean	1	2	3.04769584717247	2	3	religion	non-fiction
church/NN/br-d12/1462	0.110316792817873	-0.0795817548064764	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 is discussed must surely be raised. The role of both <font color=green>church</font>  and university as sources of information and settings within which	3	0	2.15926268029823	0	2	religion	non-fiction
church/NN/br-d14/209	0.0275826534389289	-0.0808904362516768	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 of churches. Presumably those who did not have a formal <font color=green>church</font>  connexion had also felt the influence of Christianity to a	3	1	2.56932412987493	0.333333333333333	3	religion	non-fiction
church/NN/br-d16/1602	-0.0231092063669428	-0.142068752617013	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 1: 12, 13. You may be very religious, a good <font color=green>church</font>  member, an upright, honest and sincere person; you may be	4	1	2.45200299009866	0.25	2	religion	non-fiction
church/NN/br-d16/220	0.0731111075984431	-0.136235068808707	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 a short reading of the Holy Scriptures''. Since the Catholic <font color=green>Church</font>  expresses such desire that the Sacred Scriptures be read, the	4	3	3.25743495487461	0.75	5	religion	non-fiction
church/NN/br-d17/1073	0.436934157237951	-0.203084653414911	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 different, and something important: Ruth Peale, her wide experience in <font color=green>church</font>  work; Sidney Fields, years of experience as a New York	2	0	2.70214912119037	0	1	religion	non-fiction
church/NN/br-e13/272	0.140794829294817	-0.354731964598046	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 shifted religions- although the Patriarch, or Pope, of the Orthodox <font color=green>Church</font>  continued to live there, and still does- and became the	3	1	2.76828892369492	0.333333333333333	1	skill_and_hobbies	non-fiction
church/NN/br-f15/713	0.0788926703574925	-0.221390814695502	church	NN	B	B	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 permit birth control only for medical reasons. The Roman Catholic <font color=green>Church</font> , however, sanctions a much more liberal policy on family planning	5	2	3.87076524704997	0.4	2	popular_lore	fiction
church/NN/br-f15/754	0.0241771088293673	-0.123939257080787	church	NN	B	B	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 disagree over the methods to be used. The Roman Catholic <font color=green>Church</font>  sanctions only abstention or the rhythm method, also known as	1	0	3.21005704088164	0	4	popular_lore	fiction
church/NN/br-f15/882	0.0605601472130175	-0.256697995487559	church	NN	A	A	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 the teachings of the fathers and doctors of the early <font color=green>Church</font> , the unbroken tradition of nineteen centuries, the decisions of the	4	1	2.48060685124314	0.25	1	popular_lore	fiction
church/NN/br-f44/1076	0.0547477513897892	-0.0872904764090198	church	NN	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 and economic level of the congregation; the mission of the <font color=green>church</font>  is actually a process of informal co-optation; the lay ministry	5	2	2.87796569654453	0.4	3	popular_lore	fiction
church/NN/br-f44/2150	-0.0475057178585956	-0.0794769915308209	church	NN	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 will occupy our attention under the rubric of the organization <font color=green>church</font> . An understanding of the new role of residential association in	3	1	2.26309649185286	0.333333333333333	2	popular_lore	fiction
church/NN/br-f44/368	0.0701245306767351	0.0124027001397683	church	NN	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 they can lose higher- and lower status members from the <font color=green>church</font>  without collapsing, but they need adequate recruits for the core	3	1	2.81548636299412	0.333333333333333	2	popular_lore	fiction
church/NN/br-f44/667	0.448247661895977	-0.106588583566188	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 's Mission''; theologians have been stressing the fact that the <font color=green>Church</font>  does not exist for its own sake but as a	4	1	2.53325058472856	0.25	1	popular_lore	fiction
church/NN/br-f44/924	0.00242635409935905	-0.00944864628523633	church	NN	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 with friendly members the`` contacts with an organization of the <font color=green>church</font> ''( 11.2 per cent of the cases), then a substantial two	3	3	2.48861896209931	1	4	popular_lore	fiction
church/NN/br-f44/986	0.0520072333397648	0.00959891960081546	church	NN	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 people; the new people respond in kind by joining the <font color=green>church</font> . Missionary outreach by friendly contact looks somewhat different when one	4	2	2.27962118217019	0.5	3	popular_lore	fiction
church/NN/br-j57/2237	0.0291776169723637	-0.310126845281919	church	NN	A	A	AB	AB	church_father%1:18:00::	A	A	AB	AB	 which reached Christianity by the way of Stoicism through the <font color=green>Church</font>  Fathers of Late Antiquity.	3	1	3.06455473983809	0.333333333333333	1	learned	non-fiction
church/NN/br-j57/958	0.183370321226476	-0.220318708127953	church	NN	A	A	AB	AB	church_father%1:18:00::	A	A	AB	AB	 all possessions. This conception was taken up by the early <font color=green>Church</font>  Fathers and by canon lawyers and theologians in the Middle	5	1	2.45936813710958	0.2	2	learned	non-fiction
church/NN/br-k04/1076	0.0202516563194514	0.0740959369411716	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 There were two liquor saloons not very far from the <font color=green>church</font> , one white, that is conducted for white people with a	4	1	2.306659109428	0.25	3	fiction_gral	fiction
church/NN/br-k04/1117	0.302650110510443	0.0701706711795397	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 of gambling in both. On the other side of the <font color=green>church</font>  was a quiet, well-kept house with shutters and recently painted	4	0	2.9248928324193	0	2	fiction_gral	fiction
church/NN/br-k04/1419	-0.00874607366278314	0.160855768335975	church	NN	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 stress, and that was that the contribution to the general <font color=green>church</font>  expenses, the dollar money, had been seriously falling behind in	3	0	2.39623262207121	0	2	fiction_gral	fiction
church/NN/br-k04/1433	-0.0087460736627831	0.160855768335975	church	NN	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 the dollar money, had been seriously falling behind in this <font color=green>church</font> , and that must be looked after immediately. In fact, he	1	0	2.39623262207121	0	2	fiction_gral	fiction
church/NN/br-k04/1634	0.138323666110428	0.119853015252507	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 to colored folk. When it was proposed to rebuild the <font color=green>church</font> , Wilson found that the terms for a new mortgage were	2	0	2.25570003093811	0	2	fiction_gral	fiction
church/NN/br-k04/1874	0.321175282673748	-0.0365720089575857	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 were you I would just plan to repair the old <font color=green>church</font>  so it would last for five or ten years. By	3	2	2.4333179823306	0.666666666666667	2	fiction_gral	fiction
church/NN/br-k04/356	0.134046940800961	0.0532056460491864	church	NN	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 with the whites, especially the rich who partly supported the <font color=green>church</font> . The Deacon Board, headed by a black man named Carlson	7	2	2.21299464619528	0.285714285714286	3	fiction_gral	fiction
church/NN/br-k04/877	0.0471100008617389	0.0540717077346611	church	NN	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 never married, conducting a spotless home and devoted to her <font color=green>church</font> , but a perpetual dissenter and born critic. She soared over	2	1	2.36778958859435	0.5	4	fiction_gral	fiction
church/NN/br-k06/1473	0.0876999191574616	-0.399172019849444	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 hands tucked under his coattails, and staring into the dark <font color=green>church</font> . The figure was wreathed in an extraordinary luminescence. The boy	3	0	2.17387658382066	0	1	fiction_gral	fiction
church/NN/br-k06/528	0.323861825684699	0.107023156946155	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 his head out. There was the slate roof of the <font color=green>church</font> ; ivy climbed the red brick walls like a green scaled	5	1	2.63119105011092	0.2	2	fiction_gral	fiction
church/NN/br-k06/571	0.349046783915575	0.0354737222416426	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 cupboards.`` There 's a tower and a steeple on the <font color=green>church</font>  a million feet high. And the loudest clock in the	3	2	3.54448853810278	0.666666666666667	2	fiction_gral	fiction
church/NN/br-k06/659	-0.0710694169486571	-0.28727094046467	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 Street to Orange Square. The steeple leaned backward, while the <font color=green>church</font>  advanced like a headless creature in a long, shapeless coat	5	0	2.44838382062215	0	2	fiction_gral	fiction
church/NN/br-k06/852	0.277601491761142	-0.0215367892015728	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 Church with its high steeple and clock. There was no <font color=green>church</font>  like Drew Church, no preacher like Papa, who was intimate	3	1	2.73741353761488	0.333333333333333	3	fiction_gral	fiction
church/NN/br-k10/1445	0.3460743884559	-0.206862933325577	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 same:`` Anything that affects souls is the concern of the <font color=green>Church</font> ! We will have righteousness''! Tears burned behind his eyes as	3	1	2.92210286902256	0.333333333333333	2	fiction_gral	fiction
church/NN/br-k10/205	-0.168356636032406	-0.390041424001401	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 that the couple would have to be punished if the <font color=green>Church</font>  was to be respected.`` I have told you before, and	2	1	2.6476609359063	0.5	1	fiction_gral	fiction
church/NN/br-k10/257	0.0696029926446824	-0.337463778020708	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 is the answer the ungodly will always make when the <font color=green>Church</font>  points its fingers at their sins. I say to you	3	1	2.7401971888279	0.333333333333333	1	fiction_gral	fiction
church/NN/br-k10/271	0.133710097327976	-0.200896287081118	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 fingers at their sins. I say to you that the <font color=green>Church</font>  will ever decry evil''! John 's reply was like a	3	2	2.96531664020996	0.666666666666667	3	fiction_gral	fiction
church/NN/br-k10/588	0.17839854420165	-0.156565817731472	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 to let them give him the last rites of the <font color=green>Church</font> , but he had died still proclaiming salvation by faith. Burial	3	1	3.14526757564034	0.333333333333333	3	fiction_gral	fiction
church/NN/br-k10/967	0.35563050435539	0.0687149721260145	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 all the time. Quickening his steps, John entered the vast <font color=green>church</font>  and climbed the tower steps to the bells. Underneath the	6	2	3.2411776229471	0.333333333333333	2	fiction_gral	fiction
church/NN/br-k14/826	-0.0695673227790299	0.427019847322268	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 Jewish section was in Trastevere, near the Tiber at the <font color=green>church</font>  of San Francesco a Ripa. The colony had been small	4	0	2.61048193266455	0	1	fiction_gral	fiction
church/NN/br-k16/1431	0.504800991436928	0.0339108315471998	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 thickets. Along Wappinger Creek in Dutchess County, past the white <font color=green>church</font>  at Fishkill, past Verplanck 's Point on the east bank	6	1	3.08781160200236	0.166666666666667	1	fiction_gral	fiction
church/NN/br-k19/213	-0.000448088377845483	-0.178083532172693	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 of this desire was due to his devotion to the <font color=green>church</font>  and how much was his own ego, demanding to be	1	1	2.50316061121197	1	3	fiction_gral	fiction
church/NN/br-p01/21	0.207934465617678	0.00520134254058794	church	NN	D	D	DE	CDE	church_tower%1:06:00::	D	D	DE	CDE	 them he could have been the broken bell in the <font color=green>church</font>  tower which rang before and after Mass, and at noon	4	3	2.807689985914	0.75	4	fiction_romance	fiction
church/NN/br-p01/829	0.245316496403476	0.0844822409132136	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 to Drexel Street and his back in opposition to the <font color=green>church</font>  behind him. For all he saw or cared to see	5	1	2.68177012495429	0.2	2	fiction_romance	fiction
church/NN/br-p04/2406	0.483432106456763	-0.0315830230925427	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 sky. She felt mindless, walking, and almost easy until the <font color=green>church</font>  spire told her she was near the cemetery, and she	3	1	4.08578036489078	0.333333333333333	1	fiction_romance	fiction
church/NN/br-p06/425	0.183772467446781	0.0480933059669301	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 yellow moons.`` How do you do''? she said, semi-professionally.`` Our <font color=green>church</font>  is sponsoring a group of very courageous women up in	2	1	2.0519094416417	0.5	1	fiction_romance	fiction
church/NN/br-p12/1014	0.520198498550505	0.138932654385467	church	NN	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 Then they took a taxi to Trastevere.`` There 's a <font color=green>church</font>  you should see'', she said. And when they stood by	3	1	3.16101500602565	0.333333333333333	1	fiction_romance	fiction
church/NN/br-p12/1260	0.0976324457197693	-0.0339390998019924	church	NN	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 snuggled against him, he wondered if she ever went to <font color=green>church</font> . Why did he want her to go to church? he	2	0	2.78359622898791	0	2	fiction_romance	fiction
church/NN/br-r05/1163	0.193536310162814	0.150801650682214	church	NN	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 While Henry Morgan was escorting Miss Vera Green from the <font color=green>church</font>  social last Saturday night, a savage dog attacked them and	3	1	2.76445023800357	0.333333333333333	2	humor	fiction
church/NNP/br-a31/2143	0.081049815479163	0.0480758983796436	church	NNP	C	C	C	CDE	Z	Z	Z	Z	Z	 7: 45 p. m.. The outstanding family of Central Nazarene <font color=green>Church</font>  will be picked by ballot from among eight families during	3	1	3.0547421592996	0.333333333333333	5	press_reportage	press
church/NNP/br-a35/810	0.000235618004554072	0.113092278040837	church	NNP	A	A	AB	AB	Z	Z	Z	Z	Z	 deserves closer scrutiny. For while the past needs of the <font color=green>Church</font>  in this country may have been adequately met by collegiate	2	0	3.59058376317807	0	3	press_reportage	press
church/NNP/br-b08/1804	0.151132520813038	0.0378575940992562	church	NNP	C	C	C	CDE	Z	Z	Z	Z	Z	 his letter of resignation as rector of St. Luke 's <font color=green>Church</font>  in Atlanta. It was the cry of not just one	3	1	3.28241451335465	0.333333333333333	3	press_editorial	press
church/NNP/br-b12/2221	0.0517751673524496	-0.0226998662260483	church	NNP	B	B	AB	AB	Z	Z	Z	Z	Z	 committee made up of representatives of the Church of England, <font color=green>Church</font>  of Scotland, Methodist Church, Congregational Union, Baptist Union, Presbyterian Church	9	5	3.56915505064773	0.555555555555556	5	press_editorial	press
church/NNP/br-b22/1005	-0.0331247606392731	-0.012472911786313	church	NNP	A	A	AB	AB	Z	Z	Z	Z	Z	 concern itself directly only with the internal affairs of the <font color=green>Church</font> . As it has turned out, however, the excessive enthusiasm in	2	2	2.69351952681979	1	4	press_editorial	press
church/NNP/br-b22/1077	0.0377679296598338	-0.142408049838699	church	NNP	A	A	AB	AB	Z	Z	Z	Z	Z	 that Pope John sees the renewal and purification of the <font color=green>Church</font>  as an absolutely necessary step toward Christian unity. Far from	5	1	3.72546271408525	0.2	3	press_editorial	press
church/NNP/br-b22/1318	0.022869552602421	-0.042516301882403	church	NNP	B	B	AB	AB	Z	Z	Z	Z	Z	 as directly as anyone the new spirit that pervades the <font color=green>Church</font>  's stance toward the Protestant and Orthodox Churches. Noting all	3	1	3.31196183671407	0.333333333333333	5	press_editorial	press
church/NNP/br-d03/2022	0.08051071876908	-0.0724117118975783	church	NNP	B	B	AB	AB	group%1:03:00::	C	C	C	CDE	 comments were equally made by an Anglican parson, a Free <font color=green>Church</font>  minister and a Catholic priest. Catholic priests have frequently appeared	3	2	4.16712721836267	0.666666666666667	7	religion	non-fiction
church/NNP/br-d05/1515	0.178093800491587	-0.0976234108711213	church	NNP	C	C	C	CDE	Z	Z	Z	Z	Z	 the world-at-large, disguised as the minister of a`` twenty-eighth Congregational <font color=green>Church</font> '' which bore no resemblance to the Congregational polities descended from	2	3	4.41581460478317	1.5	6	religion	non-fiction
church/NNP/br-d05/207	-0.0151522550600272	-0.206754784598949	church	NNP	C	C	C	CDE	Z	Z	Z	Z	Z	 existed for their returning the Public Lecture to the First <font color=green>Church</font> , and so to suppress it, rather than let Parker use	2	1	3.12398000417923	0.5	2	religion	non-fiction
