,cw_count_c,cw_count_s,cws_c,cws_s
church/N/br-d03/110,5,6,discussion/N;hopeful/J;people/N;seem/V;various/J,discussion/N;hopeful/J;many/J;people/N;seem/V;various/J
church/N/br-d03/1342,3,4,hear/V;man/N;woman/N,hear/V;man/N;many/J;woman/N
church/N/br-d03/1472,6,6,be/V;catholic/J;faith/N;hear/V;of/N;onr/N,be/V;catholic/J;faith/N;hear/V;of/N;onr/N
church/N/br-d03/1883,4,4,england/N;protestant/J;successive/J;sunday/N,england/N;protestant/J;successive/J;sunday/N
church/N/br-d03/1908,6,6,church/N;clergyman/N;depict/V;england/N;observer/N;of/N,church/N;clergyman/N;depict/V;england/N;observer/N;of/N
church/N/br-d03/1913,5,5,church/N;england/N;nonconformist/N;of/N;rome/N,church/N;england/N;nonconformist/N;of/N;rome/N
church/N/br-d03/2335,5,5,catholic/N;christian/J;church/N;slough/N;unity/N,catholic/N;christian/J;church/N;slough/N;unity/N
church/N/br-d03/313,4,4,anglican/J;present/J;religious/J;roman/J,anglican/J;present/J;religious/J;roman/J
church/N/br-d03/35,4,4,anglican/J;communion/N;roman/J;urge/V,anglican/J;communion/N;roman/J;urge/V
church/N/br-d03/721,5,5,birmingham/N;catholic/J;morning/N;oratory/N;sunday/N,birmingham/N;catholic/J;morning/N;oratory/N;sunday/N
church/N/br-d03/779,6,6,attend/V;be/V;come/V;protestant/J;remark/N;side/N,attend/V;be/V;come/V;protestant/J;remark/N;side/N
church/N/br-d03/849,3,3,effective/J;membership/N;newspaper/N,effective/J;membership/N;newspaper/N
church/N/br-d03/862,3,3,england/N;of/N;statistic/N,england/N;of/N;statistic/N
church/N/br-d03/899,4,4,baptize/V;be/V;england/N;of/N,baptize/V;be/V;england/N;of/N
church/N/br-d03/945,5,5,be/V;england/N;last/J;month/N;of/N,be/V;england/N;last/J;month/N;of/N
church/N/br-d03/952,3,3,be/V;england/N;redundant/J,be/V;england/N;redundant/J
church/N/br-d03/971,4,5,anglican/J;be/V;demolish/V;have/V,anglican/J;be/V;demolish/V;further/J;have/V
church/N/br-d05/1163,3,3,have/V;pale/J;proclaim/V,have/V;pale/J;proclaim/V
church/N/br-d05/1536,4,4,be/V;explicit/J;make/V;unitarian/N,be/V;explicit/J;make/V;unitarian/N
church/N/br-d05/1935,4,4,catch/V;have/V;malaria/N;unitarian/N,catch/V;have/V;malaria/N;unitarian/N
church/N/br-d06/2048,4,4,american/N;attend/V;do/V;feel/V,american/N;attend/V;do/V;feel/V
church/N/br-d06/2174,4,4,ceremony/N;gnaw/N;join/V;relieve/V,ceremony/N;gnaw/N;join/V;relieve/V
church/N/br-d07/1408,5,5,be/V;entrance/N;have/V;up/V;wall/V,be/V;entrance/N;have/V;up/V;wall/V
church/N/br-d07/216,3,3,be/V;group/N;schedule/V,be/V;group/N;schedule/V
church/N/br-d09/1054,2,2,duty/N;join/V,duty/N;join/V
church/N/br-d09/1115,4,4,conviction/N;grow/V;leader/N;pastor/N,conviction/N;grow/V;leader/N;pastor/N
church/N/br-d09/1127,5,5,fellowship/N;include/V;need/V;preparatory/J;training/N,fellowship/N;include/V;need/V;preparatory/J;training/N
church/N/br-d09/1156,4,4,admission/N;easy/J;make/V;painless/J,admission/N;easy/J;make/V;painless/J
church/N/br-d09/1216,4,4,come/V;development/N;many/N;recent/J,come/V;development/N;many/N;recent/J
church/N/br-d09/1260,3,3,life/N;local/J;organization/N,life/N;local/J;organization/N
church/N/br-d09/129,3,3,christ/N;commitment/N;pastor/N,christ/N;commitment/N;pastor/N
church/N/br-d09/1297,2,2,be/V;fellowship/N,be/V;fellowship/N
church/N/br-d09/1404,3,3,mean/V;member/N;new/J,mean/V;member/N;new/J
church/N/br-d09/1436,4,4,atmosphere/N;member/N;new/J;receive/V,atmosphere/N;member/N;new/J;receive/V
church/N/br-d09/1641,4,4,be/V;family/N;guest/N;member/N,be/V;family/N;guest/N;member/N
church/N/br-d09/1708,5,5,be/V;difficult/J;evangelism/N;problem/N;program/N,be/V;difficult/J;evangelism/N;problem/N;program/N
church/N/br-d09/172,5,5,life/N;mean/V;neglect/N;paralysis/N;spiritual/J,life/N;mean/V;neglect/N;paralysis/N;spiritual/J
church/N/br-d09/1774,4,4,be/V;church/N;join/V;lose/V,be/V;church/N;join/V;lose/V
church/N/br-d09/1779,4,4,be/V;church/N;lose/V;year/N,be/V;church/N;lose/V;year/N
church/N/br-d09/181,5,5,death/N;have/V;paralysis/N;planned/J;spiritual/J,death/N;have/V;paralysis/N;planned/J;spiritual/J
church/N/br-d09/1910,6,6,active/J;drop/V;fact/N;local/J;many/N;membership/N,active/J;drop/V;fact/N;local/J;many/N;membership/N
church/N/br-d09/1946,6,6,have/V;increase/N;little/J;net/J;number/N;show/V,have/V;increase/N;little/J;net/J;number/N;show/V
church/N/br-d09/2026,5,5,alert/V;be/V;entire/J;local/J;membership/N,alert/V;be/V;entire/J;local/J;membership/N
church/N/br-d09/2040,5,5,dynamic/J;follow/V;have/V;plan/N;process/N,dynamic/J;follow/V;have/V;plan/N;process/N
church/N/br-d09/2084,4,4,christian/N;dedication/N;door/N;front/N,christian/N;dedication/N;door/N;front/N
church/N/br-d09/2131,2,2,find/V;unite/V,find/V;unite/V
church/N/br-d09/2155,5,5,certain/J;christian/N;effective/J;expect/V;thing/N,certain/J;christian/N;effective/J;expect/V;thing/N
church/N/br-d09/231,5,5,be/V;desire/V;experience/N;prepare/V;unite/V,be/V;desire/V;experience/N;prepare/V;unite/V
church/N/br-d09/39,4,4,be/V;dramatic/J;fatality/N;indictment/N,be/V;dramatic/J;fatality/N;indictment/N
church/N/br-d09/502,4,4,adult/N;necessary/J;none/N;require/V,adult/N;necessary/J;none/N;require/V
church/N/br-d09/515,4,4,be/V;instruct/V;join/V;need/V,be/V;instruct/V;join/V;need/V
church/N/br-d09/544,3,3,appreciation/N;devotion/N;great/J,appreciation/N;devotion/N;great/J
church/N/br-d09/559,6,6,find/V;hour/N;many/N;school/N;something/N;sunday/N,find/V;hour/N;many/N;school/N;something/N;sunday/N
church/N/br-d09/6,5,5,be/V;few/N;insincere/J;join/V;person/N,be/V;few/N;insincere/J;join/V;person/N
church/N/br-d09/724,4,4,activity/N;lay/J;leadership/N;local/J,activity/N;lay/J;leadership/N;local/J
church/N/br-d09/731,5,5,be/V;invite/V;lay/J;leadership/N;speak/V,be/V;invite/V;lay/J;leadership/N;speak/V
church/N/br-d09/775,4,4,be/V;budget/N;pledge/N;present/V,be/V;budget/N;pledge/N;present/V
church/N/br-d09/891,4,4,class/N;have/V;number/N;training/N,class/N;have/V;number/N;training/N
church/N/br-d09/935,5,6,aids/N;lord/N;supper/N;symbolism/N;use/V,aids/N;audio-visual/J;lord/N;supper/N;symbolism/N;use/V
church/N/br-d10/1095,5,5,center/N;have/V;local/J;mission/N;produce/V,center/N;have/V;local/J;mission/N;produce/V
church/N/br-d10/1913,4,4,autonomy/N;failure/N;practical/J;state/N,autonomy/N;failure/N;practical/J;state/N
church/N/br-d10/2114,3,3,council/N;say/V;world/N,council/N;say/V;world/N
church/N/br-d10/2187,3,3,mention/V;salvation/N;visible/J,mention/V;salvation/N;visible/J
church/N/br-d10/305,4,5,be/V;dispense/V;naive/J;suggestion/N,be/V;dispense/V;naive/J;ought/V;suggestion/N
church/N/br-d12/1462,3,3,role/N;source/N;university/N,role/N;source/N;university/N
church/N/br-d12/233,5,5,bring/V;help/V;insight/N;theological/J;university/N,bring/V;help/V;insight/N;theological/J;university/N
church/N/br-d14/1311,6,6,ancestry/N;christ/N;england/N;issue/V;jesus/N;latter/N,ancestry/N;christ/N;england/N;issue/V;jesus/N;latter/N
church/N/br-d14/1926,3,3,attack/V;deem/V;orthodox/J,attack/V;deem/V;orthodox/J
church/N/br-d14/199,4,4,be/V;do/V;member/N;minority/N,be/V;do/V;member/N;minority/N
church/N/br-d14/2203,2,2,believe/V;break/V,believe/V;break/V
church/N/br-d14/234,3,3,be/V;have/V;member/N,be/V;have/V;member/N
church/N/br-d14/457,5,5,be/V;discipline/N;exercise/V;lessen/V;trend/N,be/V;discipline/N;exercise/V;lessen/V;trend/N
church/N/br-d14/507,6,6,baptist/N;cognizance/N;frontier/N;majority/N;subscribe/V;take/V,baptist/N;cognizance/N;frontier/N;majority/N;subscribe/V;take/V
church/N/br-d16/1644,3,3,ceremony/N;have/V;sacrament/N,ceremony/N;have/V;sacrament/N
church/N/br-d16/1947,2,2,bible/N;laugh/V,bible/N;laugh/V
church/N/br-d17/569,5,5,find/V;meet/V;organization/N;philanthropic/J;want/V,find/V;meet/V;organization/N;philanthropic/J;want/V
church/N/br-e12/1082,7,7,building/N;century/N;great/N;mountain/N;smoky/N;spanish/J;th/N,building/N;century/N;great/N;mountain/N;smoky/N;spanish/J;th/N
church/N/br-e13/1916,4,5,complete/V;distance/N;irene/N;past/J,complete/V;distance/N;irene/N;past/J;st./N
church/N/br-e13/754,5,5,be/V;constantine/N;fourth/J;justinian/N;start/V,be/V;constantine/N;fourth/J;justinian/N;start/V
church/N/br-e13/808,3,3,eastern/J;empire/N;splendid/J,eastern/J;empire/N;splendid/J
church/N/br-f15/1245,4,4,prohibition/N;protestant/J;push/V;unite/V,prohibition/N;protestant/J;push/V;unite/V
church/N/br-f15/1425,5,5,be/V;christian/N;condemn/V;immoral/J;unnatural/J,be/V;christian/N;condemn/V;immoral/J;unnatural/J
church/N/br-f15/1720,7,7,artificial/J;birth/N;council/N;federal/N;method/N;of/N;ratify/V,artificial/J;birth/N;council/N;federal/N;method/N;of/N;ratify/V
church/N/br-f15/1887,5,6,council/N;national/J;of/N;organization/N;protestant/J,council/N;largest/J;national/J;of/N;organization/N;protestant/J
church/N/br-f15/1944,7,7,continence/N;contraception/N;hold/V;most/N;of/J;periodic/J;protestant/J,continence/N;contraception/N;hold/V;most/N;of/J;periodic/J;protestant/J
church/N/br-f15/1998,4,4,christian/N;civil/J;condemn/V;forbid/V,christian/N;civil/J;condemn/V;forbid/V
church/N/br-f15/776,4,4,be/V;consider/V;period/N;safe/J,be/V;consider/V;period/N;safe/J
church/N/br-f15/824,6,7,catholic/J;church/N;distinction/N;make/V;moral/J;orthodox/J,catholic/J;church/N;distinction/N;make/V;moral/J;most/J;orthodox/J
church/N/br-f15/862,4,4,be/V;ground/N;position/N;scriptural/J,be/V;ground/N;position/N;scriptural/J
church/N/br-f15/882,4,4,doctor/N;early/J;tradition/N;unbroken/J,doctor/N;early/J;tradition/N;unbroken/J
church/N/br-f44/1076,3,3,be/V;mission/N;process/N,be/V;mission/N;process/N
church/N/br-f44/1106,4,4,be/V;congregation/N;nucleus/N;strengthen/V,be/V;congregation/N;nucleus/N;strengthen/V
church/N/br-f44/1122,4,4,environs/N;pool/N;provide/V;sufficient/J,environs/N;pool/N;provide/V;sufficient/J
church/N/br-f44/1189,3,3,be/V;confine/V;proclamation/N,be/V;confine/V;proclamation/N
church/N/br-f44/1262,4,4,evident/J;make/V;recruitment/N;share/N,evident/J;make/V;recruitment/N;share/N
church/N/br-f44/1285,4,5,contemporary/J;economic/J;integration/N;mission/N,co-optation/N;contemporary/J;economic/J;integration/N;mission/N
church/N/br-f44/1427,5,5,denomination/N;fact/N;have/V;major/J;metropolitan/J,denomination/N;fact/N;have/V;major/J;metropolitan/J
church/N/br-f44/1616,5,5,be/V;become/V;denominational/J;evident/J;involved/J,be/V;become/V;denominational/J;evident/J;involved/J
church/N/br-f44/1681,5,5,force/N;have/V;lead/N;metropolitan/J;take/V,force/N;have/V;lead/N;metropolitan/J;take/V
church/N/br-f44/1800,3,5,decay/N;experience/V;suburb/N,decay/N;experience/V;middle-class/J;same/J;suburb/N
church/N/br-f44/1915,4,4,argue/V;be/V;projection/N;various/J,argue/V;be/V;projection/N;various/J
church/N/br-f44/2012,4,4,association/N;be/V;denominational/J;style/N,association/N;be/V;denominational/J;style/N
church/N/br-f44/2178,4,4,captivity/N;conformity/N;imprison/V;suburban/J,captivity/N;conformity/N;imprison/V;suburban/J
church/N/br-f44/2198,5,5,class/N;middle/N;social/J;turn/V;vehicle/N,class/N;middle/N;social/J;turn/V;vehicle/N
church/N/br-f44/343,5,5,area/N;have/V;high/J;metropolitan/J;recruit/V,area/N;have/V;high/J;metropolitan/J;recruit/V
church/N/br-f44/368,4,4,collapse/V;lower/J;member/N;status/N,collapse/V;lower/J;member/N;status/N
church/N/br-f44/647,3,3,circle/N;mission/N;theological/J,circle/N;mission/N;theological/J
church/N/br-f44/654,2,2,mission/N;theologian/N,mission/N;theologian/N
church/N/br-f44/667,4,4,do/V;exist/V;fact/N;stress/V,do/V;exist/V;fact/N;stress/V
church/N/br-f44/868,4,5,be/V;pittsburgh/N;study/N;study/V,be/V;one/J;pittsburgh/N;study/N;study/V
church/N/br-f44/890,4,5,member/N;new/J;percent/N;pittsburgh/N,60/J;member/N;new/J;percent/N;pittsburgh/N
church/N/br-f44/924,2,2,organization/N;percent/N,organization/N;percent/N
church/N/br-f44/986,4,4,friendly/J;join/V;missionary/N;outreach/N,friendly/J;join/V;missionary/N;outreach/N
church/N/br-g02/1539,3,3,breakup/N;claimant/N;loyalty/N,breakup/N;claimant/N;loyalty/N
church/N/br-g12/1270,5,5,classical/J;line/N;napoleon/N;ol/V;think/V,classical/J;line/N;napoleon/N;ol/V;think/V
church/N/br-g12/1806,3,3,bus/N;irish/J;pass/V,bus/N;irish/J;pass/V
church/N/br-g12/544,5,5,cafe/N;conversation/N;ensue/V;opposite/J;sidewalk/N,cafe/N;conversation/N;ensue/V;opposite/J;sidewalk/N
church/N/br-g13/1130,4,4,be/V;museum/N;state/N;temple/N,be/V;museum/N;state/N;temple/N
church/N/br-h17/1199,4,4,administrative/J;defense/N;home/N;kill/V,administrative/J;defense/N;home/N;kill/V
church/N/br-k01/769,6,7,child/N;house/N;rachel/N;ragged/J;row/N;storefront/N,child/N;house/N;peeling/J;rachel/N;ragged/J;row/N;storefront/N
church/N/br-k04/1076,3,3,far/J;one/N;white/N,far/J;one/N;white/N
church/N/br-k04/1117,4,5,be/V;other/J;quiet/J;side/N,be/V;other/J;quiet/J;side/N;well-kept/J
church/N/br-k04/1145,3,3,be/V;carlson/N;deacon/N,be/V;carlson/N;deacon/N
church/N/br-k04/1353,4,4,better/J;home/N;negro/N;occur/V,better/J;home/N;negro/N;occur/V
church/N/br-k04/1433,2,2,be/V;fall/V,be/V;fall/V
church/N/br-k04/1485,4,5,better/J;businesslike/J;conduct/N;have/V,better/J;businesslike/J;conduct/N;have/V;more/J
church/N/br-k04/1530,4,4,give/N;move/V;old/J;river/N,give/N;move/V;old/J;river/N
church/N/br-k04/1578,5,5,be/V;declare/V;interest/N;mortgage/N;old/J,be/V;declare/V;interest/N;mortgage/N;old/J
church/N/br-k04/1634,5,5,be/V;find/V;propose/V;rebuild/V;wilson/N,be/V;find/V;propose/V;rebuild/V;wilson/N
church/N/br-k04/1685,5,5,be/V;meet/V;opposition/N;remove/V;unanimous/J,be/V;meet/V;opposition/N;remove/V;unanimous/J
church/N/br-k04/1807,4,4,invest/V;store/N;tenement/N;white/N,invest/V;store/N;tenement/N;white/N
church/N/br-k04/1874,4,4,last/V;old/J;plan/V;repair/N,last/V;old/J;plan/V;repair/N
church/N/br-k04/356,4,4,board/N;deacon/N;rich/J;support/V,board/N;deacon/N;rich/J;support/V
church/N/br-k04/397,4,4,be/V;characteristic/J;corner/N;thing/N,be/V;characteristic/J;corner/N;thing/N
church/N/br-k04/828,5,5,catt/N;member/N;name/V;old/J;woman/N,catt/N;member/N;name/V;old/J;woman/N
church/N/br-k04/877,5,5,devoted/J;dissenter/N;home/N;perpetual/J;to/J,devoted/J;dissenter/N;home/N;perpetual/J;to/J
church/N/br-k04/923,4,4,condition/N;look/V;study/V;wilson/N,condition/N;look/V;study/V;wilson/N
church/N/br-k04/975,4,4,be/V;nothing/N;repair/V;say/V,be/V;nothing/N;repair/V;say/V
church/N/br-k06/1389,4,4,all/J;be/V;pull/V;slip/V,all/J;be/V;pull/V;slip/V
church/N/br-k06/1473,4,5,be/V;dark/J;figure/N;stare/V,be/V;dark/J;figure/N;stare/V;wreathed/J
church/N/br-k06/1925,4,4,church/N;draw/N;other/J;steeple/N,church/N;draw/N;other/J;steeple/N
church/N/br-k06/528,5,5,climb/V;ivy/N;red/J;roof/N;slate/N,climb/V;ivy/N;red/J;roof/N;slate/N
church/N/br-k06/571,5,5,a/J;foot/N;high/J;million/N;steeple/N,a/J;foot/N;high/J;million/N;steeple/N
church/N/br-k06/659,4,4,advance/V;creature/N;headless/J;lean/V,advance/V;creature/N;headless/J;lean/V
church/N/br-k06/852,4,4,be/V;church/N;clock/N;draw/N,be/V;church/N;clock/N;draw/N
church/N/br-k10/1422,3,3,be/V;concern/N;john/N,be/V;concern/N;john/N
church/N/br-k10/1444,4,4,be/V;concern/N;have/V;righteousness/N,be/V;concern/N;have/V;righteousness/N
church/N/br-k10/1801,5,5,be/V;bishop/N;have/V;of/N;rome/N,be/V;bishop/N;have/V;of/N;rome/N
church/N/br-k10/205,3,3,be/V;punish/V;respect/V,be/V;punish/V;respect/V
church/N/br-k10/257,3,3,finger/N;make/V;point/V,finger/N;make/V;point/V
church/N/br-k10/271,3,3,decry/V;evil/N;say/V,decry/V;evil/N;say/V
church/N/br-k10/561,3,3,be/V;canon/N;reconcile/V,be/V;canon/N;reconcile/V
church/N/br-k10/588,4,4,die/V;have/V;last/N;rite/N,die/V;have/V;last/N;rite/N
church/N/br-k10/967,5,6,climb/V;enter/V;john/N;tower/N;vast/J,climb/V;enter/V;john/N;steps/N;tower/N;vast/J
church/N/br-k13/533,5,5,ask/V;be/V;sculpture/N;stone/N;wall/N,ask/V;be/V;sculpture/N;stone/N;wall/N
church/N/br-k14/1113,3,3,be/V;get/V;trouble/N,be/V;get/V;trouble/N
church/N/br-k14/825,5,6,a/N;francesco/N;near/J;san/N;tiber/N,a/N;francesco/N;near/J;ripa/N;san/N;tiber/N
church/N/br-k15/188,6,6,box/N;bury/V;crossroads/N;little/J;morning/N;next/J,box/N;bury/V;crossroads/N;little/J;morning/N;next/J
church/N/br-k16/1429,4,5,county/N;fishkill/N;past/J;white/J,county/N;fishkill/N;past/J;verplanck/N;white/J
church/N/br-k16/2294,4,5,spur/N;steeple/N;thin/J;white/J,spur/N;steeple/N;thin/J;white/J;yes/N
church/N/br-k19/168,2,2,ambition/N;hierarchy/N,ambition/N;hierarchy/N
church/N/br-k19/213,2,3,be/V;devotion/N,be/V;devotion/N;much/J
church/N/br-k25/80,3,3,brazil/N;county/N;pennsylvania/N,brazil/N;county/N;pennsylvania/N
church/N/br-l08/1824,2,2,be/V;go/V,be/V;go/V
church/N/br-l08/2109,4,5,different/J;go/V;one/N;place/N,different/J;go/V;one/N;place/N;same/J
church/N/br-m01/1680,6,6,announce/V;conclave/N;major/N;miracle/N;second/J;secret/J,announce/V;conclave/N;major/N;miracle/N;second/J;secret/J
church/N/br-m01/232,3,3,turn/V;up/V;word/N,turn/V;up/V;word/N
church/N/br-m01/2358,4,5,follow/V;mike/N;period/N;trip/N,follow/V;ill-starred/J;mike/N;period/N;trip/N
church/N/br-m01/263,2,2,take/V;worship/N,take/V;worship/N
church/N/br-p01/1161,2,2,be/V;top/N,be/V;top/N
church/N/br-p01/222,4,5,command/V;go/V;saturday/N;sunday/N,command/V;go/V;one/J;saturday/N;sunday/N
church/N/br-p01/829,2,2,back/N;opposition/N,back/N;opposition/N
church/N/br-p03/76,3,3,everybody/N;have/V;seem/V,everybody/N;have/V;seem/V
church/N/br-p03/933,3,3,do/V;hear/V;sunday/N,do/V;hear/V;sunday/N
church/N/br-p04/2429,4,5,be/V;graveyard/N;say/V;small/J,be/V;doaty/N;graveyard/N;say/V;small/J
church/N/br-p04/983,3,3,be/V;cemetery/N;slumber/V,be/V;cemetery/N;slumber/V
church/N/br-p06/425,3,3,be/V;group/N;sponsor/V,be/V;group/N;sponsor/V
church/N/br-p09/150,3,3,big/J;car/N;fellowship/N,big/J;car/N;fellowship/N
church/N/br-p12/1014,2,2,be/V;see/V,be/V;see/V
church/N/br-p12/1063,3,3,dinner/N;have/V;tell/V,dinner/N;have/V;tell/V
church/N/br-p12/1141,2,2,obelisk/N;top/N,obelisk/N;top/N
church/N/br-p12/1260,3,3,do/V;go/V;want/V,do/V;go/V;want/V
church/N/br-p12/1270,3,3,go/V;want/V;wonder/V,go/V;want/V;wonder/V
church/N/br-p12/1309,4,4,feeling/N;have/V;mother/N;poor/J,feeling/N;have/V;mother/N;poor/J
church/N/br-p12/1433,3,3,bad/J;be/V;need/V,bad/J;be/V;need/V
church/N/br-p12/1559,3,4,get/V;go/V;up/V,get/V;go/V;half-hour/N;up/V
