id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	text	sensekey	wnsense	wnbroad	wn3	wn2
church/NN/br-a31/2241	0.227387492566222	-0.271361524670374	church	NN	C	C	C	CDE	 40 and 11 a. m. Sunday. New officers of the <font color=green>church</font>  will be ordained and installed at the 7: 30 p.	Z	Z	Z	Z	Z
church/NN/br-a31/2280	-0.099222672856247	0.0519587718184108	church	NN	C	C	C	CDE	 held at 6: 15 p. m. Monday and the annual <font color=green>church</font>  picnic at 4 p. m. next Saturday. The week will	Z	Z	Z	Z	Z
church/NN/br-b08/1866	0.000222308795591307	0.0181915779710641	church	NN	D	D	DE	CDE	 wrote after almost a decade of service to this majestic <font color=green>church</font> .`` Such a church needs vigor and vitality in its rector	Z	Z	Z	Z	Z
church/NN/br-b08/1871	0.0110482963738154	0.0849157826190764	church	NN	C	C	C	CDE	 a decade of service to this majestic church.`` Such a <font color=green>church</font>  needs vigor and vitality in its rector and one man	Z	Z	Z	Z	Z
church/NN/br-b08/1912	0.0506769804159606	-0.0350895291648825	church	NN	C	C	C	CDE	 stay`` beyond the time that his leadership should benefit'' his <font color=green>church</font> , he wrote,`` for he becomes ordinary''. And so the young	Z	Z	Z	Z	Z
church/NN/br-b08/2063	-0.0712007504173689	-0.123864050012324	church	NN	C	C	C	CDE	 gives himself to God and to the believers of his <font color=green>church</font>  takes upon himself a life of giving. He does not	Z	Z	Z	Z	Z
church/NN/br-b08/2245	0.0445245019200247	-0.23289627722422	church	NN	E	E	DE	CDE	 them to bestow saintliness upon us in return for ostentatious <font color=green>church</font>  attendance and a few bucks a week, American cash. If	Z	Z	Z	Z	Z
church/NN/br-b08/2363	-0.0712744541466308	0.00926279252902938	church	NN	D	D	DE	CDE	 through him. But how little love we give him. The <font color=green>church</font>  truly is not a rest home for saints, but a	Z	Z	Z	Z	Z
church/NN/br-b08/834	-0.0487629810047885	-0.0155652590147357	church	NN	D	D	DE	CDE	 agreement. I settled it tonight'', he continued.`` I leave this <font color=green>church</font>  with a feeling that a great weight has been lifted	Z	Z	Z	Z	Z
church/NN/br-b12/2009	0.05831388785493	0.0321516044518036	church	NN	A	A	AB	AB	 new version retains, however, the old phrase`` angel of the <font color=green>church</font> '' which Biblical scholars have previously interpreted as meaning bishop. This	Z	Z	Z	Z	Z
church/NN/br-b12/2115	0.123407713402488	0.140988810962184	church	NN	A	A	AB	AB	 and Greek and other ancient writings, some by the early <font color=green>church</font>  fathers, in themselves called for a restudy of the Bible	Z	Z	Z	Z	Z
church/NN/br-b12/2217	0.026584723930457	0.0310746328257139	church	NN	B	B	AB	AB	 of a joint committee made up of representatives of the <font color=green>Church</font>  of England, Church of Scotland, Methodist Church, Congregational Union, Baptist	Z	Z	Z	Z	Z
church/NN/br-b12/2226	0.0138131788727725	0.160442565338035	church	NN	B	B	AB	AB	 representatives of the Church of England, Church of Scotland, Methodist <font color=green>Church</font> , Congregational Union, Baptist Union, Presbyterian Church of England, Churches in	Z	Z	Z	Z	Z
church/NN/br-b12/2235	0.024118977452651	0.122744674784079	church	NN	B	B	AB	AB	 Church of Scotland, Methodist Church, Congregational Union, Baptist Union, Presbyterian <font color=green>Church</font>  of England, Churches in Wales, Churches in Ireland, Society of	Z	Z	Z	Z	Z
church/NN/br-b15/1190	-0.18902979495541	0.364580690685325	church	NN	C	C	C	CDE	 El; Rev. DeWitt Clemens, pastor of the Mathewson Street Methodist <font color=green>Church</font> ; Mr. Felix Miranda, of the Imperial Knife Co.; and to	Z	Z	Z	Z	Z
church/NN/br-b18/1829	0.0412396187765024	-0.0573092910301448	church	NN	C	C	C	CDE	 the Women 's Association of the Trumbull Ave. United Presbyterian <font color=green>Church</font> , considerable use was made of material from The Detroit News	Z	Z	Z	Z	Z
church/NN/br-b24/1259	0.0211941177471787	-0.0500645925733837	church	NN	C	C	C	CDE	 or less native. Sometimes they get their initial experience in <font color=green>church</font>  haflis, conducted by Lebanese and Syrians in the U. S.	Z	Z	Z	Z	Z
church/NN/br-d01/1628	0.0166952819623206	-0.200164765989332	church	NN	B	B	AB	AB	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who	church%1:14:00::	B	B	AB	AB
church/NN/br-d02/1641	0.231246224883886	-0.0572857376441898	church	NN	B	B	AB	AB	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity	church%1:14:00::	B	B	AB	AB
church/NN/br-d02/706	-0.00231523523280787	-0.012093130515512	church	NN	A	A	AB	AB	 there tends to be an almost complete indifference to the <font color=green>church</font>  and its traditional message of sin and grace. To be	church%1:14:00::	B	B	AB	AB
church/NN/br-d02/786	0.0730542723708742	-0.214295334874606	church	NN	A	A	AB	AB	 longer afford the luxury of such smug indignation? Can the <font color=green>church</font>  risk assuming that the`` folly'' of men is as dear	church%1:14:00::	B	B	AB	AB
church/NN/br-d02/877	0.104740850429929	0.0665063666299559	church	NN	A	A	AB	AB	 precarious? There is an ancient and venerable tradition in the <font color=green>church</font> ( which derives, however, from the heritage of the Greeks rather	church%1:14:00::	B	B	AB	AB
church/NN/br-d02/923	0.165733062500006	-0.0648349356569279	church	NN	A	A	AB	AB	 for accomplishing his work in the world. by analogy, the <font color=green>church</font>  also has been regarded as entirely independent of the`` world	church%1:14:00::	B	B	AB	AB
church/NN/br-d02/949	0.0192954662053332	-0.140184794037774	church	NN	A	A	AB	AB	 of requiring nothing from it in order to be the <font color=green>church</font> . But, as Scripture everywhere reminds us, God does have need	church%1:14:00::	B	B	AB	AB
church/NN/br-d02/969	-0.0980712149579266	-0.162741375168642	church	NN	A	A	AB	AB	 us, God does have need of his creatures, and the <font color=green>church</font> , a fortiori, can ill afford to do without the talents	church%1:14:00::	B	B	AB	AB
church/NN/br-d03/1080	0.158296026839849	0.0294618059689635	church	NN	E	E	DE	CDE	 phenomenon of redundancy is that fewer Protestants are going to <font color=green>church</font> . It should be admitted, too, that there is a good	church%1:04:00::	E	E	DE	CDE
church/NN/br-d03/1342	-0.0352708501036326	0.0447226599637409	church	NN	E	E	DE	CDE	 my experience to find as many men as women in <font color=green>church</font> , and to hear almost everyone in church congregations reciting the	church%1:06:00::	D	D	DE	CDE
church/NN/br-d03/1350	-0.0210970419637249	0.035050266134715	church	NN	E	E	DE	CDE	 as women in church, and to hear almost everyone in <font color=green>church</font>  congregations reciting the Latin prayers and responses at Mass. They	church%1:06:00::	D	D	DE	CDE
church/NN/br-d03/1871	0.0635479053329584	0.0267686288269886	church	NN	B	B	AB	AB	 the Sunday Observer implies a kindly recognition that the Catholic <font color=green>Church</font>  is now at least of equal stature in England with	catholic_church%1:14:00::	B1	B	AB	AB
church/NN/br-d03/1909	0.00267148349250689	0.0573276230054717	church	NN	B	B	AB	AB	 non-Catholic) wrote articles in the Observer depicting clergymen of the <font color=green>Church</font>  of England, the Church of Rome and the Nonconformist Church	church_of_england%1:14:00::	B2	B	AB	AB
church/NN/br-d03/2097	-0.00646630461411748	-0.000653225333400621	church	NN	A	A	AB	AB	 Canterbury. The good feeling which exists between these two important <font color=green>church</font>  figures is now well known in England. The Holy Sacrifice	church%1:14:00::	B	B	AB	AB
church/NN/br-d03/2336	0.0398967809642349	0.0607110609618663	church	NN	D	D	DE	CDE	 a votive Mass offered for Christian unity at a Catholic <font color=green>church</font>  in Slough during the Church Unity Octave.	catholic_church%1:14:00::	B1	B	AB	AB
church/NN/br-d03/2341	0.0676329909727446	0.0912999817028978	church	NN	A	A	AB	AB	 Christian unity at a Catholic church in Slough during the <font color=green>Church</font>  Unity Octave.	church%1:14:00::	B	B	AB	AB
church/NN/br-d03/721	0.0100928923152806	0.138771458072263	church	NN	B	B	AB	AB	 crowds going in and out of the Birmingham Oratory( Catholic) <font color=green>Church</font>  on Sunday mornings. She found this a marvel because, as	church%1:06:00::	D	D	DE	CDE
church/NN/br-d03/862	0.0254962972876157	0.000782890047442018	church	NN	B	B	AB	AB	 to a newspaper report of the 1961 statistics of the <font color=green>Church</font>  of England, the`` total of confirmed members is 9748000, but	church_of_england%1:14:00::	B2	B	AB	AB
church/NN/br-d03/883	0.134143977134883	-0.293990142351416	church	NN	C	C	C	CDE	 is 9748000, but only 2887671 are registered on the parochial <font color=green>church</font>  rolls'', and`` over 27 million people in England are baptized	church_roll%1:10:00::	C	C	C	CDE
church/NN/br-d03/899	0.0355381731699215	0.162472657832494	church	NN	B	B	AB	AB	 over 27 million people in England are baptized into the <font color=green>Church</font>  of England, but roughly only a tenth of them continue	church_of_england%1:14:00::	B2	B	AB	AB
church/NN/br-d03/945	0.0185839255915091	0.0224896176975831	church	NN	B	B	AB	AB	 than an Archbishops' Commission`` reported last month that in the <font color=green>Church</font>  of England alone there are 790 churches which are redundant	church_of_england%1:14:00::	B2	B	AB	AB
church/NN/br-d04/56	0.0419307976556396	0.0985771973309123	church	NN	A	A	AB	AB	 Jesus Christ the unique and the universal concur. Perhaps no <font color=green>church</font>  father saw this concurrence of the unique and the universal	church_father%1:18:00::	A	A	AB	AB
church/NN/br-d05/1163	0.263374267663426	0.142888187324941	church	NN	B	B	AB	AB	 Parker as the ultra-liberal minister within the pale of a <font color=green>church</font>  which had proclaimed itself the repository of liberality poses a	Z	Z	Z	Z	Z
church/NN/br-d06/2048	0.025790380854429	-0.031110261154991	church	NN	E	E	DE	CDE	 not one of the 70000000 Americans who do not attend <font color=green>church</font> , but who feel that various forms of recreation are more	Z	Z	Z	Z	Z
church/NN/br-d06/2174	0.0120424073745405	0.0280294148749655	church	NN	C	C	C	CDE	 spiritually. No amount of religious ceremonies or even joining a <font color=green>church</font>  will relieve the gnawing of your`` inner'' space. Why? Because	Z	Z	Z	Z	Z
church/NN/br-d07/1408	-0.163268087166116	0.223685284459377	church	NN	D	D	DE	CDE	 then jumped; she was fatally injured. The entrance to a <font color=green>church</font>  has been walled up, so that the congregation, most of	Z	Z	Z	Z	Z
church/NN/br-d07/216	-0.0126684436103757	-0.20932191311009	church	NN	C	C	C	CDE	 of the most wholesome things you could schedule in your <font color=green>church</font>  would thus be a group confessional where people could admit	Z	Z	Z	Z	Z
church/NN/br-d09/1044	-0.0374913495558626	0.0790569548857362	church	NN	C	C	C	CDE	 such topics as:`` What Christ Means to Me'',`` What the <font color=green>Church</font>  Means to Me'',`` Why Join the Church'',`` The Duties of	Z	Z	Z	Z	Z
church/NN/br-d09/1054	0.00668488428064258	0.0253097388603038	church	NN	C	C	C	CDE	 Me'',`` What the Church Means to Me'',`` Why Join the <font color=green>Church</font> '',`` The Duties of Church Members'', etc.. Assign a series of	Z	Z	Z	Z	Z
church/NN/br-d09/1061	0.0125831465620476	0.0191730824667762	church	NN	C	C	C	CDE	 Means to Me'',`` Why Join the Church'',`` The Duties of <font color=green>Church</font>  Members'', etc.. Assign a series of catechism questions to be	Z	Z	Z	Z	Z
church/NN/br-d09/1260	0.0471795306668597	-0.0311446356155052	church	NN	C	C	C	CDE	 provides a natural transition into the life of the local <font color=green>church</font>  and its organizations. The total process of evangelism reaches the	Z	Z	Z	Z	Z
church/NN/br-d09/1619	0.114373943789682	0.00502584262653241	church	NN	C	C	C	CDE	 the group of new members to be put in the <font color=green>church</font>  paper or placed on the bulletin board. Have a fellowship	Z	Z	Z	Z	Z
church/NN/br-d09/1641	-0.035555885028044	0.0341616402210412	church	NN	C	C	C	CDE	 fellowship luncheon or dinner with new members as guests. The <font color=green>church</font>  is`` the family of God''. The members of the`` family	Z	Z	Z	Z	Z
church/NN/br-d09/1829	0.08460575397168	-0.0167930700809571	church	NN	C	C	C	CDE	 during the same period there were 1080062 additions. Another major <font color=green>church</font>  body had 4499608 members and twenty years later its membership	Z	Z	Z	Z	Z
church/NN/br-d09/2026	0.0601508757844035	-0.0452601944727812	church	NN	C	C	C	CDE	 planned and carefully developed. The entire membership of the local <font color=green>church</font>  must be alerted to their part in this dynamic process	Z	Z	Z	Z	Z
church/NN/br-d09/2040	0.094263465884422	-0.0704881408487142	church	NN	C	C	C	CDE	 alerted to their part in this dynamic process. If the <font color=green>church</font>  has followed the plan of cultivation of prospects and carried	Z	Z	Z	Z	Z
church/NN/br-d09/2084	-0.0939356694894156	-0.0122600794855213	church	NN	A	A	AB	AB	 under way. Those who enter the front door of the <font color=green>church</font>  intelligently and with Christian dedication will not so easily step	Z	Z	Z	Z	Z
church/NN/br-d09/2174	0.0444005103603072	0.008014294045651	church	NN	C	C	C	CDE	 members. The new members justifiably expect some things from their <font color=green>church</font>  family:	Z	Z	Z	Z	Z
church/NN/br-d09/724	0.0280949993670854	0.0168297355002002	church	NN	C	C	C	CDE	 as well as the program and activities of the local <font color=green>church</font> . The lay leadership of the church may be invited to	Z	Z	Z	Z	Z
church/NN/br-d09/731	0.0229929941606155	0.0111063214120252	church	NN	C	C	C	CDE	 activities of the local church. The lay leadership of the <font color=green>church</font>  may be invited to speak on the various phases of	Z	Z	Z	Z	Z
church/NN/br-d09/742	0.0215166127757417	0.00790392344360921	church	NN	C	C	C	CDE	 may be invited to speak on the various phases of <font color=green>church</font>  life, service opportunities, the church school, missions, men 's work	Z	Z	Z	Z	Z
church/NN/br-d09/749	0.0232935960169556	0.00633600650271398	church	NN	C	C	C	CDE	 on the various phases of church life, service opportunities, the <font color=green>church</font>  school, missions, men 's work, women 's work, youth program	Z	Z	Z	Z	Z
church/NN/br-d09/775	0.0824095566977985	-0.0261844037342719	church	NN	C	C	C	CDE	 youth program, social activities, and finances. The budget of the <font color=green>church</font>  may be presented and pledges solicited at this session. An	Z	Z	Z	Z	Z
church/NN/br-d09/825	0.021581437190542	-0.0127065418780881	church	NN	D	D	DE	CDE	 fourth session may be concluded with a tour of the <font color=green>church</font>  facilities and refreshments. The social time gives an opportunity for	Z	Z	Z	Z	Z
church/NN/br-d09/837	0.039311041000905	-0.00496148370657747	church	NN	C	C	C	CDE	 facilities and refreshments. The social time gives an opportunity for <font color=green>church</font>  leaders to become acquainted with the new members. In conducting	Z	Z	Z	Z	Z
church/NN/br-d09/935	-0.011341748745251	-0.14227689342252	church	NN	A	A	AB	AB	 dramatization- for example, in discussing the Lord 's Supper or <font color=green>church</font>  symbolism. Use audio-visual aids. Some excellent filmstrips with recordings and	Z	Z	Z	Z	Z
church/NN/br-d10/1913	0.0768428820996942	0.0572080424575861	church	NN	A	A	AB	AB	 impressive Roman Catholic defense of the practical autonomy of both <font color=green>church</font>  and state. The failure at that time of the Puerto	Z	Z	Z	Z	Z
church/NN/br-d10/2166	0.0861612913495715	0.0765013001226432	church	NN	B	B	AB	AB	 the Christian claim is of considerable significance. The Roman Catholic <font color=green>Church</font>  has excommunicated one of its priests, Father Feeney, for insisting	Z	Z	Z	Z	Z
church/NN/br-d10/2187	-0.0484955137527369	-0.372895969584131	church	NN	A	A	AB	AB	 for insisting that there is no salvation outside the visible <font color=green>church</font> . In mentioning this under`` salvation reconsidered'' I do not mean	Z	Z	Z	Z	Z
church/NN/br-d12/1462	0.0185011004658287	-0.00186500411852229	church	NN	A	A	AB	AB	 is discussed must surely be raised. The role of both <font color=green>church</font>  and university as sources of information and settings within which	Z	Z	Z	Z	Z
church/NN/br-d12/233	0.142451645305953	0.00810231558800509	church	NN	A	A	AB	AB	 social change? What social, ethical and theological insights can the <font color=green>church</font>  and university help him bring to bear upon his situation	Z	Z	Z	Z	Z
church/NN/br-d12/976	0.0433403125805967	0.007339553115309	church	NN	C	C	C	CDE	 social and professional organizations, as citizens and civic leaders, as <font color=green>church</font>  laymen, as university alumni, as newspaper readers, etc.. From such	Z	Z	Z	Z	Z
church/NN/br-d14/209	0.0480739224274374	0.0238615959618427	church	NN	A	A	AB	AB	 of churches. Presumably those who did not have a formal <font color=green>church</font>  connexion had also felt the influence of Christianity to a	Z	Z	Z	Z	Z
church/NN/br-d14/234	0.0954869695303854	0.0188536563651021	church	NN	C	C	C	CDE	 extent. Many of them had once been members of a <font color=green>church</font>  or at least had been given instruction in Christianity but	Z	Z	Z	Z	Z
church/NN/br-d14/410	0.0766386738662488	-0.016193593434527	church	NN	A	A	AB	AB	 be absurd. For instance, we cannot know whether even for <font color=green>church</font>  members the degree of conformity to Christian standards of morality	Z	Z	Z	Z	Z
church/NN/br-d14/428	0.0713395329735544	-0.0351219811115645	church	NN	C	C	C	CDE	 standards of morality increased or declined as the proportion of <font color=green>church</font>  members in the population rose. The temptation is to say	Z	Z	Z	Z	Z
church/NN/br-d14/446	0.0705737997726063	-0.0305801378295605	church	NN	C	C	C	CDE	 The temptation is to say that, as the percentage of <font color=green>church</font>  members mounted, the degree of discipline exercised by the churches	Z	Z	Z	Z	Z
church/NN/br-d14/557	0.195136953306898	-0.0684816973085211	church	NN	A	A	AB	AB	 If guilty, the offender might be excluded from membership. As <font color=green>church</font>  membership burgeoned, such measures faded into desuetude. But whether this	Z	Z	Z	Z	Z
church/NN/br-d14/726	0.112430562663838	0.161425802543775	church	NN	B	B	AB	AB	 stock. By the end of the century the Roman Catholic <font color=green>Church</font>  was beginning to make itself felt, mainly through such institutions	Z	Z	Z	Z	Z
church/NN/br-d16/1602	0.0552120247108033	0.0367674559996304	church	NN	C	C	C	CDE	 1: 12, 13. You may be very religious, a good <font color=green>church</font>  member, an upright, honest and sincere person; you may be	Z	Z	Z	Z	Z
church/NN/br-d16/1644	0.216033581480299	0.341373154793458	church	NN	A	A	AB	AB	 and zealously keep all the sacraments and ceremonies of the <font color=green>church</font> ; you may have the final and extreme unction but if	Z	Z	Z	Z	Z
church/NN/br-d16/1947	-0.0747682435497096	0.222886861420442	church	NN	A	A	AB	AB	 Him. You can ignore His Book, the Bible, and His <font color=green>church</font> . You can laugh at His blood-bought salvation, curse His followers	Z	Z	Z	Z	Z
church/NN/br-d16/220	0.0781543755260842	0.122146737192113	church	NN	B	B	AB	AB	 a short reading of the Holy Scriptures''. Since the Catholic <font color=green>Church</font>  expresses such desire that the Sacred Scriptures be read, the	Z	Z	Z	Z	Z
church/NN/br-d17/1073	-0.131486632102953	-0.0770411657518868	church	NN	C	C	C	CDE	 different, and something important: Ruth Peale, her wide experience in <font color=green>church</font>  work; Sidney Fields, years of experience as a New York	Z	Z	Z	Z	Z
church/NN/br-e13/272	0.21462508322844	0.106035933305372	church	NN	B	B	AB	AB	 shifted religions- although the Patriarch, or Pope, of the Orthodox <font color=green>Church</font>  continued to live there, and still does- and became the	Z	Z	Z	Z	Z
church/NN/br-e13/754	0.0265070468841297	-0.267280255500303	church	NN	D	D	DE	CDE	 the first of which was begun by Constantine, this fourth <font color=green>church</font>  was started by Justinian in 532 and completed twenty years	Z	Z	Z	Z	Z
church/NN/br-f15/713	0.108337292470851	0.0817460355687912	church	NN	B	B	AB	AB	 permit birth control only for medical reasons. The Roman Catholic <font color=green>Church</font> , however, sanctions a much more liberal policy on family planning	roman_catholic_church%1:14:00::	B1	B	AB	AB
church/NN/br-f15/754	0.105490801736043	0.0741170666139701	church	NN	B	B	AB	AB	 disagree over the methods to be used. The Roman Catholic <font color=green>Church</font>  sanctions only abstention or the rhythm method, also known as	roman_catholic_church%1:14:00::	B1	B	AB	AB
church/NN/br-f15/776	0.0531625374836367	-0.0623977048646493	church	NN	A	A	AB	AB	 as the use of the infertile or safe period. The <font color=green>Church</font>  considers this to be the method provided by nature and	roman_catholic_church%1:14:00::	B1	B	AB	AB
church/NN/br-f15/862	-0.034997678327172	-0.0911178111393293	church	NN	A	A	AB	AB	 there seems little chance of agreement. The grounds for the <font color=green>Church</font>  's position are Scriptural( Old Testament), the teachings of the	roman_catholic_church%1:14:00::	B1	B	AB	AB
church/NN/br-f15/882	0.0460034499190288	0.0151834025942142	church	NN	A	A	AB	AB	 the teachings of the fathers and doctors of the early <font color=green>Church</font> , the unbroken tradition of nineteen centuries, the decisions of the	roman_catholic_church%1:14:00::	B1	B	AB	AB
church/NN/br-f44/1076	0.0535156052320038	0.00586038414717253	church	NN	C	C	C	CDE	 and economic level of the congregation; the mission of the <font color=green>church</font>  is actually a process of informal co-optation; the lay ministry	church%1:14:00::	B	B	AB	AB
church/NN/br-f44/1122	0.0188466266713008	-0.0615192569525541	church	NN	D	D	DE	CDE	 process of co-optation so long as the environs of the <font color=green>church</font>  provide a sufficient pool of people who can fit the	church%1:14:00::	B	B	AB	AB
church/NN/br-f44/1285	0.065210978463824	-0.0158778742775068	church	NN	C	C	C	CDE	 co-optation is the principal form of mission in the contemporary <font color=green>church</font> ; economic integration and co-optation are the two methods by which	church%1:14:00::	B	B	AB	AB
church/NN/br-f44/1618	0.0618296903381461	-0.0465776978446399	church	NN	C	C	C	CDE	 in the metropolis. It now becomes evident that the denominational <font color=green>church</font>  is intimately involved with the economy of middle-class culture, for	church%1:14:00::	B	B	AB	AB
church/NN/br-f44/2150	0.0531430345578269	-0.0209973261521377	church	NN	C	C	C	CDE	 will occupy our attention under the rubric of the organization <font color=green>church</font> . An understanding of the new role of residential association in	church%1:14:00::	B	B	AB	AB
church/NN/br-f44/368	0.0469453104125165	-0.0484854378129351	church	NN	C	C	C	CDE	 they can lose higher- and lower status members from the <font color=green>church</font>  without collapsing, but they need adequate recruits for the core	church%1:14:00::	B	B	AB	AB
church/NN/br-f44/647	0.00793970516172883	0.0466871595378602	church	NN	A	A	AB	AB	 denominations. There is much talk in theological circles about the`` <font color=green>Church</font>  as Mission'' and the`` Church 's Mission''; theologians have been	church%1:14:00::	B	B	AB	AB
church/NN/br-f44/654	0.0191321224367334	0.088462068592304	church	NN	A	A	AB	AB	 in theological circles about the`` Church as Mission'' and the`` <font color=green>Church</font>  's Mission''; theologians have been stressing the fact that the	church%1:14:00::	B	B	AB	AB
church/NN/br-f44/667	-0.0387535613852086	-0.149013521518259	church	NN	A	A	AB	AB	 's Mission''; theologians have been stressing the fact that the <font color=green>Church</font>  does not exist for its own sake but as a	church%1:14:00::	B	B	AB	AB
