filename	type	twcorpus	twppmi	twllr	twL	twR	            socccorpus	soccppmi	soccllr	soccL	soccR	            length	tokenL	tokenR
COHA.state_church.sample.socc10k.min2	state_church	COHA	2		10	10	COHA			10	10	10k	10	10
COHA.state_church.sample.socc10k.min2_5	state_church	COHA	2_5		10	10	COHA			10	10	10k	10	10
COHA.state_church.sample.socc6k.min0	state_church	COHA	0		10	10	COHA			10	10	6k	10	10
COHA.state_church.sample.socc6k.min1	state_church	COHA	1		10	10	COHA			10	10	6k	10	10
COHA.state_church.sample.socc6k.min2	state_church	COHA	2		10	10	COHA			10	10	6k	10	10
COHA.state_church.sample.socc6k.min2_5	state_church	COHA	2_5		10	10	COHA			10	10	6k	10	10
COHA.state_country.sample.socc10k.min0	state_country	COHA	0		10	10	COHA			10	10	10k	10	10
COHA.state_country.sample.socc10k.min1	state_country	COHA	1		10	10	COHA			10	10	10k	10	10
COHA.state_country.sample.socc10k.min2	state_country	COHA	2		10	10	COHA			10	10	10k	10	10
COHA.state_country.sample.socc10k.min2_5	state_country	COHA	2_5		10	10	COHA			10	10	10k	10	10
COHA.state_country.sample.socc6k.min0	state_country	COHA	0		10	10	COHA			10	10	6k	10	10
COHA.state_country.sample.socc6k.min1	state_country	COHA	1		10	10	COHA			10	10	6k	10	10
COHA.state_country.sample.socc6k.min2	state_country	COHA	2		10	10	COHA			10	10	6k	10	10
COHA.state_country.sample.socc6k.min2_5	state_country	COHA	2_5		10	10	COHA			10	10	6k	10	10
Semcor.church.COHAisocc.min0	church	Semcor	0		10	10	COHA			10	10	6k	10	10
Semcor.church.COHAisocc.min1	church	Semcor	1		10	10	COHA			10	10	6k	10	10
Semcor.church.COHAisocc.min2	church	Semcor	2		10	10	COHA			10	10	6k	10	10
Semcor.church.COHAisocc.min2_5	church	Semcor	2_5		10	10	COHA			10	10	6k	10	10
Semcor.church.COHAisocc.min3	church	Semcor	3		10	10	COHA			10	10	6k	10	10
Semcor.church.COHAisocc1.min0	church	Semcor	0		10	10	COHA	1		10	10	6k	10	10
Semcor.church.COHAisocc1.min1	church	Semcor	1		10	10	COHA	1		10	10	6k	10	10
Semcor.church.COHAisocc1.min2	church	Semcor	2		10	10	COHA	1		10	10	6k	10	10
Semcor.church.COHAisocc1.min2_5	church	Semcor	2_5		10	10	COHA	1		10	10	6k	10	10
Semcor.church.COHAisocc1.min3	church	Semcor	3		10	10	COHA	1		10	10	6k	10	10
Semcor.church.COHAisocc2.min0	church	Semcor	0		10	10	COHA	2		10	10	6k	10	10
Semcor.church.COHAisocc2.min1	church	Semcor	1		10	10	COHA	2		10	10	6k	10	10
Semcor.church.COHAisocc2.min2	church	Semcor	2		10	10	COHA	2		10	10	6k	10	10
Semcor.church.COHAisocc2.min2_5	church	Semcor	2_5		10	10	COHA	2		10	10	6k	10	10
Semcor.church.COHAisocc2.min3	church	Semcor	3		10	10	COHA	2		10	10	6k	10	10
Semcor.church.COHAisocc25.min0	church	Semcor	0		10	10	COHA	2.5		10	10	6k	10	10
Semcor.church.COHAisocc25.min1	church	Semcor	1		10	10	COHA	2.5		10	10	6k	10	10
Semcor.church.COHAisocc25.min2	church	Semcor	2		10	10	COHA	2.5		10	10	6k	10	10
Semcor.church.COHAisocc25.min2_5	church	Semcor	2_5		10	10	COHA	2.5		10	10	6k	10	10
Semcor.church.COHAisocc25.min3	church	Semcor	3		10	10	COHA	2.5		10	10	6k	10	10
Semcor.church.COHAisocc3.min0	church	Semcor	0		10	10	COHA	3		10	10	6k	10	10
Semcor.church.COHAisocc3.min1	church	Semcor	1		10	10	COHA	3		10	10	6k	10	10
Semcor.church.COHAisocc3.min2	church	Semcor	2		10	10	COHA	3		10	10	6k	10	10
Semcor.church.COHAisocc3.min2_5	church	Semcor	2_5		10	10	COHA	3		10	10	6k	10	10
Semcor.church.COHAisocc3.min3	church	Semcor	3		10	10	COHA	3		10	10	6k	10	10
Semcor.church.Semcorisocc.min0	church	Semcor	0		10	10	Semcor			10	10	6k	10	10
Semcor.church.Semcorisocc.min1	church	Semcor	1		10	10	Semcor			10	10	6k	10	10
Semcor.church.Semcorisocc.min2	church	Semcor	2		10	10	Semcor			10	10	6k	10	10
Semcor.church.Semcorisocc.min2_5	church	Semcor	2_5		10	10	Semcor			10	10	6k	10	10
Semcor.church.Semcorisocc.min3	church	Semcor	3		10	10	Semcor			10	10	6k	10	10
Semcor.church.Semcorisocc1.min0	church	Semcor	0		10	10	Semcor	1		10	10	6k	10	10
Semcor.church.Semcorisocc1.min1	church	Semcor	1		10	10	Semcor	1		10	10	6k	10	10
Semcor.church.Semcorisocc1.min2	church	Semcor	2		10	10	Semcor	1		10	10	6k	10	10
Semcor.church.Semcorisocc1.min2_5	church	Semcor	2_5		10	10	Semcor	1		10	10	6k	10	10
Semcor.church.Semcorisocc1.min3	church	Semcor	3		10	10	Semcor	1		10	10	6k	10	10
Semcor.church.Semcorisocc2.min0	church	Semcor	0		10	10	Semcor	2		10	10	6k	10	10
Semcor.church.Semcorisocc2.min1	church	Semcor	1		10	10	Semcor	2		10	10	6k	10	10
Semcor.church.Semcorisocc2.min2	church	Semcor	2		10	10	Semcor	2		10	10	6k	10	10
Semcor.church.Semcorisocc2.min2_5	church	Semcor	2_5		10	10	Semcor	2		10	10	6k	10	10
Semcor.church.Semcorisocc2.min3	church	Semcor	3		10	10	Semcor	2		10	10	6k	10	10
Semcor.church.Semcorisocc25.min0	church	Semcor	0		10	10	Semcor	2.5		10	10	6k	10	10
Semcor.church.Semcorisocc25.min1	church	Semcor	1		10	10	Semcor	2.5		10	10	6k	10	10
Semcor.church.Semcorisocc25.min2	church	Semcor	2		10	10	Semcor	2.5		10	10	6k	10	10
Semcor.church.Semcorisocc25.min2_5	church	Semcor	2_5		10	10	Semcor	2.5		10	10	6k	10	10
Semcor.church.Semcorisocc25.min3	church	Semcor	3		10	10	Semcor	2.5		10	10	6k	10	10
Semcor.church.Semcorisocc3.min0	church	Semcor	0		10	10	Semcor	3		10	10	6k	10	10
Semcor.church.Semcorisocc3.min1	church	Semcor	1		10	10	Semcor	3		10	10	6k	10	10
Semcor.church.Semcorisocc3.min2	church	Semcor	2		10	10	Semcor	3		10	10	6k	10	10
Semcor.church.Semcorisocc3.min2_5	church	Semcor	2_5		10	10	Semcor	3		10	10	6k	10	10
Semcor.church.Semcorisocc3.min3	church	Semcor	3		10	10	Semcor	3		10	10	6k	10	10
Semcor.country.COHAisocc.min0	country	Semcor	0		10	10	COHA			10	10	6k	10	10
Semcor.country.COHAisocc.min1	country	Semcor	1		10	10	COHA			10	10	6k	10	10
Semcor.country.COHAisocc.min2	country	Semcor	2		10	10	COHA			10	10	6k	10	10
Semcor.country.COHAisocc.min2_5	country	Semcor	2_5		10	10	COHA			10	10	6k	10	10
Semcor.country.Semcorisocc.min0	country	Semcor	0		10	10	Semcor			10	10	6k	10	10
Semcor.country.Semcorisocc.min1	country	Semcor	1		10	10	Semcor			10	10	6k	10	10
Semcor.country.Semcorisocc.min2	country	Semcor	2		10	10	Semcor			10	10	6k	10	10
Semcor.country.Semcorisocc.min2_5	country	Semcor	2_5		10	10	Semcor			10	10	6k	10	10
Semcor.country_church.COHAisocc.min2_5	country_church	Semcor	2_5		10	10	COHA			10	10	6k	10	10
Semcor.country_church.COHAisocc.min3	country_church	Semcor	3		10	10	COHA			10	10	6k	10	10
Semcor.country_church.sample.COHAisocc.min0	country_church	Semcor	0		10	10	COHA			10	10	6k	10	10
Semcor.country_church.sample.COHAisocc.min1	country_church	Semcor	1		10	10	COHA			10	10	6k	10	10
Semcor.country_church.sample.COHAisocc.min2	country_church	Semcor	2		10	10	COHA			10	10	6k	10	10
Semcor.country_church.sample.Semcorisocc.min0	country_church	Semcor	0		10	10	Semcor			10	10	6k	10	10
Semcor.country_church.sample.Semcorisocc.min1	country_church	Semcor	1		10	10	Semcor			10	10	6k	10	10
Semcor.country_church.sample.Semcorisocc.min2	country_church	Semcor	2		10	10	Semcor			10	10	6k	10	10
Semcor.country_church.Semcorisocc.min2_5	country_church	Semcor	2_5		10	10	Semcor			10	10	6k	10	10
Semcor.country_church.Semcorisocc.min3	country_church	Semcor	3		10	10	Semcor			10	10	6k	10	10
Semcor.sample.COHAisocc.min0	sample	Semcor	0		10	10	COHA			10	10	6k	10	10
Semcor.sample.COHAisocc.min1	sample	Semcor	1		10	10	COHA			10	10	6k	10	10
Semcor.sample.COHAisocc.min2	sample	Semcor	2		10	10	COHA			10	10	6k	10	10
Semcor.sample.COHAisocc.min2_5	sample	Semcor	2_5		10	10	COHA			10	10	6k	10	10
Semcor.sample.COHAisocc.min3	sample	Semcor	3		10	10	COHA			10	10	6k	10	10
Semcor.sample.Semcorisocc.min0	sample	Semcor	0		10	10	Semcor			10	10	6k	10	10
Semcor.sample.Semcorisocc.min1	sample	Semcor	1		10	10	Semcor			10	10	6k	10	10
Semcor.sample.Semcorisocc.min2	sample	Semcor	2		10	10	Semcor			10	10	6k	10	10
Semcor.sample.Semcorisocc.min2_5	sample	Semcor	2_5		10	10	Semcor			10	10	6k	10	10
Semcor.sample.Semcorisocc.min3	sample	Semcor	3		10	10	Semcor			10	10	6k	10	10
Semcor.state.COHAisocc.min2_5	state	Semcor	2_5		10	10	COHA			10	10	6k	10	10
Semcor.state.COHAisocc.min3	state	Semcor	3		10	10	COHA			10	10	6k	10	10
Semcor.state.sample.COHAisocc.min0	state	Semcor	0		10	10	COHA			10	10	6k	10	10
Semcor.state.sample.COHAisocc.min1	state	Semcor	1		10	10	COHA			10	10	6k	10	10
Semcor.state.sample.COHAisocc.min2	state	Semcor	2		10	10	COHA			10	10	6k	10	10
Semcor.state.sample.Semcorisocc.min0	state	Semcor	0		10	10	Semcor			10	10	6k	10	10
Semcor.state.sample.Semcorisocc.min1	state	Semcor	1		10	10	Semcor			10	10	6k	10	10
Semcor.state.sample.Semcorisocc.min2	state	Semcor	2		10	10	Semcor			10	10	6k	10	10
Semcor.state.Semcorisocc.min2_5	state	Semcor	2_5		10	10	Semcor			10	10	6k	10	10
Semcor.state.Semcorisocc.min3	state	Semcor	3		10	10	Semcor			10	10	6k	10	10
Semcor.state_church.COHAisocc.min2_5	state_church	Semcor	2_5		10	10	COHA			10	10	6k	10	10
Semcor.state_church.COHAisocc.min3	state_church	Semcor	3		10	10	COHA			10	10	6k	10	10
Semcor.state_church.sample.COHAisocc.min0	state_church	Semcor	0		10	10	COHA			10	10	6k	10	10
Semcor.state_church.sample.COHAisocc.min1	state_church	Semcor	1		10	10	COHA			10	10	6k	10	10
Semcor.state_church.sample.COHAisocc.min2	state_church	Semcor	2		10	10	COHA			10	10	6k	10	10
Semcor.state_church.sample.COHAisocc.min2_5	state_church	Semcor	2_5		10	10	COHA			10	10	6k	10	10
Semcor.state_church.sample.Semcorisocc.min0	state_church	Semcor	0		10	10	Semcor			10	10	6k	10	10
Semcor.state_church.sample.Semcorisocc.min1	state_church	Semcor	1		10	10	Semcor			10	10	6k	10	10
Semcor.state_church.sample.Semcorisocc.min2	state_church	Semcor	2		10	10	Semcor			10	10	6k	10	10
Semcor.state_church.sample.Semcorisocc.min2_5	state_church	Semcor	2_5		10	10	Semcor			10	10	6k	10	10
Semcor.state_church.Semcorisocc.min2_5	state_church	Semcor	2_5		10	10	Semcor			10	10	6k	10	10
Semcor.state_church.Semcorisocc.min3	state_church	Semcor	3		10	10	Semcor			10	10	6k	10	10
Semcor.state_country.COHAisocc.min2_5	state_country	Semcor	2_5		10	10	COHA			10	10	6k	10	10
Semcor.state_country.COHAisocc.min3	state_country	Semcor	3		10	10	COHA			10	10	6k	10	10
Semcor.state_country.sample.COHAisocc.min0	state_country	Semcor	0		10	10	COHA			10	10	6k	10	10
Semcor.state_country.sample.COHAisocc.min1	state_country	Semcor	1		10	10	COHA			10	10	6k	10	10
Semcor.state_country.sample.COHAisocc.min2	state_country	Semcor	2		10	10	COHA			10	10	6k	10	10
Semcor.state_country.sample.COHAisocc.min2_5	state_country	Semcor	2_5		10	10	COHA			10	10	6k	10	10
Semcor.state_country.sample.Semcorisocc.min0	state_country	Semcor	0		10	10	Semcor			10	10	6k	10	10
Semcor.state_country.sample.Semcorisocc.min1	state_country	Semcor	1		10	10	Semcor			10	10	6k	10	10
Semcor.state_country.sample.Semcorisocc.min2	state_country	Semcor	2		10	10	Semcor			10	10	6k	10	10
Semcor.state_country.sample.Semcorisocc.min2_5	state_country	Semcor	2_5		10	10	Semcor			10	10	6k	10	10
Semcor.state_country.Semcorisocc.min2_5	state_country	Semcor	2_5		10	10	Semcor			10	10	6k	10	10
Semcor.state_country.Semcorisocc.min3	state_country	Semcor	3		10	10	Semcor			10	10	6k	10	10
