,cw_count_c,cw_count_s,cws_c,cws_s
church/N/br-a10/1984,12,12,assembly/N;church/N;engage/V;existing/J;experience/J;god/N;man/N;mature/J;new/J;open/V;pioneer/V;start/V,assembly/N;church/N;engage/V;existing/J;experience/J;god/N;man/N;mature/J;new/J;open/V;pioneer/V;start/V
church/N/br-a10/1996,14,14,center/N;engage/V;experience/J;man/N;mature/J;new/J;open/V;pastor/N;pioneer/N;pioneer/V;population/N;strategic/J;surround/V;vocational/J,center/N;engage/V;experience/J;man/N;mature/J;new/J;open/V;pastor/N;pioneer/N;pioneer/V;population/N;strategic/J;surround/V;vocational/J
church/N/br-a10/2022,8,8,area/N;be/V;interest/N;lend/V;move/V;new/J;support/N;urge/V,area/N;be/V;interest/N;lend/V;move/V;new/J;support/N;urge/V
church/N/br-a10/2051,8,12,apprentice/N;charles/N;deny/V;judge/N;month/N;powell/N;s.-a/N;spend/V,apprentice/N;charles/N;deny/V;dist./N;judge/N;l./N;month/N;powell/N;s.-a/N;spend/V;u./N;well-established/J
church/N/br-a16/453,7,8,bernadine/N;follow/V;forest/N;noon/N;park/N;reception/N;small/J,bernadine/N;follow/V;forest/N;noon/N;park/N;reception/N;small/J;st./N
church/N/br-a17/2228,10,11,be/V;christian/J;church/N;first/N;guest/N;hold/V;pampa/N;reception/N;seat/V;set/N,be/V;christian/J;church/N;first/N;guest/N;hold/V;jr./N;pampa/N;reception/N;seat/V;set/N
church/N/br-a18/760,9,11,annual/J;committee/N;david/N;dessert/N;hold/V;parade/N;party/N;pink/J;woman/N,annual/J;committee/N;david/N;dessert/N;hold/V;parade/N;party/N;pink/J;pre-fair/J;st./N;woman/N
church/N/br-a31/1594,9,10,adult/N;adviser/N;area/N;enthral/J;presbyterian/J;program/N;sit/V;teenager/N;top/J,adult/N;adviser/N;area/N;enthral/J;four-hour/J;presbyterian/J;program/N;sit/V;teenager/N;top/J
church/N/br-a31/1753,10,10,be/V;encourage/V;kern/N;own/N;program/N;say/V;set/V;sunday/N;try/V;up/V,be/V;encourage/V;kern/N;own/N;program/N;say/V;set/V;sunday/N;try/V;up/V
church/N/br-a31/2120,10,10,be/V;church/N;family/N;follow/V;methodist/J;program/N;service/N;sexton/N;trinity/N;worship/N,be/V;church/N;family/N;follow/V;methodist/J;program/N;service/N;sexton/N;trinity/N;worship/N
church/N/br-a31/2212,8,9,d.-/N;henderson/N;john/N;preach/V;program/N;special/J;start/V;week/N,d.-/N;henderson/N;john/N;preach/V;program/N;rev./N;special/J;start/V;week/N
church/N/br-a31/2241,6,8,be/V;install/V;new/N;officer/N;ordain/V;sunday/N,a./N;be/V;install/V;m./N;new/N;officer/N;ordain/V;sunday/N
church/N/br-a35/810,9,9,be/V;closer/J;collegiate/J;country/N;have/V;meet/V;need/N;past/J;scrutiny/N,be/V;closer/J;collegiate/J;country/N;have/V;meet/V;need/N;past/J;scrutiny/N
church/N/br-b04/1480,10,10,accusation/N;american/N;assail/V;attack/V;blanket/N;do/V;money/N;name/N;school/N;traditional/J,accusation/N;american/N;assail/V;attack/V;blanket/N;do/V;money/N;name/N;school/N;traditional/J
church/N/br-b08/1804,7,8,atlanta/N;be/V;cry/N;letter/N;luke/N;rector/N;resignation/N,atlanta/N;be/V;cry/N;letter/N;luke/N;rector/N;resignation/N;st./N
church/N/br-b08/1866,9,9,church/N;decade/N;majestic/J;need/V;service/N;such/N;vigor/N;vitality/N;write/V,church/N;decade/N;majestic/J;need/V;service/N;such/N;vigor/N;vitality/N;write/V
church/N/br-b08/1871,9,9,church/N;majestic/J;man/N;need/V;rector/N;service/N;such/N;vigor/N;vitality/N,church/N;majestic/J;man/N;need/V;rector/N;service/N;such/N;vigor/N;vitality/N
church/N/br-b08/1912,6,6,become/V;benefit/V;leadership/N;ordinary/J;time/N;write/V,become/V;benefit/V;leadership/N;ordinary/J;time/N;write/V
church/N/br-b08/2063,7,7,believer/N;do/V;give/N;give/V;god/N;life/N;take/V,believer/N;do/V;give/N;give/V;god/N;life/N;take/V
church/N/br-b08/2363,7,7,be/V;give/V;home/N;little/J;love/N;rest/N;saint/N,be/V;give/V;home/N;little/J;love/N;rest/N;saint/N
church/N/br-b08/834,8,8,be/V;continue/V;feeling/N;great/J;have/V;leave/V;lift/V;weight/N,be/V;continue/V;feeling/N;great/J;have/V;leave/V;lift/V;weight/N
church/N/br-b12/2009,9,9,angel/N;biblical/J;bishop/N;have/V;interpret/V;mean/V;old/J;phrase/N;scholar/N,angel/N;biblical/J;bishop/N;have/V;interpret/V;mean/V;old/J;phrase/N;scholar/N
church/N/br-b12/2217,10,10,church/N;committee/N;england/N;joint/J;make/V;methodist/J;of/N;representative/N;scotland/N;up/V,church/N;committee/N;england/N;joint/J;make/V;methodist/J;of/N;representative/N;scotland/N;up/V
church/N/br-b12/2221,11,11,baptist/N;church/N;congregational/J;england/N;make/V;methodist/J;of/N;representative/N;scotland/N;union/N;up/V,baptist/N;church/N;congregational/J;england/N;make/V;methodist/J;of/N;representative/N;scotland/N;union/N;up/V
church/N/br-b12/2239,10,10,baptist/N;church/N;england/N;friend/N;ireland/N;of/N;presbyterian/J;society/N;union/N;wales/N,baptist/N;church/N;england/N;friend/N;ireland/N;of/N;presbyterian/J;society/N;union/N;wales/N
church/N/br-b12/2243,10,10,british/J;church/N;england/N;foreign/N;friend/N;ireland/N;of/N;presbyterian/J;society/N;wales/N,british/J;church/N;england/N;foreign/N;friend/N;ireland/N;of/N;presbyterian/J;society/N;wales/N
church/N/br-b22/1005,5,5,affair/N;concern/V;have/V;internal/J;turn/V,affair/N;concern/V;have/V;internal/J;turn/V
church/N/br-b22/1077,10,10,christian/N;far/J;john/N;necessary/J;pope/N;purification/N;renewal/N;see/V;step/N;unity/N,christian/N;far/J;john/N;necessary/J;pope/N;purification/N;renewal/N;see/V;step/N;unity/N
church/N/br-b22/1102,12,12,be/V;believe/V;ecumenical/J;in/J;order/N;pontiff/N;require/J;revivify/V;see/V;task/N;whole/J;world/N,be/V;believe/V;ecumenical/J;in/J;order/N;pontiff/N;require/J;revivify/V;see/V;task/N;whole/J;world/N
church/N/br-b22/1154,6,6,be/V;possible/J;remove/V;stand/V;unity/N;way/N,be/V;possible/J;remove/V;stand/V;unity/N;way/N
church/N/br-b22/1193,7,7,alive/J;be/V;establishment/N;father/N;growing/J;holy/J;unity/N,alive/J;be/V;establishment/N;father/N;growing/J;holy/J;unity/N
church/N/br-b22/1233,11,11,assembly/N;attend/V;catholic/N;council/N;delhi/N;new/N;observer/N;official/N;reverse/V;theologian/N;world/N,assembly/N;attend/V;catholic/N;council/N;delhi/N;new/N;observer/N;official/N;reverse/V;theologian/N;world/N
church/N/br-b22/1245,9,9,appeal/N;delhi/N;new/J;new/N;observer/N;official/N;public/J;reverse/V;stand/N,appeal/N;delhi/N;new/J;new/N;observer/N;official/N;public/J;reverse/V;stand/N
church/N/br-b22/1318,9,9,anyone/N;church/N;new/J;note/V;orthodox/J;pervade/V;protestant/N;spirit/N;stance/N,anyone/N;church/N;new/J;note/V;orthodox/J;pervade/V;protestant/N;spirit/N;stance/N
church/N/br-b22/1326,9,9,church/N;difficulty/N;note/V;orthodox/J;pervade/V;protestant/N;stance/N;stand/V;way/N,church/N;difficulty/N;note/V;orthodox/J;pervade/V;protestant/N;stance/N;stand/V;way/N
church/N/br-d01/1628,7,8,age/N;do/V;intend/V;man/N;particular/J;surrender/N;whip/V,age/N;church-state/N;do/V;intend/V;man/N;particular/J;surrender/N;whip/V
church/N/br-d02/1641,8,8,apostolic/J;concern/V;exhibit/V;have/V;sacrifice/V;stand/V;tradition/N;willingness/N,apostolic/J;concern/V;exhibit/V;have/V;sacrifice/V;stand/V;tradition/N;willingness/N
church/N/br-d02/548,8,8,absence/N;adequate/J;american/J;characterize/V;conceptuality/N;observe/V;preaching/N;teaching/N,absence/N;adequate/J;american/J;characterize/V;conceptuality/N;observe/V;preaching/N;teaching/N
church/N/br-d02/706,8,8,be/V;complete/J;grace/N;indifference/N;message/N;sin/N;tend/V;traditional/J,be/V;complete/J;grace/N;indifference/N;message/N;sin/N;tend/V;traditional/J
church/N/br-d02/877,6,6,ancient/J;be/V;derive/V;heritage/N;tradition/N;venerable/J,ancient/J;be/V;derive/V;heritage/N;tradition/N;venerable/J
church/N/br-d02/923,7,7,analogy/N;be/V;have/V;independent/J;regard/V;work/N;world/N,analogy/N;be/V;have/V;independent/J;regard/V;work/N;world/N
church/N/br-d02/949,6,6,be/V;god/N;nothing/N;remind/V;require/V;scripture/N,be/V;god/N;nothing/N;remind/V;require/V;scripture/N
church/N/br-d02/969,6,6,afford/V;creature/N;do/V;god/N;have/V;need/N,afford/V;creature/N;do/V;god/N;have/V;need/N
church/N/br-d03/1011,8,9,anglican/N;be/V;chapel/N;most/N;of/J;sale/N;use/V;warehouse/N,anglican/N;be/V;chapel/N;former/J;most/N;of/J;sale/N;use/V;warehouse/N
church/N/br-d03/1027,8,8,anglican/N;catholic/N;do/V;have/V;nonconformist/N;object/V;roman/J;sell/V,anglican/N;catholic/N;do/V;have/V;nonconformist/N;object/V;roman/J;sell/V
church/N/br-d03/1051,10,12,be/V;build/V;have/V;new/J;period/N;population/N;protestant/N;religious/J;say/V;shift/N,be/V;build/V;have/V;new/J;period/N;population/N;protestant/N;religious/J;same/J;say/V;shift/N;some/J
church/N/br-d03/1063,11,11,be/V;empty/V;have/V;period/N;phenomenon/N;population/N;principal/J;reason/N;redundancy/N;religious/J;shift/N,be/V;empty/V;have/V;period/N;phenomenon/N;population/N;principal/J;reason/N;redundancy/N;religious/J;shift/N
church/N/br-d03/1080,6,7,admit/V;be/V;go/V;phenomenon/N;protestant/N;redundancy/N,admit/V;be/V;fewer/J;go/V;phenomenon/N;protestant/N;redundancy/N
church/N/br-d03/110,10,11,be/V;devote/V;difficult/J;discussion/N;hopeful/J;people/N;prayer/N;seem/V;to/J;various/J,be/V;devote/V;difficult/J;discussion/N;hopeful/J;many/J;people/N;prayer/N;seem/V;to/J;various/J
church/N/br-d03/1342,9,10,church/N;congregation/N;everyone/N;experience/N;find/V;hear/V;man/N;recite/V;woman/N,church/N;congregation/N;everyone/N;experience/N;find/V;hear/V;man/N;many/J;recite/V;woman/N
church/N/br-d03/1472,9,9,be/V;catholic/J;faith/N;father/N;glory/V;hear/V;hymn/N;of/N;onr/N,be/V;catholic/J;faith/N;father/N;glory/V;hear/V;hymn/N;of/N;onr/N
church/N/br-d03/1883,8,8,england/N;equal/J;october/N;paul/N;protestant/J;stature/N;successive/J;sunday/N,england/N;equal/J;october/N;paul/N;protestant/J;stature/N;successive/J;sunday/N
church/N/br-d03/1908,10,10,article/N;church/N;clergyman/N;depict/V;england/N;nonconformist/N;observer/N;of/N;rome/N;write/V,article/N;church/N;clergyman/N;depict/V;england/N;nonconformist/N;observer/N;of/N;rome/N;write/V
church/N/br-d03/1913,10,10,catholic/J;church/N;clergyman/N;depict/V;england/N;nonconformist/N;observer/N;of/N;priest/N;rome/N,catholic/J;church/N;clergyman/N;depict/V;england/N;nonconformist/N;observer/N;of/N;priest/N;rome/N
church/N/br-d03/2335,9,9,catholic/N;christian/J;church/N;mass/N;octave/N;offer/V;slough/N;unity/N;votive/J,catholic/N;christian/J;church/N;mass/N;octave/N;offer/V;slough/N;unity/N;votive/J
church/N/br-d03/313,9,9,anglican/J;england/N;imply/V;present/J;religious/J;roman/J;say/V;state/N;write/V,anglican/J;england/N;imply/V;present/J;religious/J;roman/J;say/V;state/N;write/V
church/N/br-d03/35,10,10,anglican/J;communion/N;effort/N;individual/N;prayer/N;roman/J;rome/N;unacceptable/J;unauthorized/J;urge/V,anglican/J;communion/N;effort/N;individual/N;prayer/N;roman/J;rome/N;unacceptable/J;unauthorized/J;urge/V
church/N/br-d03/721,7,7,birmingham/N;catholic/J;find/V;marvel/N;morning/N;oratory/N;sunday/N,birmingham/N;catholic/J;find/V;marvel/N;morning/N;oratory/N;sunday/N
church/N/br-d03/779,10,12,attend/V;be/V;cathedral/N;come/V;large/J;look/V;medieval/J;protestant/J;remark/N;side/N,attend/V;be/V;cathedral/N;come/V;large/J;look/V;many/J;medieval/J;protestant/J;remark/N;side/N;ten/J
church/N/br-d03/849,8,8,admit/V;effective/J;fall/V;great/J;membership/N;newspaper/N;report/N;statistic/N,admit/V;effective/J;fall/V;great/J;membership/N;newspaper/N;report/N;statistic/N
church/N/br-d03/862,8,9,be/V;england/N;member/N;newspaper/N;of/N;report/N;statistic/N;total/N,be/V;confirmed/J;england/N;member/N;newspaper/N;of/N;report/N;statistic/N;total/N
church/N/br-d03/899,6,8,baptize/V;be/V;england/N;of/N;people/N;tenth/J,27/J;baptize/V;be/V;england/N;million/J;of/N;people/N;tenth/J
church/N/br-d03/945,10,10,archbishop/N;be/V;church/N;commission/N;england/N;last/J;month/N;of/N;redundant/J;report/V,archbishop/N;be/V;church/N;commission/N;england/N;last/J;month/N;of/N;redundant/J;report/V
church/N/br-d03/952,5,6,be/V;church/N;england/N;of/N;redundant/J,20/J;be/V;church/N;england/N;of/N;redundant/J
church/N/br-d03/971,6,8,anglican/J;be/V;demolish/V;have/V;time/N;year/N,20/J;anglican/J;be/V;demolish/V;further/J;have/V;time/N;year/N
church/N/br-d05/1163,8,9,have/V;liberality/N;minister/N;pale/J;parker/N;pose/V;proclaim/V;repository/N,have/V;liberality/N;minister/N;pale/J;parker/N;pose/V;proclaim/V;repository/N;ultra-liberal/J
church/N/br-d05/1536,7,7,be/V;beginning/N;conflict/N;explicit/J;founder/N;make/V;unitarian/N,be/V;beginning/N;conflict/N;explicit/J;founder/N;make/V;unitarian/N
church/N/br-d05/1935,8,8,bad/J;be/V;catch/V;have/V;intend/V;know/V;malaria/N;unitarian/N,bad/J;be/V;catch/V;have/V;intend/V;know/V;malaria/N;unitarian/N
church/N/br-d06/2048,8,8,american/N;attend/V;be/V;do/V;feel/V;form/N;recreation/N;various/J,american/N;attend/V;be/V;do/V;feel/V;form/N;recreation/N;various/J
church/N/br-d06/2174,8,8,amount/N;ceremony/N;gnaw/N;inner/J;join/V;relieve/V;religious/J;space/N,amount/N;ceremony/N;gnaw/N;inner/J;join/V;relieve/V;religious/J;space/N
church/N/br-d07/1408,7,7,be/V;congregation/N;entrance/N;have/V;injure/V;up/V;wall/V,be/V;congregation/N;entrance/N;have/V;injure/V;up/V;wall/V
church/N/br-d07/216,8,8,admit/V;be/V;confessional/N;group/N;people/N;schedule/V;thing/N;wholesome/J,admit/V;be/V;confessional/N;group/N;people/N;schedule/V;thing/N;wholesome/J
church/N/br-d09/1044,4,4,christ/N;church/N;join/V;mean/V,christ/N;church/N;join/V;mean/V
church/N/br-d09/1054,5,5,church/N;duty/N;join/V;mean/V;member/N,church/N;duty/N;join/V;mean/V;member/N
church/N/br-d09/1115,8,8,be/V;come/V;conviction/N;fellowship/N;grow/V;leader/N;pastor/N;service/N,be/V;come/V;conviction/N;fellowship/N;grow/V;leader/N;pastor/N;service/N
church/N/br-d09/1127,7,7,come/V;fellowship/N;include/V;need/V;preparatory/J;training/N;transfer/N,come/V;fellowship/N;include/V;need/V;preparatory/J;training/N;transfer/N
church/N/br-d09/1156,9,9,admission/N;be/V;danger/N;easy/J;know/V;make/V;painless/J;people/N;try/V,admission/N;be/V;danger/N;easy/J;know/V;make/V;painless/J;people/N;try/V
church/N/br-d09/1216,9,9,be/V;come/V;denomination/N;development/N;many/N;opportunity/N;recent/J;training/N;welcome/V,be/V;come/V;denomination/N;development/N;many/N;opportunity/N;recent/J;training/N;welcome/V
church/N/br-d09/1260,10,10,evangelism/N;life/N;local/J;natural/J;organization/N;process/N;provide/V;reach/V;total/J;transition/N,evangelism/N;life/N;local/J;natural/J;organization/N;process/N;provide/V;reach/V;total/J;transition/N
church/N/br-d09/129,9,10,assimilation/N;christ/N;commitment/N;committee/N;make/V;membership/N;pastor/N;preparation/N;visit/V,assimilation/N;christ/N;commitment/N;committee/N;make/V;membership/N;one-third/N;pastor/N;preparation/N;visit/V
church/N/br-d09/1297,7,7,be/V;faith/N;fellowship/N;high/J;live/N;moment/N;receive/V,be/V;faith/N;fellowship/N;high/J;live/N;moment/N;receive/V
church/N/br-d09/1404,8,8,attitude/N;determine/V;difference/N;inaction/N;mean/V;member/N;new/J;participation/N,attitude/N;determine/V;difference/N;inaction/N;mean/V;member/N;new/J;participation/N
church/N/br-d09/1436,11,11,atmosphere/N;be/V;create/V;experience/N;logical/J;member/N;momentous/J;natural/J;new/J;receive/V;time/N,atmosphere/N;be/V;create/V;experience/N;logical/J;member/N;momentous/J;natural/J;new/J;receive/V;time/N
church/N/br-d09/1641,8,8,be/V;dinner/N;family/N;god/N;guest/N;luncheon/N;member/N;new/J,be/V;dinner/N;family/N;god/N;guest/N;luncheon/N;member/N;new/J
church/N/br-d09/1708,8,8,be/V;difficult/J;evangelism/N;participant/N;point/N;problem/N;program/N;right/N,be/V;difficult/J;evangelism/N;participant/N;point/N;problem/N;program/N;right/N
church/N/br-d09/172,10,10,church/N;death/N;determine/V;interest/N;life/N;mean/V;neglect/N;paralysis/N;participation/N;spiritual/J,church/N;death/N;determine/V;interest/N;life/N;mean/V;neglect/N;paralysis/N;participation/N;spiritual/J
church/N/br-d09/1774,7,7,be/V;cent/N;church/N;join/V;lose/V;per/N;year/N,be/V;cent/N;church/N;join/V;lose/V;per/N;year/N
church/N/br-d09/1779,8,8,be/V;church/N;denomination/N;have/V;join/V;lose/V;membership/N;year/N,be/V;church/N;denomination/N;have/V;join/V;lose/V;membership/N;year/N
church/N/br-d09/181,11,11,church/N;death/N;have/V;mean/V;membership/N;neglect/N;paralysis/N;planned/J;preparation/N;program/N;spiritual/J,church/N;death/N;have/V;mean/V;membership/N;neglect/N;paralysis/N;planned/J;preparation/N;program/N;spiritual/J
church/N/br-d09/1910,11,11,active/J;be/V;drop/V;fact/N;illustrate/V;local/J;many/N;membership/N;problem/N;roll/N;year/N,active/J;be/V;drop/V;fact/N;illustrate/V;local/J;many/N;membership/N;problem/N;roll/N;year/N
church/N/br-d09/1946,13,13,area/N;be/V;expand/V;have/V;increase/N;little/J;many/N;member/N;net/J;new/J;number/N;population/N;show/V,area/N;be/V;expand/V;have/V;increase/N;little/J;many/N;member/N;net/J;new/J;number/N;population/N;show/V
church/N/br-d09/2026,9,9,alert/V;be/V;develop/V;dynamic/J;entire/J;local/J;membership/N;part/N;process/N,alert/V;be/V;develop/V;dynamic/J;entire/J;local/J;membership/N;part/N;process/N
church/N/br-d09/2040,9,9,carry/V;cultivation/N;dynamic/J;follow/V;have/V;part/N;plan/N;process/N;prospect/N,carry/V;cultivation/N;dynamic/J;follow/V;have/V;part/N;plan/N;process/N;prospect/N
church/N/br-d09/2084,7,7,christian/N;dedication/N;door/N;enter/V;front/N;step/V;way/N,christian/N;dedication/N;door/N;enter/V;front/N;step/V;way/N
church/N/br-d09/2131,7,7,christian/N;discipleship/N;fellowship/N;find/V;meaning/N;satisfaction/N;unite/V,christian/N;discipleship/N;fellowship/N;find/V;meaning/N;satisfaction/N;unite/V
church/N/br-d09/2155,8,8,become/V;certain/J;christian/N;effective/J;expect/V;mature/V;member/N;thing/N,become/V;certain/J;christian/N;effective/J;expect/V;mature/V;member/N;thing/N
church/N/br-d09/231,7,7,be/V;desire/V;experience/N;important/J;person/N;prepare/V;unite/V,be/V;desire/V;experience/N;important/J;person/N;prepare/V;unite/V
church/N/br-d09/39,9,9,achieve/V;be/V;christian/N;dramatic/J;evangelism/N;evidence/N;fatality/N;indictment/N;stature/N,achieve/V;be/V;christian/N;dramatic/J;evangelism/N;evidence/N;fatality/N;indictment/N;stature/N
church/N/br-d09/502,8,8,adult/N;ask/V;be/V;membership/N;necessary/J;none/N;preparation/N;require/V,adult/N;ask/V;be/V;membership/N;necessary/J;none/N;preparation/N;require/V
church/N/br-d09/515,8,8,ask/V;be/V;faith/N;instruct/V;join/V;meaning/N;need/V;none/N,ask/V;be/V;faith/N;instruct/V;join/V;meaning/N;need/V;none/N
church/N/br-d09/544,8,8,appreciation/N;devotion/N;great/J;have/V;membership/N;require/V;something/N;vow/N,appreciation/N;devotion/N;great/J;have/V;membership/N;require/V;something/N;vow/N
church/N/br-d09/559,10,10,be/V;find/V;hour/N;many/N;membership/N;practical/J;require/V;school/N;something/N;sunday/N,be/V;find/V;hour/N;many/N;membership/N;practical/J;require/V;school/N;something/N;sunday/N
church/N/br-d09/6,7,7,be/V;desire/V;do/V;few/N;insincere/J;join/V;person/N,be/V;desire/V;do/V;few/N;insincere/J;join/V;person/N
church/N/br-d09/724,8,8,activity/N;be/V;church/N;invite/V;lay/J;leadership/N;local/J;program/N,activity/N;be/V;church/N;invite/V;lay/J;leadership/N;local/J;program/N
church/N/br-d09/731,9,9,be/V;church/N;invite/V;lay/J;leadership/N;local/J;phase/N;speak/V;various/J,be/V;church/N;invite/V;lay/J;leadership/N;local/J;phase/N;speak/V;various/J
church/N/br-d09/775,9,9,activity/N;be/V;budget/N;finance/N;pledge/N;present/V;session/N;social/J;solicit/V,activity/N;be/V;budget/N;finance/N;pledge/N;present/V;session/N;social/J;solicit/V
church/N/br-d09/891,9,9,class/N;effective/J;extend/V;found/V;have/V;hour/N;number/N;session/N;training/N,class/N;effective/J;extend/V;found/V;have/V;hour/N;number/N;session/N;training/N
church/N/br-d09/935,7,9,aids/N;discuss/V;excellent/J;lord/N;supper/N;symbolism/N;use/V,aids/N;audio-visual/J;discuss/V;excellent/J;filmstrips/N;lord/N;supper/N;symbolism/N;use/V
church/N/br-d10/1095,11,11,agent/N;asian/N;center/N;consider/V;culture/N;have/V;local/J;mission/N;produce/V;tend/V;western/J,agent/N;asian/N;center/N;consider/V;culture/N;have/V;local/J;mission/N;produce/V;tend/V;western/J
church/N/br-d10/1913,8,8,autonomy/N;catholic/J;defense/N;failure/N;impressive/J;practical/J;roman/J;state/N,autonomy/N;catholic/J;defense/N;failure/N;impressive/J;practical/J;roman/J;state/N
church/N/br-d10/2114,8,9,absoluteness/N;claim/V;council/N;dominant/J;position/N;reflect/V;say/V;world/N,absoluteness/N;claim/V;council/N;dominant/J;newbiggin/N;position/N;reflect/V;say/V;world/N
church/N/br-d10/2187,6,6,be/V;insist/V;mention/V;reconsider/V;salvation/N;visible/J,be/V;insist/V;mention/V;reconsider/V;salvation/N;visible/J
church/N/br-d10/305,8,9,be/V;certain/J;dispense/V;have/V;justification/N;man/N;naive/J;suggestion/N,be/V;certain/J;dispense/V;have/V;justification/N;man/N;naive/J;ought/V;suggestion/N
church/N/br-d12/1462,8,8,be/V;discuss/V;information/N;raise/V;role/N;setting/N;source/N;university/N,be/V;discuss/V;information/N;raise/V;role/N;setting/N;source/N;university/N
church/N/br-d12/233,9,9,bear/V;bring/V;ethical/J;help/V;insight/N;situation/N;social/J;theological/J;university/N,bear/V;bring/V;ethical/J;help/V;insight/N;situation/N;social/J;theological/J;university/N
church/N/br-d14/1311,12,12,ancestry/N;christ/N;day/N;england/N;issue/V;jesus/N;latter/N;man/N;new/N;saint/N;seventh/N;woman/N,ancestry/N;christ/N;day/N;england/N;issue/V;jesus/N;latter/N;man/N;new/N;saint/N;seventh/N;woman/N
church/N/br-d14/1926,6,6,attack/V;compromise/V;cowardly/J;deem/V;orthodox/J;slavery/N,attack/V;compromise/V;cowardly/J;deem/V;orthodox/J;slavery/N
church/N/br-d14/199,7,7,be/V;church/N;do/V;formal/J;have/V;member/N;minority/N,be/V;church/N;do/V;formal/J;have/V;member/N;minority/N
church/N/br-d14/2203,7,7,be/V;beecher/N;believe/V;break/V;lyman/N;outspoken/J;social/J,be/V;beecher/N;believe/V;break/V;lyman/N;outspoken/J;social/J
church/N/br-d14/234,8,8,be/V;christianity/N;give/V;have/V;instruction/N;many/N;member/N;of/J,be/V;christianity/N;give/V;have/V;instruction/N;many/N;member/N;of/J
church/N/br-d14/457,10,10,be/V;conformity/N;degree/N;discipline/N;exercise/V;general/J;lessen/V;member/N;mount/V;trend/N,be/V;conformity/N;degree/N;discipline/N;exercise/V;general/J;lessen/V;member/N;mount/V;trend/N
church/N/br-d14/507,10,10,baptist/N;charge/N;code/N;cognizance/N;ethical/J;frontier/N;majority/N;member/N;subscribe/V;take/V,baptist/N;charge/N;code/N;cognizance/N;ethical/J;frontier/N;majority/N;member/N;subscribe/V;take/V
church/N/br-d16/1644,7,7,ceremony/N;extreme/N;final/J;have/V;keep/V;sacrament/N;unction/N,ceremony/N;extreme/N;final/J;have/V;keep/V;sacrament/N;unction/N
church/N/br-d16/1947,6,7,bible/N;book/N;curse/V;ignore/V;laugh/V;salvation/N,bible/N;blood-bought/J;book/N;curse/V;ignore/V;laugh/V;salvation/N
church/N/br-d17/569,10,10,editorial/N;find/V;meet/V;need/N;new/N;organization/N;philanthropic/J;want/V;worker/N;york/N,editorial/N;find/V;meet/V;need/N;new/N;organization/N;philanthropic/J;want/V;worker/N;york/N
church/N/br-e12/1082,12,12,alamo/N;area/N;be/V;building/N;century/N;famous/J;great/N;mountain/N;photograph/V;smoky/N;spanish/J;th/N,alamo/N;area/N;be/V;building/N;century/N;famous/J;great/N;mountain/N;photograph/V;smoky/N;spanish/J;th/N
