id	model.x	model.y	lemma	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight_x100	wcratio_x100	weighted_cw	wf	new_pos	new_broad_genre
state/JJ/br-h14/1724	0.0672620026518293	0.0372736032272784	state	JJ	miscellaneous	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 in order to provide matching for the minimum( base) allotment, <font color=green>State</font>  funds had to equal 1954 State funds. Prior to and	3	4	468	133	8	State	JJ	technical
state/JJ/br-h14/1730	0.0630174877273542	0.0256988435366029	state	JJ	miscellaneous	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 the minimum( base) allotment, State funds had to equal 1954 <font color=green>State</font>  funds. Prior to and since 1960 the rest of the	4	4	444	100	8	State	JJ	technical
state/JJ/br-h14/1763	-0.00399758116924437	0.0297045007141469	state	JJ	miscellaneous	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 fiscal capacity of the State, with a pivot of 40% <font color=green>State</font> ( or 60% Federal) participation in total program costs. The percentage	2	2	350	100	4	State	JJ	technical
state/JJ/br-h14/1868	0.0362499223103923	0.0577531106087234	state	JJ	miscellaneous	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 will be matched on the basis of a 40% pivot <font color=green>State</font>  share, with maximum and minimum State shares of 50% and	5	4	441	80	7	State	JJ	technical
state/JJ/br-h14/1875	0.0404755671509727	0.0818162422804292	state	JJ	miscellaneous	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 of a 40% pivot State share, with maximum and minimum <font color=green>State</font>  shares of 50% and 30%, respectively. The pre 1960 rate	3	3	450	100	6	State	JJ	technical
state/JJ/br-h14/1997	0.0197120653149808	0.0207783580745357	state	JJ	miscellaneous	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 rates. The method used for computing the respective Federal and <font color=green>State</font>  shares in total program costs is specifically set forth in	4	3	359	75	9	State	JJ	technical
state/JJ/br-h14/332	-0.0230152381694464	0.0681459493161965	state	JJ	miscellaneous	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 grants to the States on the basis of population, matching <font color=green>State</font>  expenditures on a 50 - 50 basis. Under P. L.	3	1	382	33	5	State	JJ	technical
state/JJ/br-h14/360	-0.112409389906572	0.0997945530382218	state	JJ	miscellaneous	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 Congress, the Federal Government assumed responsibility for 100% of necessary <font color=green>State</font>  expenditures in connection with administration and the counseling and placement	4	1	360	25	4	State	JJ	technical
state/JJ/br-h14/533	0.0178784592422104	0.0421797856725508	state	JJ	miscellaneous	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 the authorizations, appropriations, allotment base, Federal grants to States and <font color=green>State</font>  matching funds for this part of the grant program. In	6	5	411	83	7	State	JJ	technical
state/JJ/br-h14/747	-0.0375073587375001	0.00622136346321171	state	JJ	miscellaneous	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 State. The provisions are also designed to avoid disruption in <font color=green>State</font>  programs already in operation, which might otherwise result from the	2	2	303	100	7	State	JJ	technical
state/JJ/br-h15/1500	-0.0179329934660342	-0.00730524954063903	state	JJ	miscellaneous	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 gather its own information and will receive broad information from <font color=green>State</font>  and Federal sources. It will tell you as soon as	2	2	322	100	6	State	JJ	technical
state/JJ/br-j38/1551	-0.0550515204886129	0.0508033012775944	state	JJ	learned	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 Federal government but from an exchange of experiences among states. <font color=green>State</font>  and local agencies in the vocational education field must be	4	3	341	75	5	State	JJ	essays
state/JJ/br-j38/1590	-0.0473040535864376	0.0226690353829373	state	JJ	learned	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 Federal effort to provide research and information to help guide <font color=green>state</font>  education departments and local school boards in existing programs. A	5	4	349	80	8	state	JJ	essays
state/JJ/br-j38/1871	-0.045816251821765	0.033763562467138	state	JJ	learned	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 for training to meet national skilled manpower needs. If only <font color=green>state</font>  funds were used to pay for the vocational education, it	3	3	378	100	5	state	JJ	essays
state/JJ/br-j38/441	-0.0738049792603602	0.0370113454577444	state	JJ	learned	non-fiction	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 enrolled in courses organized under two special programs administered by <font color=green>state</font>  and local school authorities:( 1) Vocational Education for National Defense	4	3	380	75	7	state	JJ	essays
state/JJ/br-j38/86	-0.0392868487118361	0.0420574804808769	state	JJ	learned	non-fiction	A1	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 appropriation of$ 7 million to support, on a matching basis, <font color=green>state</font>  administered programs of vocational education in agriculture, trades, industrial skills	4	3	388	75	8	state	JJ	essays
state/JJ/br-l14/977	-0.229999746583316	-0.0698939493026189	state	JJ	fiction_mystery	fiction	A2	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 modern, large, on five acres. Must have cost plenty. The <font color=green>State</font>  cops would check from time to time; pass word when	1	1	361	100	5	State	JJ	fiction
state/NN/br-a01/413	-0.3640946211648	0.00255247146278118	state	NN	press_reportage	press	A4	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 through the welfare departments of all the counties in the <font color=green>state</font>  with the exception of Fulton County, which receives none of	2	0	283	0	1	state	NN	press
state/NN/br-c01/1164	-0.3640946211648	0.00255247146278118	state	NN	press_reviews	press	C	C	C	ABC	welfare_state%1:14:00::	B	B	AB	ABC	 we should take from these pages is that the welfare <font color=green>state</font>  in England still allows wild scope for all kinds of	1	1	283	100	1	state	NN	press
state/NN/br-e22/2361	-0.00566832799232258	-0.387911987194264	state	NN	skill_and_hobbies	non-fiction	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 indeed in the musical history of the entire eastern United <font color=green>States</font> . On that date the Musicians Emergency Fund, organized to furnish	1	0	259	0	1	States	NNPS	technical
state/NN/br-f17/794	-0.00566832799232258	-0.387911987194264	state	NN	popular_lore	fiction	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 route through Illinois territory to Indiana and the eastern United <font color=green>States</font>  was the best route for goods from England to reach	1	0	259	0	1	States	NNPS	essays
state/NN/br-f17/844	-0.313529228618898	0.146336864781131	state	NN	popular_lore	fiction	C	C	C	ABC	secretary_of_state%1:18:01::	C1	C	C	ABC	 on December 22 wrote to John Quincy Adams, Secretary of <font color=green>State</font>  at Washington, inquiring about laws covering trade with`` Missouri and	2	1	261	50	1	State	NNP	essays
state/NN/br-g01/1187	0.23273350790285	0.171336881687087	state	NN	belles_lettres	fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 traditional way of life persists much more in the older <font color=green>states</font>  than in the new ones. Probably a larger percentage of	5	0	252	0	1	states	NNS	fiction
state/NN/br-g01/26	-0.3640946211648	0.00255247146278118	state	NN	belles_lettres	fiction	C	C	C	ABC	welfare_state%1:14:00::	B	B	AB	ABC	 also led the nation in the direction of a welfare <font color=green>state</font> . And both in their objectives of non-discrimination and of social	4	1	283	25	1	state	NN	fiction
state/NN/br-g19/545	-0.123673904541995	-0.545125970016226	state	NN	belles_lettres	fiction	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 of the giant corporations in Western Europe and the United <font color=green>States</font>  dates from the period 1880- 1900. Now, although the roots	1	0	257	0	1	States	NNPS	fiction
state/NN/br-h09/1237	-0.313529228618898	0.146336864781131	state	NN	miscellaneous	non-fiction	C	C	C	ABC	secretary_of_state%1:18:00::	C1	C	C	ABC	 development may, subject to the approval of the Secretary of <font color=green>State</font>  to assure that such activities are consistent with the foreign	1	1	261	100	1	State	NNP	technical
state/NN/br-h09/1534	-0.313529228618898	0.146336864781131	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states_of_america%1:15:00::	A51	A	AB	ABC	 by the Senate and House of Representatives of the United <font color=green>States</font>  of America in Congress assembled, That the Secretary of the	1	0	261	0	1	States	NNPS	technical
state/NN/br-h09/172	0.297862674152469	-0.305569145253502	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 other mineralized or chemically charged water, and the term' United <font color=green>States</font> ' extends to and includes the District of Columbia, the Commonwealth	1	0	371	0	1	States	NNPS	technical
state/NN/br-h09/1779	0.278763771299259	-0.149208722630439	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states%1:14:00::	A52	A	AB	ABC	 Commonwealth of Puerto Rico and any possession of the United <font color=green>States</font> ; and the term`` commerce'' means commerce between any State and	1	0	319	0	3	States	NNPS	technical
state/NN/br-h09/1791	-0.160196056588757	-0.361944158420781	state	NN	miscellaneous	non-fiction	A4	A	AB	ABC	state%1:14:01::	B	B	AB	ABC	 United States; and the term`` commerce'' means commerce between any <font color=green>State</font>  and any place outside thereof, or between points within the	4	2	269	50	3	State	NNP	technical
state/NN/br-h09/1804	-0.230241950057397	0.120146135771263	state	NN	miscellaneous	non-fiction	A4	A	AB	ABC	state%1:14:01::	B	B	AB	ABC	 any place outside thereof, or between points within the same <font color=green>State</font>  but through any place outside thereof. The Secretary of the	4	0	262	0	4	State	NNP	technical
state/NN/br-h09/1886	-0.313529228618898	0.146336864781131	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states_of_america%1:15:00::	A51	A	AB	ABC	 by the Senate and House of Representatives of the United <font color=green>States</font>  of America in Congress assembled, That the Secretary of the	1	0	261	0	1	States	NNPS	technical
state/NN/br-h09/197	0.370083053596737	-0.16436208666488	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states%1:14:00::	A52	A	AB	ABC	 Puerto Rico, and the territories and possessions of the United <font color=green>States</font> . In order to accomplish the purposes of this Act, the	1	0	346	0	1	States	NNPS	technical
state/NN/br-h09/704	-0.133749748272832	0.385368564408335	state	NN	miscellaneous	non-fiction	A3	A	AB	ABC	state_department%1:14:01::	C2	C	C	ABC	 projects; and cooperate with other Federal departments and agencies, with <font color=green>State</font>  and local departments, agencies, and instrumentalities, and with interested persons	4	1	264	25	1	State	NNP	technical
state/NN/br-h09/832	-0.3640946211648	0.00255247146278118	state	NN	miscellaneous	non-fiction	C	C	C	ABC	department_of_state%1:14:00::	C1	C	C	ABC	 the Department of Health Education and Welfare, the Department of <font color=green>State</font> , and other concerned agencies shall also be carried out in	2	1	283	50	1	State	NNP	technical
state/NN/br-h12/1291	0.427203144389659	0.0414288704171813	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 appointed by a court of competent jurisdiction in the United <font color=green>States</font>  and has not been discharged prior to the date of	1	0	312	0	1	States	NNPS	technical
state/NN/br-h12/1345	0.427203144389659	0.0414288704171813	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 appointed by a court of competent jurisdiction in the United <font color=green>States</font> , makes an assignment of the claim, or any part thereof	1	0	312	0	1	States	NNPS	technical
state/NN/br-h12/2127	-0.313529228618898	0.146336864781131	state	NN	miscellaneous	non-fiction	C	C	C	ABC	secretary_of_state%1:18:01::	C1	C	C	ABC	 of the Treasury, upon the concurrence of the Secretary of <font color=green>State</font> , is authorized and directed, out of the sum covered into	3	1	261	33	1	State	NNP	technical
state/NN/br-h12/2215	-0.313529228618898	0.146336864781131	state	NN	miscellaneous	non-fiction	C	C	C	ABC	secretary_of_state%1:18:01::	C1	C	C	ABC	 of the Yugoslav Claims Agreement of 1948. The Secretary of <font color=green>State</font>  shall certify to the Secretary of the Treasury the total	3	2	261	67	2	State	NNP	technical
state/NN/br-h12/468	0.427203144389659	0.0414288704171813	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 as to any claims of the Government of the United <font color=green>States</font>  with respect to which the Commission has jurisdiction under this	1	0	312	0	1	States	NNPS	technical
state/NN/br-h12/691	-0.313529228618898	0.146336864781131	state	NN	miscellaneous	non-fiction	C	C	C	ABC	secretary_of_state%1:18:01::	C1	C	C	ABC	 fact and not subject to review by the Secretary of <font color=green>State</font>  or any other official, department, agency, or establishment of the	3	1	261	33	1	State	NNP	technical
state/NN/br-h12/810	-0.313529228618898	0.146336864781131	state	NN	miscellaneous	non-fiction	C	C	C	ABC	secretary_of_state%1:18:01::	C1	C	C	ABC	 the Secretary of the Treasury and to the Secretary of <font color=green>State</font>  copies of the awards made in favor of the Government	3	2	261	67	2	State	NNP	technical
state/NN/br-h12/844	-0.313529228618898	0.146336864781131	state	NN	miscellaneous	non-fiction	C	C	C	ABC	secretary_of_state%1:18:01::	C1	C	C	ABC	 this Title. The Commission shall certify to the Secretary of <font color=green>State</font> , upon his request, copies of the formal submissions of claims	1	1	261	100	1	State	NNP	technical
state/NN/br-h14/1016	0.347880347709853	0.140883975452036	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 which bears the same ratio to 50% as the particular <font color=green>State</font>  's average per capita income bears to the average per	4	0	303	0	3	State	NNP	technical
state/NN/br-h14/1049	0.150110053366394	0.1761567335465	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 in item 3 above by the result obtained for each <font color=green>State</font>  in item 1 above.) Determine the particular State 's`` allotment	3	0	282	0	4	State	NNP	technical
state/NN/br-h14/1059	0.132477059747586	0.068345217097166	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 for each State in item 1 above.) Determine the particular <font color=green>State</font>  's`` allotment percentage''. By law this is 75% for the	5	2	286	40	4	State	NNP	technical
state/NN/br-h14/1123	0.132477059747586	0.068345217097166	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 the result obtained in item 4 above; except that no <font color=green>State</font>  shall have an allotment percentage less than 33- 1 3	2	2	286	100	4	State	NNP	technical
state/NN/br-h14/1159	0.172628391019183	0.0931996872156868	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 particular State is less or more than these extremes, the <font color=green>State</font>  's allotment percentage must be raised or lowered to the	4	2	291	50	2	State	NNP	technical
state/NN/br-h14/1175	0.172628391019183	0.0931996872156868	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 be raised or lowered to the appropriate extreme. Square each <font color=green>State</font>  's allotment percentage. Determine each State 's population.( See Source	4	2	291	50	2	State	NNP	technical
state/NN/br-h14/1182	0.172628391019183	0.0931996872156868	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 appropriate extreme. Square each State 's allotment percentage. Determine each <font color=green>State</font>  's population.( See Source of Data, below for population data	4	2	291	50	2	State	NNP	technical
state/NN/br-h14/1209	0.172628391019183	0.0931996872156868	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 be used in this step.) Multiply the population of each <font color=green>State</font>  by the square of its allotment percentage.( Multiply result obtained	3	2	291	67	2	State	NNP	technical
state/NN/br-h14/1251	0.150110053366394	0.1761567335465	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 the products obtained in item 8 above, for all the <font color=green>States</font> .( For each State, make all computations set forth in items	2	0	282	0	2	States	NNPS	technical
state/NN/br-h14/1256	0.165077966502283	0.232975374164343	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 in item 8 above, for all the States.( For each <font color=green>State</font> , make all computations set forth in items 1 to 8	1	0	251	0	1	State	NNP	technical
state/NN/br-h14/1278	0.150110053366394	0.1761567335465	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 8 above, and then add the results obtained for each <font color=green>State</font>  in item 8.) Determine the ratio that the amount being	1	0	282	0	2	State	NNP	technical
state/NN/br-h14/1323	0.143632598842349	0.0751540249552998	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 the result obtained in item 9 above.) Determine the particular <font color=green>State</font>  's unadjusted allotment for the particular fiscal year.( Multiply the	4	1	298	25	3	State	NNP	technical
state/NN/br-h14/1336	0.143632598842349	0.0751540249552998	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 's unadjusted allotment for the particular fiscal year.( Multiply the <font color=green>State</font>  product in item 8 above by the result obtained in	4	1	298	25	3	State	NNP	technical
state/NN/br-h14/1356	0.143632598842349	0.0751540249552998	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 result obtained in item 10 above.) Determine if the particular <font color=green>State</font>  's unadjusted allotment( result obtained in item 11 above) is	4	1	292	25	5	State	NNP	technical
state/NN/br-h14/1389	0.22496561724704	0.0988925055550758	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 so lower its unadjusted allotment to its maximum allotment.( Each <font color=green>State</font>  's unadjusted allotment for any fiscal year, which exceeds its	5	3	329	60	3	State	NNP	technical
state/NN/br-h14/1444	0.143632598842349	0.0751540249552998	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 by the amount of the excess.) Determine if the particular <font color=green>State</font>  's unadjusted allotment( result obtained in item 11 above) is	4	1	298	25	3	State	NNP	technical
state/NN/br-h14/1485	0.22496561724704	0.0988925055550758	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 to its minimum allotment. Regardless of its unadjusted allotment, each <font color=green>State</font>  is guaranteed by law a minimum allotment each year equal	4	3	329	75	3	State	NNP	technical
state/NN/br-h14/1521	0.23273350790285	0.171336881687087	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 percentage of 5.4865771 which brings total 1954 allotments to all <font color=green>States</font>  up to$ 23000000. The funds recouped by reductions in item	3	1	252	33	1	States	NNPS	technical
state/NN/br-h14/1552	0.22496561724704	0.0988925055550758	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 increase the unadjusted allotments to the specified minimum in those <font color=green>States</font>  where the unadjusted allotment is less than the minimum allotment	3	2	329	67	2	States	NNPS	technical
state/NN/br-h14/1595	0.22496561724704	0.0988925055550758	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 their maximums, with adjustments to prevent the allotment of any <font color=green>State</font>  from thereby exceeding its maximum. For the States which maintain	4	1	329	25	1	State	NNP	technical
state/NN/br-h14/1786	0.23273350790285	0.171336881687087	state	NN	miscellaneous	non-fiction	A1	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 The percentage of Federal participation in such costs for any <font color=green>State</font>  is referred to in the law as that State 's	4	1	252	25	1	State	NNP	technical
state/NN/br-h14/1815	0.23273350790285	0.171336881687087	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 of this explanation, this percentage is referred to as the <font color=green>States</font> `` unadjusted Federal share''. Beginning in 1960, the matching requirements for	5	1	252	20	1	States	NNPS	technical
state/NN/br-h14/1897	0.22496561724704	0.0988925055550758	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 pre 1960 rate of Federal participation with respect to any <font color=green>State</font>  's base allotment, as well as the adjusted rate in	5	1	329	20	1	State	NNP	technical
state/NN/br-h14/2019	0.248694816512976	-0.193701432113021	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 forth in the Act. The term`` State'' means the several <font color=green>States</font> , the District of Columbia, the Virgin Islands, Guam and Puerto	4	0	301	0	3	States	NNPS	technical
state/NN/br-h14/2039	0.323579095365036	-0.155389714108266	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 the Virgin Islands, Guam and Puerto Rico; the term`` United <font color=green>States</font> '' includes the several States and the District of Columbia and	1	0	345	0	4	States	NNPS	technical
state/NN/br-h14/2044	0.248694816512976	-0.193701432113021	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 and Puerto Rico; the term`` United States'' includes the several <font color=green>States</font>  and the District of Columbia and excludes the Virgin Islands	2	0	301	0	3	States	NNPS	technical
state/NN/br-h14/2082	0.317093031771217	-0.142850862502331	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 The following steps are employed in the calculations: For each <font color=green>State</font> ( except the Virgin Islands, Guam, Puerto Rico, and, prior to	3	1	308	33	5	State	NNP	technical
state/NN/br-h14/2143	0.347880347709853	0.140883975452036	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 above.) Determine the average per capita income for the United <font color=green>States</font>  for the last three years.( The same amount used in	1	0	304	0	2	States	NNPS	technical
state/NN/br-h14/2182	0.27155451931486	0.127584617444517	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 40% to the average per capita income of the United <font color=green>States</font> .( Divide 40 by the amount used in item 2 above	1	0	307	0	3	States	NNPS	technical
state/NN/br-h14/2200	0.209536487334828	-0.0498854153962178	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 the amount used in item 2 above.) Determine for each <font color=green>State</font> ( except the Virgin Islands, Guam, Puerto Rico, and, prior to	3	1	301	33	7	State	NNP	technical
state/NN/br-h14/2236	0.347880347709853	0.140883975452036	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 which bears the same ratio to 40% as the particular <font color=green>State</font>  's average per capita income bears to the average per	4	0	303	0	3	State	NNP	technical
state/NN/br-h14/2252	0.192303632407128	0.105429284254911	state	NN	miscellaneous	non-fiction	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 bears to the average per capita income of the United <font color=green>States</font> .( Multiply the result obtained in item 3 above by the	1	0	293	0	4	States	NNPS	technical
state/NN/br-h14/2269	0.150110053366394	0.1761567335465	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 in item 3 above by the amount used for each <font color=green>State</font>  in item 1 above.) Determine the particular State 's`` Federal	2	0	282	0	4	State	NNP	technical
state/NN/br-h14/2279	0.150110053366394	0.1761567335465	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 for each State in item 1 above.) Determine the particular <font color=green>State</font>  's`` Federal Share''. By law this is 70% for the	3	0	282	0	2	State	NNP	technical
state/NN/br-h14/2344	0.150110053366394	0.1761567335465	state	NN	miscellaneous	non-fiction	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 the result obtained in item 4 above; except that no <font color=green>State</font>  shall have a Federal share less than 50% nor more	2	0	282	0	2	State	NNP	technical
state/NN/br-h14/324	-0.0302172822060612	0.325492634791235	state	NN	miscellaneous	non-fiction	A1	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 existed until 1943, the Federal Government made grants to the <font color=green>States</font>  on the basis of population, matching State expenditures on a	5	1	272	20	1	States	NNPS	technical
state/NN/br-h14/531	0.101460364451847	0.107331803822232	state	NN	miscellaneous	non-fiction	A1	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 selected years, the authorizations, appropriations, allotment base, Federal grants to <font color=green>States</font>  and State matching funds for this part of the grant	4	2	291	50	3	States	NNPS	technical
state/NN/br-h14/549	-0.0302172822060612	0.325492634791235	state	NN	miscellaneous	non-fiction	A1	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 part of the grant program. In order to assist the <font color=green>States</font>  in maintaining basic vocational rehabilitation services, Section 2 of the	3	1	272	33	1	States	NNPS	technical
