id	model.x	model.y	lemma	wf	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight_x100	wcratio_x100	weighted_cw	new_pos	new_broad_genre
church/NN/br-k04/1076	0.022312574357412	-0.00319670704973679	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 There were two liquor saloons not very far from the <font color=green>church</font> , one white, that is conducted for white people with a	4	3	129	75	11	NN	fiction
church/NN/br-k04/1117	0.232511787558131	-0.0868042822699055	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 of gambling in both. On the other side of the <font color=green>church</font>  was a quiet, well-kept house with shutters and recently painted	4	0	170	0	4	NN	fiction
church/NN/br-k04/1145	0.14520009736491	-0.120978929919754	church	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 it. It was called Kent House. The deacon of the <font color=green>church</font> , Carlson, was its janitor. One of the leading members of	3	0	102	0	5	NN	fiction
church/NN/br-k04/1353	0.0425574829845115	-0.0133421533345469	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 tract of land, and it occurred to him that the <font color=green>church</font>  and the better Negro homes might gradually be moved to	3	3	96	100	7	NN	fiction
church/NN/br-k04/1419	0.014422084497567	0.00265818593097527	church	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 stress, and that was that the contribution to the general <font color=green>church</font>  expenses, the dollar money, had been seriously falling behind in	3	3	125	100	10	NN	fiction
church/NN/br-k04/1433	0.0252984964152844	0.00162928150380515	church	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 the dollar money, had been seriously falling behind in this <font color=green>church</font> , and that must be looked after immediately. In fact, he	1	1	85	100	12	NN	fiction
church/NN/br-k04/1485	0.00935435256784499	-0.0308312963409259	church	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 that clear as this was, they must have a better <font color=green>church</font> , a more business-like conduct of the church organization, and an	2	1	191	50	6	NN	fiction
church/NN/br-k04/1493	-0.00190244902465473	-0.0217126927221674	church	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 have a better church, a more business-like conduct of the <font color=green>church</font>  organization, and an effort to get this religious center out	4	3	173	75	8	NN	fiction
church/NN/br-k04/1514	-0.0308148135836731	-0.050820932168211	church	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 out of its rut of wild worship into a modern <font color=green>church</font>  organization. He emphasized to the Presiding Elder the plan of	5	3	200	60	6	NN	fiction
church/NN/br-k04/1530	0.0307529060629118	0.0173816681585478	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 the Presiding Elder the plan of giving up the old <font color=green>church</font>  and moving across the river. The Presiding Elder was sure	5	3	86	60	5	NN	fiction
church/NN/br-k04/1578	0.0210691534060993	0.00720418069576416	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 impossible. The bank which held the mortgage on the old <font color=green>church</font>  declared that the interest was considerably in arrears, and the	2	1	118	50	6	NN	fiction
church/NN/br-k04/1634	0.0596828188210705	0.0352631144740648	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 to colored folk. When it was proposed to rebuild the <font color=green>church</font> , Wilson found that the terms for a new mortgage were	2	0	141	0	6	NN	fiction
church/NN/br-k04/1685	-0.00530281846934296	-0.113369411724574	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 made to his Deacon Board, he met unanimous opposition. The <font color=green>church</font>  certainly would not be removed. The very proposition was sacrilege	3	1	120	33	7	NN	fiction
church/NN/br-k04/1807	0.0666561289745643	0.0332036428745024	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 of money that has been invested by whites around that <font color=green>church</font> ? Tenements, stores, saloons, some gambling, I hope not too much	5	2	157	40	6	NN	fiction
church/NN/br-k04/1874	0.107000486435912	0.0635916496991438	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 were you I would just plan to repair the old <font color=green>church</font>  so it would last for five or ten years. By	3	3	104	100	7	NN	fiction
church/NN/br-k04/2301	-0.000420240228086853	-0.0347723213704697	church	church	NN	fiction_gral	fiction	B	B	AB	AB	methodist_church%1:14:00::	B2	B	AB	AB	 mean practically the end of his career in the Methodist <font color=green>church</font> , if not in all churches.	3	1	133	33	6	NN	fiction
church/NN/br-k04/356	0.0458394198983716	0.019965501625495	church	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 with the whites, especially the rich who partly supported the <font color=green>church</font> . The Deacon Board, headed by a black man named Carlson	7	4	156	57	7	NN	fiction
church/NN/br-k04/397	0.0129843820045464	-0.0763753531335939	church	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 support of the Amen corner. The characteristic thing about this <font color=green>church</font>  was its Amen corner and the weekly religious orgy. A	4	4	181	100	6	NN	fiction
church/NN/br-k04/828	0.0169384672325228	0.00320047068216472	church	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 the home of one of the old members of the <font color=green>church</font> , a woman named Catt who, as Wilson afterward found, was	2	2	146	100	7	NN	fiction
church/NN/br-k04/877	0.0524059783682527	0.0702781726158262	church	church	NN	fiction_gral	fiction	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 never married, conducting a spotless home and devoted to her <font color=green>church</font> , but a perpetual dissenter and born critic. She soared over	2	1	214	50	5	NN	fiction
church/NN/br-k04/923	0.0720798122012128	-0.0219696802780395	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 which she was chief repository. Then Wilson looked over the <font color=green>church</font>  and studied its condition. The salary of the pastor had	3	3	139	100	8	NN	fiction
church/NN/br-k04/975	0.164513979145593	-0.0327876299768191	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 he mentioned this to the Deacons they said nothing. The <font color=green>church</font>  itself must be repaired. It was dirty and neglected. It	3	2	112	67	7	NN	fiction
church/NN/br-k06/1056	0.0705875835587614	0.010678643141604	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 northward to Brooklyn, below Point Peter, he could see the <font color=green>church</font>  spire wherever he looked back. Sometimes they went south and	5	2	115	40	6	NN	fiction
church/NN/br-k06/1389	0.125424855333313	-0.00403034389352184	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 with its peaked lance. Stevie was constantly slipping into the <font color=green>church</font> . He pulled with all his strength at the heavy, brass	3	2	109	67	6	NN	fiction
church/NN/br-k06/1473	0.172174411244353	-0.00761671513904406	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 hands tucked under his coattails, and staring into the dark <font color=green>church</font> . The figure was wreathed in an extraordinary luminescence. The boy	3	2	104	67	5	NN	fiction
church/NN/br-k06/528	0.186487308285597	0.023930642315238	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 his head out. There was the slate roof of the <font color=green>church</font> ; ivy climbed the red brick walls like a green scaled	5	3	152	60	7	NN	fiction
church/NN/br-k06/571	0.289743398976168	-0.0457484408808811	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 cupboards.`` There 's a tower and a steeple on the <font color=green>church</font>  a million feet high. And the loudest clock in the	3	2	160	67	5	NN	fiction
church/NN/br-k06/659	0.211455744196738	-0.143986831971542	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 Street to Orange Square. The steeple leaned backward, while the <font color=green>church</font>  advanced like a headless creature in a long, shapeless coat	5	0	225	0	3	NN	fiction
church/NN/br-k06/852	0.233109434075918	-0.0333030200983534	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 Church with its high steeple and clock. There was no <font color=green>church</font>  like Drew Church, no preacher like Papa, who was intimate	3	2	181	67	5	NN	fiction
church/NN/br-k10/1423	-0.0133749986137556	-0.00684231149185061	church	Church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 economics, and social issues that are no concern of the <font color=green>Church</font> ''? And John 's reply was always the same:`` Anything that	5	1	117	20	8	NNP	fiction
church/NN/br-k10/1445	0.11034513370641	0.0781541361871328	church	Church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 same:`` Anything that affects souls is the concern of the <font color=green>Church</font> ! We will have righteousness''! Tears burned behind his eyes as	3	2	150	67	7	NNP	fiction
church/NN/br-k10/1802	0.100842736221321	-0.039379031336705	church	Church	NN	fiction_gral	fiction	B	B	AB	AB	church_of_rome%1:14:00::	B1	B	AB	AB	 Geneva, saying that he had been a bishop of the <font color=green>Church</font>  of Rome and had been persecuted in Paris for his	2	1	91	50	7	NNP	fiction
church/NN/br-k10/205	0.135927374558114	0.0937292205696248	church	Church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 that the couple would have to be punished if the <font color=green>Church</font>  was to be respected.`` I have told you before, and	2	1	95	50	6	NNP	fiction
church/NN/br-k10/257	0.0630881112962177	-0.0507950601632959	church	Church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 is the answer the ungodly will always make when the <font color=green>Church</font>  points its fingers at their sins. I say to you	3	2	107	67	7	NNP	fiction
church/NN/br-k10/271	0.0972183402703873	-0.0920293471020601	church	Church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 fingers at their sins. I say to you that the <font color=green>Church</font>  will ever decry evil''! John 's reply was like a	3	2	157	67	7	NNP	fiction
church/NN/br-k10/561	0.0396888603973711	0.0227672551220443	church	Church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 weeks before, in early November, without being reconciled to the <font color=green>Church</font> . The canons, in a body, had tried to force him	3	1	100	33	4	NNP	fiction
church/NN/br-k10/588	0.0877836069016279	-0.0825351946492003	church	Church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 to let them give him the last rites of the <font color=green>Church</font> , but he had died still proclaiming salvation by faith. Burial	3	2	155	67	8	NNP	fiction
church/NN/br-k10/967	0.0930118597630421	0.00711659932976769	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 all the time. Quickening his steps, John entered the vast <font color=green>church</font>  and climbed the tower steps to the bells. Underneath the	6	6	167	100	8	NN	fiction
church/NN/br-k13/533	0.135482716210008	0.0233145508078444	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 Harold indicated the photograph on the wall and asked what <font color=green>church</font>  the stone sculpture was in. Eugene told him and he	3	3	129	100	11	NN	fiction
church/NN/br-k14/1114	0.0476121270056213	-0.0169798941332748	church	Church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 not want my people to get in trouble with the <font color=green>Church</font> ''.`` I am working for the Cardinal of San Dionigi. I'm	3	2	73	67	4	NNP	fiction
church/NN/br-k14/826	0.146172551346316	-0.157735381567781	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 Jewish section was in Trastevere, near the Tiber at the <font color=green>church</font>  of San Francesco a Ripa. The colony had been small	4	1	93	25	6	NN	fiction
church/NN/br-k15/188	0.0671069919922005	0.000770996427282502	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 They held the funeral the next morning from the crossroads <font color=green>church</font>  and buried the little box in the quiet family plot	6	6	194	100	10	NN	fiction
church/NN/br-k16/1431	0.147391036256913	0.0231788415133374	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 thickets. Along Wappinger Creek in Dutchess County, past the white <font color=green>church</font>  at Fishkill, past Verplanck 's Point on the east bank	6	5	174	83	5	NN	fiction
church/NN/br-k16/2285	0.0726412720036285	0.00170608832103642	church	church	NN	fiction_gral	fiction	E	E	DE	CDE	church_service%1:04:00::	E	E	DE	CDE	 him out of some dim corner of memory from a <font color=green>church</font>  service when he was a boy- yes, in a white	1	1	151	100	6	NN	fiction
church/NN/br-k16/2298	0.130361656314353	0.00884235864071782	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 service when he was a boy- yes, in a white <font color=green>church</font>  with a thin spur steeple in the patriarchal Hudson Valley	5	3	99	60	5	NN	fiction
church/NN/br-k19/168	0.0359974932260428	0.00790361026181093	church	church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 for a more exalted office in the hierarchy of the <font color=green>church</font> - his ambitions for the bishopry had died very early in	5	1	63	20	6	NN	fiction
church/NN/br-k19/213	0.0395327343472087	-0.106146245674081	church	church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 of this desire was due to his devotion to the <font color=green>church</font>  and how much was his own ego, demanding to be	1	1	121	100	8	NN	fiction
church/NN/br-k25/81	0.00613923026041374	0.041914596786892	church	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 whether a private residence in his Pennsylvania county or a <font color=green>church</font>  in Brazil, without it being obvious that he had done	3	2	109	67	7	NN	fiction
church/NN/br-l08/1824	0.0842304470271586	-0.00620403816301909	church	church	NN	fiction_mystery	fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 did n't feel good on Sunday, could n't go to <font color=green>church</font> - there 'd be a little argument, but she could be	3	2	105	67	7	NN	fiction
church/NN/br-l08/2109	0.00900585709423948	-0.00823089791855844	church	church	NN	fiction_mystery	fiction	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 with foreign sounding names, the ones went to the same <font color=green>church</font>  and- Different place, different job, different people, she 'd be	2	2	96	100	11	NN	fiction
church/NN/br-m01/1682	0.0136155753918255	0.0361648561855995	church	Church	NN	fiction_science	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 indicted for price-cutting. Fosterite bishops, after secret conclave, announced the <font color=green>Church</font>  's second Major Miracle: Supreme Bishop Digby had been translated	5	1	117	20	5	NNP	fiction
church/NN/br-m01/2360	0.019226461048362	0.00906877993250464	church	church	NN	fiction_science	fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 continued most of the week following that ill-starred trip to <font color=green>church</font> , during which period Mike stayed in his room and usually	1	1	126	100	7	NN	fiction
church/NN/br-p01/1161	0.156971102118605	0.0157846459919547	church	church	NN	fiction_romance	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 hill, rising with the hill to the top where the <font color=green>church</font>  was and beyond that to the cemetery. Only paved alleyways	7	6	157	86	9	NN	fiction
church/NN/br-p01/21	0.21252807794951	-0.0317359964108207	church	church	NN	fiction_romance	fiction	D	D	DE	CDE	church_tower%1:06:00::	D	D	DE	CDE	 them he could have been the broken bell in the <font color=green>church</font>  tower which rang before and after Mass, and at noon	4	3	200	75	6	NN	fiction
church/NN/br-p01/222	0.074670190456414	-0.00666449553571689	church	church	NN	fiction_romance	fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 from its elders. Youth obeyed when commanded. It went to <font color=green>church</font>  on Sunday and one Saturday a month went to confession	5	5	211	100	9	NN	fiction
church/NN/br-p01/829	0.137151573253578	-0.0401866339644561	church	church	NN	fiction_romance	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 to Drexel Street and his back in opposition to the <font color=green>church</font>  behind him. For all he saw or cared to see	5	3	136	60	6	NN	fiction
church/NN/br-p03/76	0.0449919949727839	0.0772734286684755	church	church	NN	fiction_romance	fiction	E	E	DE	CDE	Z	Z	Z	Z	Z	 to live in California. He 'd mentioned it, himself, at <font color=green>church</font>  and everybody seemed to have the idea that Tolley had	2	1	122	50	4	NN	fiction
church/NN/br-p03/933	0.100698574466383	0.0224953141008564	church	church	NN	fiction_romance	fiction	E	E	DE	CDE	Z	Z	Z	Z	Z	 scream. And do n't tell me you did n't at <font color=green>church</font>  Sunday. I heard you''! He really had n't meant to	2	0	52	0	5	NN	fiction
church/NN/br-p04/2406	0.100097973941647	0.00236583630718982	church	church	NN	fiction_romance	fiction	D	D	DE	CDE	Z	Z	Z	Z	Z	 sky. She felt mindless, walking, and almost easy until the <font color=green>church</font>  spire told her she was near the cemetery, and she	3	2	121	67	7	NN	fiction
church/NN/br-p04/2429	0.255439413322639	0.0863475647207157	church	church	NN	fiction_romance	fiction	D	D	DE	CDE	Z	Z	Z	Z	Z	 caught herself wondering what she would say to Doaty. Both <font color=green>church</font>  and graveyard were smaller than she remembered them( how many	2	0	65	0	4	NN	fiction
church/NN/br-p04/983	0.371901419559088	-0.0156404632818977	church	church	NN	fiction_romance	fiction	D	D	DE	CDE	Z	Z	Z	Z	Z	 beyond the door. To a Blackwell, there was only one <font color=green>church</font> . The cemetery slumbered just behind it, and the way lay	2	2	125	100	4	NN	fiction
church/NN/br-p06/425	0.0118523172111267	0.0220557346141801	church	church	NN	fiction_romance	fiction	C	C	C	CDE	Z	Z	Z	Z	Z	 yellow moons.`` How do you do''? she said, semi-professionally.`` Our <font color=green>church</font>  is sponsoring a group of very courageous women up in	2	2	106	100	5	NN	fiction
church/NN/br-p09/150	0.111520285375295	-0.112578562909997	church	church	NN	fiction_romance	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 all right. Wednesday nights after youth fellowship. Out of the <font color=green>church</font>  and into his big car, it tooling over the road	4	1	173	25	5	NN	fiction
church/NN/br-p12/1014	0.473875506260209	0.178507404709591	church	church	NN	fiction_romance	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 Then they took a taxi to Trastevere.`` There 's a <font color=green>church</font>  you should see'', she said. And when they stood by	3	1	166	33	2	NN	fiction
church/NN/br-p12/1063	0.119044224555774	0.0481054293961974	church	church	NN	fiction_romance	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 with Alberto. He let her tell him all about the <font color=green>church</font> . Then they had dinner. All evening she was eloquent and	1	0	89	0	5	NN	fiction
church/NN/br-p12/1102	0.157180217588678	0.0246479247287528	church	church	NN	fiction_romance	fiction	D	D	DE	CDE	church_bell%1:06:00::	D	D	DE	CDE	 in the morning when he woke up at ten the <font color=green>church</font>  bells were ringing. He had never heard so many bells	2	1	120	50	7	NN	fiction
church/NN/br-p12/1141	0.152746541128999	0.0217271312870598	church	church	NN	fiction_romance	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 when he had looked up at the obelisk and the <font color=green>church</font>  at the top of the Spanish Steps. It was a	3	1	72	33	5	NN	fiction
church/NN/br-p12/1260	0.0577397787235555	-0.0213828620372301	church	church	NN	fiction_romance	fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 snuggled against him, he wondered if she ever went to <font color=green>church</font> . Why did he want her to go to church? he	2	1	116	50	7	NN	fiction
church/NN/br-p12/1270	0.0562933224758875	-0.0193205441542808	church	church	NN	fiction_romance	fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 to church. Why did he want her to go to <font color=green>church</font> ? he wondered. Probably because it was a place where she	2	2	96	100	8	NN	fiction
church/NN/br-p12/1309	0.0604508645322604	-0.042959569201925	church	church	NN	fiction_romance	fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 It was too bad he had no feeling himself for <font color=green>church</font> . Not his poor mother 's fault. She would have been	2	2	112	100	5	NN	fiction
church/NN/br-p12/1433	-0.00216084558710153	-0.111390321208397	church	church	NN	fiction_romance	fiction	C	C	C	CDE	church%1:04:00::	E	E	DE	CDE	 woman though, she would take only what she needed from <font color=green>church</font> . It was too bad he was n't a Catholic himself	3	2	120	67	7	NN	fiction
church/NN/br-p12/1559	0.0880176602370327	0.0121665268672251	church	church	NN	fiction_romance	fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 girl like Carla if she got up and went to <font color=green>church</font> . A half hour later he got her up to go	1	0	78	0	8	NN	fiction
church/NN/br-r05/1163	0.0272528420945262	-0.0220632536434863	church	church	NN	humor	fiction	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 While Henry Morgan was escorting Miss Vera Green from the <font color=green>church</font>  social last Saturday night, a savage dog attacked them and	3	2	159	67	7	NN	fiction
church/NNP/br-g02/1539	-0.0604210285810549	-0.0846674787828478	church	Church	NNP	belles_lettres	fiction	A	A	AB	AB	Z	Z	Z	Z	Z	 and influence of such other claimants for loyalty as the <font color=green>Church</font> . The breakup of the Holy Roman Empire and the downfall	4	2	205	50	5	NNP	fiction
church/NNP/br-k04/233	0.0575517147264069	-0.00454767852015669	church	Church	NNP	fiction_gral	fiction	D	D	DE	CDE	group%1:03:00::	C	C	C	CDE	 of this crowded region was the Allen African Methodist Episcopal <font color=green>Church</font> . It was an old and dirty wooden structure, sadly in	4	4	193	100	11	NNP	fiction
