id	model.x	model.y	lemma	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight_x100	wcratio_x100	weighted_cw	wf	new_pos	new_broad_genre	mean_weight	weighted.cues_ratio
church/NN/br-k10/1445	-0.486343256426012	-0.131273916813836	church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 same:`` Anything that affects souls is the concern of the <font color=green>Church</font> ! We will have righteousness''! Tears burned behind his eyes as	3	0	331	0	1	Church	NNP	fiction	3.31	0
church/NN/br-k10/271	-0.268074044064379	-0.349061490050028	church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 fingers at their sins. I say to you that the <font color=green>Church</font>  will ever decry evil''! John 's reply was like a	3	0	333	0	1	Church	NNP	fiction	3.33	0
church/NN/br-k10/588	-0.12705364129928	-0.189583098146462	church	NN	fiction_gral	fiction	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 to let them give him the last rites of the <font color=green>Church</font> , but he had died still proclaiming salvation by faith. Burial	3	1	332	33	2	Church	NNP	fiction	3.32	0.33
church/NN/br-k10/967	-0.447025965935437	0.0489492665634454	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 all the time. Quickening his steps, John entered the vast <font color=green>church</font>  and climbed the tower steps to the bells. Underneath the	6	1	410	17	1	church	NN	fiction	4.1	0.17
church/NN/br-k13/533	-0.428651029496153	-0.138847748901877	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 Harold indicated the photograph on the wall and asked what <font color=green>church</font>  the stone sculpture was in. Eugene told him and he	3	1	305	33	1	church	NN	fiction	3.05	0.33
church/NN/br-k15/188	-0.297446001387135	0.098886298636895	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 They held the funeral the next morning from the crossroads <font color=green>church</font>  and buried the little box in the quiet family plot	6	2	310	33	2	church	NN	fiction	3.1	0.33
church/NN/br-k16/1431	-0.460965338824717	0.162335692001677	church	NN	fiction_gral	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 thickets. Along Wappinger Creek in Dutchess County, past the white <font color=green>church</font>  at Fishkill, past Verplanck 's Point on the east bank	6	1	309	17	1	church	NN	fiction	3.09	0.17
church/NN/br-l08/1824	-0.249077673847777	0.118830142021522	church	NN	fiction_mystery	fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 did n't feel good on Sunday, could n't go to <font color=green>church</font> - there 'd be a little argument, but she could be	3	1	307	33	1	church	NN	fiction	3.07	0.33
church/NN/br-p01/1161	-0.416251087374437	-0.0451330082164962	church	NN	fiction_romance	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 hill, rising with the hill to the top where the <font color=green>church</font>  was and beyond that to the cemetery. Only paved alleyways	7	1	409	14	1	church	NN	fiction	4.09	0.14
church/NN/br-p01/21	-0.447025965935437	0.0489492665634454	church	NN	fiction_romance	fiction	D	D	DE	CDE	church_tower%1:06:00::	D	D	DE	CDE	 them he could have been the broken bell in the <font color=green>church</font>  tower which rang before and after Mass, and at noon	4	1	410	25	1	church	NN	fiction	4.1	0.25
church/NN/br-p01/222	-0.199177782943708	0.0623200304971716	church	NN	fiction_romance	fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 from its elders. Youth obeyed when commanded. It went to <font color=green>church</font>  on Sunday and one Saturday a month went to confession	5	2	306	40	2	church	NN	fiction	3.06	0.4
church/NN/br-p04/2406	-0.416251087374437	-0.0451330082164962	church	NN	fiction_romance	fiction	D	D	DE	CDE	Z	Z	Z	Z	Z	 sky. She felt mindless, walking, and almost easy until the <font color=green>church</font>  spire told her she was near the cemetery, and she	3	1	409	33	1	church	NN	fiction	4.09	0.33
church/NN/br-p04/983	-0.416251087373877	-0.0451330082165047	church	NN	fiction_romance	fiction	D	D	DE	CDE	Z	Z	Z	Z	Z	 beyond the door. To a Blackwell, there was only one <font color=green>church</font> . The cemetery slumbered just behind it, and the way lay	2	1	409	50	1	church	NN	fiction	4.09	0.5
church/NN/br-p12/1014	-0.303930085091616	0.411964518462172	church	NN	fiction_romance	fiction	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 Then they took a taxi to Trastevere.`` There 's a <font color=green>church</font>  you should see'', she said. And when they stood by	3	1	316	33	1	church	NN	fiction	3.16	0.33
church/NN/br-p12/1260	-0.0569302732923249	-0.0163433351156426	church	NN	fiction_romance	fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 snuggled against him, he wondered if she ever went to <font color=green>church</font> . Why did he want her to go to church? he	2	0	346	0	1	church	NN	fiction	3.46	0
church/NN/br-p12/1270	-0.0569302732923249	-0.0163433351156426	church	NN	fiction_romance	fiction	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 to church. Why did he want her to go to <font color=green>church</font> ? he wondered. Probably because it was a place where she	2	0	346	0	1	church	NN	fiction	3.46	0
church/NN/br-p12/1433	0.0697383017983646	-0.155532018484251	church	NN	fiction_romance	fiction	C	C	C	CDE	church%1:04:00::	E	E	DE	CDE	 woman though, she would take only what she needed from <font color=green>church</font> . It was too bad he was n't a Catholic himself	3	1	438	33	1	church	NN	fiction	4.38	0.33
church/NNP/br-a17/2134	-0.130847493189132	0.346870707089805	church	NNP	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 at the ceremony in Slaughter Chapel of the First Baptist <font color=green>Church</font> . Dan Beam presented music and the bride was given in	2	0	388	0	2	Church	NNP	press	3.88	0
church/NNP/br-a18/760	-0.150560905798795	0.289992021621595	church	NNP	press_reportage	press	C	C	C	CDE	Z	Z	Z	Z	Z	 the party. The women 's committee of St. David 's <font color=green>Church</font>  will hold its annual pre-Fair pink parade, a dessert bridge	5	1	337	20	3	Church	NNP	press	3.37	0.2
church/NNP/br-a31/2143	-0.0919619685343064	0.352274647728706	church	NNP	press_reportage	press	C	C	C	CDE	Z	Z	Z	Z	Z	 7: 45 p. m.. The outstanding family of Central Nazarene <font color=green>Church</font>  will be picked by ballot from among eight families during	3	0	397	0	2	Church	NNP	press	3.97	0
church/NNP/br-a35/810	0.391854435301319	0.154680677995469	church	NNP	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 deserves closer scrutiny. For while the past needs of the <font color=green>Church</font>  in this country may have been adequately met by collegiate	2	0	406	0	2	Church	NNP	press	4.06	0
church/NNP/br-b08/1804	-0.138160996457896	0.118534628828829	church	NNP	press_editorial	press	C	C	C	CDE	Z	Z	Z	Z	Z	 his letter of resignation as rector of St. Luke 's <font color=green>Church</font>  in Atlanta. It was the cry of not just one	3	1	328	33	3	Church	NNP	press	3.28	0.33
church/NNP/br-b12/2221	0.0201640952724813	-0.00973102793952381	church	NNP	press_editorial	press	B	B	AB	AB	Z	Z	Z	Z	Z	 committee made up of representatives of the Church of England, <font color=green>Church</font>  of Scotland, Methodist Church, Congregational Union, Baptist Union, Presbyterian Church	9	3	412	33	3	Church	NNP	press	4.12	0.33
