id	model.x	model.y	lemma	wf	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight_x100	wcratio_x100	weighted_cw	new_pos	new_broad_genre	mean_weight	weighted.cues_ratio
country/NN/br-b02/2021	-0.0895249534360125	-0.0332935226752169	country	country	NN	press_editorial	press	B	B	B14	B	Z	Z	Z	Z	Z	 in the fighting- this last big effort to seal that <font color=green>country</font>  from the cold war had to be made. The world	3	1	196	33	5	NN	press	1.96	0.33
country/NN/br-b05/2003	-0.0783148489481546	0.0280836303538849	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 it the recreation spot of people from all over the <font color=green>country</font> . By comparison, Stone Harbor bird sanctuary 's allies seem less	6	4	178	67	7	NN	press	1.78	0.67
country/NN/br-b05/2202	-0.187517047874235	-0.0470031810035754	country	country	NN	press_editorial	press	B3	B	B23	B	Z	Z	Z	Z	Z	 day. Then off to a remote place in an underdeveloped <font color=green>country</font>  where the diet, culture, language and living conditions will be	7	5	185	71	5	NN	press	1.85	0.71
country/NN/br-b05/482	-0.0670346401718072	-0.0420105937150544	country	country	NN	press_editorial	press	B	B	B14	B	Z	Z	Z	Z	Z	 for world trade as a condition of national survival, this <font color=green>country</font>  can have little patience with labor 's family feuds. The	7	4	194	57	4	NN	press	1.94	0.57
country/NN/br-b05/98	-0.0759084900074961	-0.0304730259783441	country	country	NN	press_editorial	press	B4	B	B14	B	Z	Z	Z	Z	Z	 off the Dominican coast, there is every possibility that the <font color=green>country</font>  would now be wracked by civil war. Ultimately either the	5	3	192	60	4	NN	press	1.92	0.6
country/NN/br-b09/110	-0.157454804932436	0.147962444712703	country	country	NN	press_editorial	press	A	A	A	A	Z	Z	Z	Z	Z	 the Pod porch, alone. He had that day attended a <font color=green>country</font>  auction, and he had come back with a prize. The	3	2	212	67	3	NN	press	2.12	0.67
country/NN/br-b10/2098	-0.0326154853767039	0.00954799652184822	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 in the past few years is still available in this <font color=green>country</font> . The work is executed in England( by hand) and can	3	3	177	100	6	NN	press	1.77	1
country/NN/br-b11/138	-0.0320577616842646	0.0387946780804744	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 December that would enlist top-drawer Democrats from all over the <font color=green>country</font> . Blueprints for doubling the CDC 's present 55000 enrollment. Arrangements	3	2	172	67	6	NN	press	1.72	0.67
country/NN/br-b11/1896	-0.0236024561251768	0.175749598573306	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 made its first appearance as the Saturday Evening Post. The <font color=green>country</font>  was now full of Gazettes and Samuel C. Atkinson and	2	0	183	0	4	NN	press	1.83	0
country/NN/br-b11/1989	-0.211874575739236	0.0926508209466807	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 Post was one of the most popular weeklies in the <font color=green>country</font> . But during the second half of the century its fortunes	3	1	138	33	2	NN	press	1.38	0.33
country/NN/br-b11/2098	-0.132201300254527	0.0550974470946029	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 again became one of the most popular weeklies of the <font color=green>country</font> .`` Remember the French railroad baron who was going to take	3	1	151	33	3	NN	press	1.51	0.33
country/NN/br-b15/1451	-0.112258072761252	0.0507608056237786	country	country	NN	press_editorial	press	B4	B	B14	B	Z	Z	Z	Z	Z	 Russia, not in the least! I am proud of my <font color=green>country</font> , the small city I live in, my wonderful parents, my	3	1	142	33	3	NN	press	1.42	0.33
country/NN/br-b16/1464	-0.00953460660733434	0.0452315698351711	country	country	NN	press_editorial	press	B4	B	B14	B	Z	Z	Z	Z	Z	 perhaps, one of the things that is wrong with our <font color=green>country</font> ? Engineering graduates of Illinois Institute of Technology are reported receiving	3	2	194	67	7	NN	press	1.94	0.67
country/NN/br-b16/2025	-0.0669554123321699	-0.0308584447572391	country	country	NN	press_editorial	press	B4	B	B14	B	Z	Z	Z	Z	Z	 in London while they finished their drinks. They do our <font color=green>country</font>  great harm by such actions. Those in the public eye	4	2	188	50	4	NN	press	1.88	0.5
country/NN/br-b16/284	-0.0339387519535618	-0.056464588336698	country	country	NN	press_editorial	press	B3	B	B23	B	Z	Z	Z	Z	Z	 in world peace, increased world trade, and prosperity for every <font color=green>country</font>  on the globe. Let us prepare for peace, instead of	5	5	182	100	7	NN	press	1.82	1
country/NN/br-b16/85	-0.0399508005716635	-0.119383826171108	country	country	NN	press_editorial	press	B4	B	B14	B	Z	Z	Z	Z	Z	 win his present position, Mr. Kennedy was vitriolic about this <font color=green>country</font>  's`` prestige'' abroad. What does he think a remark like	2	2	202	100	3	NN	press	2.02	1
country/NN/br-b17/1988	-0.00464231477506701	-0.00730707723649012	country	country	NN	press_editorial	press	B4	B	B14	B	Z	Z	Z	Z	Z	 Humphrey be serious in his proposal? Is nothing in this <font color=green>country</font>  more sacred than the tourists' comfort? Perhaps the idea of	3	1	162	33	7	NN	press	1.62	0.33
country/NN/br-b18/873	0.248449370454262	0.00412698535845316	country	country	NN	press_editorial	press	B2	B	B23	B	Z	Z	Z	Z	Z	 did not include repeal of the Connally amendment to this <font color=green>country</font>  's domestic jurisdiction reservation to its Adherence to the Statute	4	2	206	50	3	NN	press	2.06	0.5
country/NN/br-b19/286	-0.104481935148058	-0.0667487074071736	country	country	NN	press_editorial	press	B2	B	B23	B	Z	Z	Z	Z	Z	 wrongs can make a right! I am referring to this <font color=green>country</font>  conducting atmosphere tests of nuclear bombs just because Russia is	3	3	191	100	6	NN	press	1.91	1
country/NN/br-b20/2202	-0.0333346781996173	-0.0283758973290481	country	country	NN	press_editorial	press	B2	B	B23	B	country%1:14:00::	B2	B	BB2	B	 more serious should the cold war mount in frenzy. The <font color=green>country</font>  is committed to the doctrine of security by military means	5	2	165	40	7	NN	press	1.65	0.4
country/NN/br-b20/308	-0.044791249225779	-0.0482147396469884	country	country	NN	press_editorial	press	B4	B	B14	B	country%1:15:00::	B1	B	B1	B	 that of diplomatic policy''. Morrison points out that since our <font color=green>country</font>  is more urbanized than the Soviet Union or Red China	5	3	204	60	6	NN	press	2.04	0.6
country/NN/br-b21/1131	-0.144593632006603	-0.00204477572843948	country	country	NN	press_editorial	press	B2	B	B23	B	Z	Z	Z	Z	Z	 devices, Ambassador Stevenson warned the UN General Assembly that this <font color=green>country</font> , in`` self protection'', might have to resume above-ground tests. More	3	2	196	67	6	NN	press	1.96	0.67
country/NN/br-b21/1487	-0.036168210795739	-0.0332358393674713	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 far more important as a potential health hazard in this <font color=green>country</font>  and throughout the world''. Dr. Linus Pauling, a Nobel Prize	4	2	190	50	5	NN	press	1.9	0.5
country/NN/br-b21/49	-0.0432774599266175	0.00760987101287451	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 But there is reason in all things, and in this <font color=green>country</font>  the heathenish cult of the motor-car is exceeding all bounds	3	3	173	100	6	NN	press	1.73	1
country/NN/br-b23/2111	-0.333980246963717	0.0508816015685501	country	country	NN	press_editorial	press	B2	B	B23	B	Z	Z	Z	Z	Z	 with the Communist bloc, and is busily turning his own <font color=green>country</font>  into a totalitarian dictatorship. As our planes land the war	4	1	221	25	3	NN	press	2.21	0.25
country/NN/br-b24/1149	-0.123015763527312	0.136747965429055	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 them can bolt one down in mid-shimmy. All over the <font color=green>country</font> , belly clubs have never been bigger, especially in Detroit, Boston	5	2	192	40	4	NN	press	1.92	0.4
country/NN/br-b25/328	-0.0151597311290607	-0.0139202820477485	country	country	NN	press_editorial	press	B2	B	B23	B	Z	Z	Z	Z	Z	 take a more direct and active part in running the <font color=green>country</font> . Also, elections would be more democratic; there might even be	4	3	151	75	5	NN	press	1.51	0.75
country/NN/br-b26/178	-0.0141423694251227	-0.00344743438195066	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 convinced that considering the average quality of teachers in this <font color=green>country</font> , the profession is grossly overpaid. It follows that teachers as	2	1	157	50	8	NN	press	1.57	0.5
country/NN/br-b27/1175	-0.101418991818202	0.103549847644894	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 to know he is getting mail from all over the <font color=green>country</font>  about the`` abuse'' he is being subjected to. We out	3	2	180	67	4	NN	press	1.8	0.67
country/NN/br-b27/1218	0.0635065319150814	-0.36103897588394	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 if this is the situation in other parts of the <font color=green>country</font> ; apparently it is not. It also happened with the Inauguration	2	1	314	50	1	NN	press	3.14	0.5
country/NN/br-b27/1414	0.00746090577110042	0.000190239108692778	country	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 in between. We had a couple of schools in this <font color=green>country</font> , the principal one being on the Marshall Field estate out	3	2	184	67	7	NN	press	1.84	0.67
country/NN/br-b27/595	-0.0497361004324852	0.0179277166454749	country	country	NN	press_editorial	press	B4	B	B14	B	Z	Z	Z	Z	Z	 and personal opinion called yellow journalism which flourished in this <font color=green>country</font>  more than a generation ago. We do n't need this	3	2	218	67	7	NN	press	2.18	0.67
country/NN/br-c01/2379	-0.0215765962372956	-0.0211264655873008	country	country	NN	press_reviews	press	B	B	B14	B	country%1:14:00::	B2	B	BB2	B	 in this last of the Russian films to reach this <font color=green>country</font>  in the program of joint cultural exchange. Also on the	4	3	193	75	6	NN	press	1.93	0.75
country/NN/br-c01/621	-0.304383793649302	0.292222536408941	country	country	NN	press_reviews	press	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 extraordinary, considers the finest house of its kind in the <font color=green>country</font> - and of course he does n't weep at the capacity	3	0	251	0	2	NN	press	2.51	0
country/NN/br-c01/944	-0.149384780571358	0.266477638812431	country	country	NN	press_reviews	press	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 bookers, cancellation of one of the richest bookings in the <font color=green>country</font> . Will somebody please reopen the Auditorium? Paintings and drawings by	2	0	210	0	4	NN	press	2.1	0
country/NN/br-c02/2222	-0.166458328536589	-0.0814877630557051	country	country	NN	press_reviews	press	B4	B	B14	B	country%1:14:00::	B2	B	BB2	B	 storylines too. He intimated that they were n't doing the <font color=green>country</font>  much good in the Cold War. And to an industry	2	0	221	0	2	NN	press	2.21	0
country/NN/br-c02/2265	-0.153395633676979	0.104892801896367	country	country	NN	press_reviews	press	B4	B	B14	B	country%1:14:00::	B2	B	BB2	B	 globe'', he said,`` the major source of impressions about this <font color=green>country</font>  are in the movies they meet. Would we want a	1	0	173	0	3	NN	press	1.73	0
country/NN/br-c03/731	-0.0082637001722209	0.00685130292006964	country	country	NN	press_reviews	press	B1	B	B14	B	Z	Z	Z	Z	Z	 of the very best is only now published in this <font color=green>country</font> , five years after its first publication in England. It is	3	3	173	100	5	NN	press	1.73	1
country/NN/br-c08/1831	-0.0712242252805918	0.0166324338315997	country	country	NN	press_reviews	press	B1	B	B14	B	Z	Z	Z	Z	Z	 African roots among the slaves who were brought to this <font color=green>country</font>  and the West Indies, he stressed the close relationship between	4	1	196	25	6	NN	press	1.96	0.25
country/NN/br-c10/1333	-0.113329826946839	0.199103532243333	country	country	NN	press_reviews	press	B1	B	B14	B	Z	Z	Z	Z	Z	 although I saw Jouvet as Arnolphe when he visited this <font color=green>country</font>  shortly before his death; by that time, he seemed to	1	1	199	100	2	NN	press	1.99	1
country/NN/br-c14/1501	-0.296551108884972	0.311049316942626	country	country	NN	press_reviews	press	A	A	A	A	Z	Z	Z	Z	Z	 best essays Mr. Sansom expresses his enthusiasm for the many <font color=green>country</font>  mansions designed by Andrea Palladio himself that dot the environs	3	0	216	0	1	NN	press	2.16	0
country/NN/br-c14/2215	-0.202362835371806	0.108405904924628	country	country	NN	press_reviews	press	B	B	B14	B	Z	Z	Z	Z	Z	 particular type of music or the music of a given <font color=green>country</font> . It is commendable that a regularly scheduled hour is set	2	2	168	100	4	NN	press	1.68	1
country/NN/br-c15/2033	-0.179142378169678	0.097475997435768	country	country	NN	press_reviews	press	A1	A	A	A	Z	Z	Z	Z	Z	 buoys in dozens of frostbite races. Some pleasant fall cruising <font color=green>country</font>  is mapped out below. Pleasure boating is just scooting into	3	0	184	0	5	NN	press	1.84	0
country/NN/br-c15/2317	-0.183665710097765	0.248890002465119	country	country	NN	press_reviews	press	B1	B	B14	B	Z	Z	Z	Z	Z	 fishing in the Brazos) or pushing eastward to the pirate <font color=green>country</font>  of Barataria. Off Grand Isle, yachters often visit the towering	3	0	183	0	1	NN	press	1.83	0
country/NNS/br-a04/1454	-0.020866817697491	-0.00882698118269003	country	countries	NNS	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 did recommend that President Kennedy state clearly that if Communist <font color=green>countries</font>  shipped any further arms to Cuba that it would not	3	2	188	67	6	NNS	press	1.88	0.67
country/NNS/br-a04/766	0.00180332693497305	-0.0407576384201694	country	countries	NNS	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 ratified) as a method of coordinating aid to the underdeveloped <font color=green>countries</font> , and the need for strengthening conventional forces as well as	4	3	230	75	8	NNS	press	2.3	0.75
country/NNS/br-a04/938	-0.00200324964153198	-0.0343747904006924	country	countries	NNS	press_reportage	press	B2	B	B23	B	Z	Z	Z	Z	Z	 Viet Nam. They count on the aid of the neutral <font color=green>countries</font>  attending the Geneva conference to achieve this. The United States	4	3	259	75	8	NNS	press	2.59	0.75
country/NNS/br-a07/1587	-0.1184088885466	-0.149090480514534	country	countries	NNS	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 the successful banker. Indonesia is one of the twenty under-developed <font color=green>countries</font>  of Asia, Africa and Latin America that are receiving Soviet	4	0	287	0	4	NNS	press	2.87	0
country/NNS/br-a07/1628	0.00824462773160056	-0.0482120389658581	country	countries	NNS	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 technical and military assistance to the uncommitted nations. The Communist <font color=green>countries</font>  allocated more than$ 1000000000 in economic aid alone last year	5	4	234	80	6	NNS	press	2.34	0.8
country/NNS/br-a07/1659	0.0285097811307349	0.00811196230729973	country	countries	NNS	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 biggest annual outlay since the Communist program for the under-developed <font color=green>countries</font>  made its modest beginning in 1954. In 1960 more than	3	1	205	33	4	NNS	press	2.05	0.33
country/NNS/br-a07/1678	0.0405837889445246	0.023532769495932	country	countries	NNS	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 1960 more than 6000 Communist technicians were present in those <font color=green>countries</font> . A committee of experts has recommended that a country 's	1	0	227	0	5	NNS	press	2.27	0
country/NNS/br-a07/1769	-0.0493002077288314	-0.0463264803133432	country	countries	NNS	press_reportage	press	B2	B	B23	B	Z	Z	Z	Z	Z	 take jobs from European nations and give more to such <font color=green>countries</font>  as India. India is the most populous United Nations member	5	2	264	40	6	NNS	press	2.64	0.4
country/NNS/br-a10/167	-0.014767174872553	-0.0072056990415117	country	countries	NNS	press_reportage	press	B4	B	B14	B	Z	Z	Z	Z	Z	 350 persons that the United States' challenge was to help <font color=green>countries</font>  build their own societies their own ways, following their own	4	3	195	75	9	NNS	press	1.95	0.75
country/NNS/br-a10/231	-0.122295062844585	-0.0576817817251667	country	countries	NNS	press_reportage	press	B4	B	B14	B	Z	Z	Z	Z	Z	 want it will lack ritiuality and loyalty. Insuring that the <font color=green>countries</font>  have a freedom of choice, he said, was the biggest	2	2	228	100	4	NNS	press	2.28	1
country/NNS/br-a10/304	-0.054959382491007	0.00929528340088882	country	countries	NNS	press_reportage	press	B4	B	B14	B	Z	Z	Z	Z	Z	 Martin called for patience on the part of Americans.`` The <font color=green>countries</font>  are trying to build in a decade the kind of	2	2	237	100	6	NNS	press	2.37	1
country/NNS/br-a10/384	0.00288981604841882	-0.0234671974439531	country	countries	NNS	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 Economically, Martin said, the United States could best help foreign <font color=green>countries</font>  by helping them help themselves. Private business is more effective	5	3	230	60	7	NNS	press	2.3	0.6
country/NNS/br-a10/89	-0.00601236384922622	-0.00968083710986237	country	countries	NNS	press_reportage	press	B2	B	B23	B	Z	Z	Z	Z	Z	 is married and the father of three children. Helping foreign <font color=green>countries</font>  to build a sound political structure is more important than	3	3	186	100	10	NNS	press	1.86	1
