_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	foc_base
schaal.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.06435354131020257	-0.12515834924500563	1	FOC	329	296	schaal	NA	NA	bound	407	lex	3_3	no	nav	4_4	BOW
schaal.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.06511933885795777	-0.1273452942315058	1	FOC	407	296	schaal	NA	NA	bound	407	lex	3_3	no	all	4_4	BOW
schaal.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.11371705130999549	-0.04094830554274177	1	5000	5000	317	schaal	NA	NA	bound	353	all	3_3	weight	nav	4_4	BOW
schaal.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	-0.1518125914704047	-0.027626873472710107	1	5000	5000	317	schaal	NA	NA	bound	353	all	3_3	weight	all	4_4	BOW
schaal.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.052139111296530836	-0.04398556049140575	1	FOC	233	317	schaal	NA	NA	bound	353	all	3_3	weight	nav	4_4	BOW
schaal.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.05979581905216796	-0.03709508805896713	1	FOC	353	317	schaal	NA	NA	bound	353	all	3_3	weight	all	4_4	BOW
schaal.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	-0.053421540737062796	0.07674249120123632	1	5000	5000	317	schaal	NA	NA	bound	353	all	3_3	selection	nav	4_4	BOW
schaal.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	-0.10379461007690811	0.16908301754504357	1	5000	5000	317	schaal	NA	NA	bound	353	all	3_3	selection	all	4_4	BOW
schaal.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.051853908967998324	0.060817242867187565	1	FOC	233	317	schaal	NA	NA	bound	353	all	3_3	selection	nav	4_4	BOW
schaal.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.03522143316647813	0.05406997994160872	1	FOC	353	317	schaal	NA	NA	bound	353	all	3_3	selection	all	4_4	BOW
schaal.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	-0.021177517642872273	0.08316803002634564	1	5000	5000	317	schaal	NA	NA	bound	538	all	3_3	no	nav	4_4	BOW
schaal.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	-0.0683127374870667	0.21808342835771788	1	5000	5000	317	schaal	NA	NA	bound	538	all	3_3	no	all	4_4	BOW
schaal.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.07991495420831607	0.066362611350557	1	FOC	329	317	schaal	NA	NA	bound	538	all	3_3	no	nav	4_4	BOW
schaal.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.07823574252472704	0.06869411037418545	1	FOC	538	317	schaal	NA	NA	bound	538	all	3_3	no	all	4_4	BOW
schaal.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.04240429233101512	-0.059044372418303105	1	5000	5000	315	schaal	NA	NA	nobound	640	lex	10_10	weight	nav	4_4	BOW
schaal.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.12196967494162497	-0.10276651980881907	1	5000	5000	315	schaal	NA	NA	nobound	640	lex	10_10	weight	all	4_4	BOW
schaal.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.01764056192648871	-0.08376514155514125	1	FOC	506	315	schaal	NA	NA	nobound	640	lex	10_10	weight	nav	4_4	BOW
schaal.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	0.01113354003982634	-0.07416928616483152	1	FOC	640	315	schaal	NA	NA	nobound	640	lex	10_10	weight	all	4_4	BOW
schaal.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.1240781943209704	-0.07049335986074423	1	5000	5000	315	schaal	NA	NA	nobound	640	lex	10_10	selection	nav	4_4	BOW
schaal.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.11725454708601245	-0.3092407781741144	1	5000	5000	315	schaal	NA	NA	nobound	640	lex	10_10	selection	all	4_4	BOW
schaal.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.19081250649134607	-0.0906617719624145	1	FOC	506	315	schaal	NA	NA	nobound	640	lex	10_10	selection	nav	4_4	BOW
schaal.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.1794379893600926	-0.08252063574336779	1	FOC	640	315	schaal	NA	NA	nobound	640	lex	10_10	selection	all	4_4	BOW
schaal.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.27367441040237517	-0.0912938080383931	1	5000	5000	318	schaal	NA	NA	nobound	1410	lex	10_10	no	nav	4_4	BOW
schaal.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	0.5948212840968657	-0.19818690444570705	1	5000	5000	318	schaal	NA	NA	nobound	1410	lex	10_10	no	all	4_4	BOW
schaal.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.2812253631609244	-0.08253219746583591	1	FOC	1092	318	schaal	NA	NA	nobound	1410	lex	10_10	no	nav	4_4	BOW
schaal.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.28807154113274824	-0.0794559170962519	1	FOC	1410	318	schaal	NA	NA	nobound	1410	lex	10_10	no	all	4_4	BOW
schaal.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.0491633964280218	-0.028654760715229516	1	5000	5000	318	schaal	NA	NA	nobound	809	all	10_10	weight	nav	4_4	BOW
schaal.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.10449328325059573	-0.008487852619818836	1	5000	5000	318	schaal	NA	NA	nobound	809	all	10_10	weight	all	4_4	BOW
schaal.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.020347383409264265	-0.049263111431517403	1	FOC	506	318	schaal	NA	NA	nobound	809	all	10_10	weight	nav	4_4	BOW
schaal.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.010475424565298588	-0.04034732986280689	1	FOC	809	318	schaal	NA	NA	nobound	809	all	10_10	weight	all	4_4	BOW
schaal.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.24117850048406417	0.08641291947919134	1	5000	5000	318	schaal	NA	NA	nobound	809	all	10_10	selection	nav	4_4	BOW
schaal.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.25002588060193276	0.3917531075112473	1	5000	5000	318	schaal	NA	NA	nobound	809	all	10_10	selection	all	4_4	BOW
schaal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.26094755379509393	-0.0015377764955639593	1	FOC	506	318	schaal	NA	NA	nobound	809	all	10_10	selection	nav	4_4	BOW
schaal.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.25772879540675814	0.012633878015072016	1	FOC	809	318	schaal	NA	NA	nobound	809	all	10_10	selection	all	4_4	BOW
schaal.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	0.365237985515646	0.00676864450066668	1	5000	5000	318	schaal	NA	NA	nobound	1858	all	10_10	no	nav	4_4	BOW
schaal.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.5837205130368859	0.32536967877607853	1	5000	5000	318	schaal	NA	NA	nobound	1858	all	10_10	no	all	4_4	BOW
schaal.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.3554902210602047	-0.01549955081226908	1	FOC	1092	318	schaal	NA	NA	nobound	1858	all	10_10	no	nav	4_4	BOW
schaal.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	0.3860356345910101	0.0042379375901788995	1	FOC	1858	318	schaal	NA	NA	nobound	1858	all	10_10	no	all	4_4	BOW
schaal.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.07438682108326314	-0.08149377556676339	1	5000	5000	305	schaal	NA	NA	nobound	440	lex	5_5	weight	nav	4_4	BOW
schaal.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.15626837820083875	-0.11797359828822826	1	5000	5000	305	schaal	NA	NA	nobound	440	lex	5_5	weight	all	4_4	BOW
schaal.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.019493659062094864	-0.104043224375319	1	FOC	352	305	schaal	NA	NA	nobound	440	lex	5_5	weight	nav	4_4	BOW
schaal.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.019823511767375644	-0.09413435275581516	1	FOC	440	305	schaal	NA	NA	nobound	440	lex	5_5	weight	all	4_4	BOW
schaal.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	0.007503000697420584	-0.10553340354877401	1	5000	5000	305	schaal	NA	NA	nobound	440	lex	5_5	selection	nav	4_4	BOW
schaal.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.1116725875117963	-0.2094840546401147	1	5000	5000	305	schaal	NA	NA	nobound	440	lex	5_5	selection	all	4_4	BOW
schaal.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.10062312941189855	-0.11483464122443449	1	FOC	352	305	schaal	NA	NA	nobound	440	lex	5_5	selection	nav	4_4	BOW
schaal.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.09417440310533222	-0.10705366578397274	1	FOC	440	305	schaal	NA	NA	nobound	440	lex	5_5	selection	all	4_4	BOW
schaal.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	0.09389345154538019	-0.07176204081865609	1	5000	5000	316	schaal	NA	NA	nobound	736	lex	5_5	no	nav	4_4	BOW
schaal.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	0.09811409091844193	-0.3657112400892881	1	5000	5000	316	schaal	NA	NA	nobound	736	lex	5_5	no	all	4_4	BOW
schaal.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	0.15826304978635747	-0.07379373000843262	1	FOC	590	316	schaal	NA	NA	nobound	736	lex	5_5	no	nav	4_4	BOW
schaal.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	0.16261113368581473	-0.07045407114688218	1	FOC	736	316	schaal	NA	NA	nobound	736	lex	5_5	no	all	4_4	BOW
schaal.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.07790115081294775	-0.030962671461568846	1	5000	5000	318	schaal	NA	NA	nobound	557	all	5_5	weight	nav	4_4	BOW
schaal.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.12439078767883809	-0.011653599070039255	1	5000	5000	318	schaal	NA	NA	nobound	557	all	5_5	weight	all	4_4	BOW
schaal.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.012478373805450357	-0.04854457841507979	1	FOC	352	318	schaal	NA	NA	nobound	557	all	5_5	weight	nav	4_4	BOW
schaal.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.01597034935441457	-0.03584912046095402	1	FOC	557	318	schaal	NA	NA	nobound	557	all	5_5	weight	all	4_4	BOW
schaal.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.059352024701142994	0.08527519831625864	1	5000	5000	318	schaal	NA	NA	nobound	557	all	5_5	selection	nav	4_4	BOW
schaal.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.028129652014549044	0.2881960488571241	1	5000	5000	318	schaal	NA	NA	nobound	557	all	5_5	selection	all	4_4	BOW
schaal.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.14789145516660795	0.0047374692816154204	1	FOC	352	318	schaal	NA	NA	nobound	557	all	5_5	selection	nav	4_4	BOW
schaal.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.13540306478415112	0.012898022101800426	1	FOC	557	318	schaal	NA	NA	nobound	557	all	5_5	selection	all	4_4	BOW
schaal.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.14378656413538118	0.07442592335934609	1	5000	5000	318	schaal	NA	NA	nobound	976	all	5_5	no	nav	4_4	BOW
schaal.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.17699573904370358	0.3746521063634342	1	5000	5000	318	schaal	NA	NA	nobound	976	all	5_5	no	all	4_4	BOW
schaal.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.19381919954820787	0.020205373713142398	1	FOC	590	318	schaal	NA	NA	nobound	976	all	5_5	no	nav	4_4	BOW
schaal.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	0.2207381364958566	0.046580674628547064	1	FOC	976	318	schaal	NA	NA	nobound	976	all	5_5	no	all	4_4	BOW
schaal.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.09770888261402187	-0.07649575531861448	1	5000	5000	282	schaal	NA	NA	nobound	296	lex	3_3	weight	nav	4_4	BOW
schaal.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.16636689964540605	-0.09431879072649832	1	5000	5000	282	schaal	NA	NA	nobound	296	lex	3_3	weight	all	4_4	BOW
schaal.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.05470461009874882	-0.08387046857275722	1	FOC	241	282	schaal	NA	NA	nobound	296	lex	3_3	weight	nav	4_4	BOW
schaal.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.05679485959076749	-0.0830748842955314	1	FOC	296	282	schaal	NA	NA	nobound	296	lex	3_3	weight	all	4_4	BOW
schaal.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.08693921564492128	-0.09525189081208431	1	5000	5000	282	schaal	NA	NA	nobound	296	lex	3_3	selection	nav	4_4	BOW
schaal.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.16855321654878297	-0.12323359187224658	1	5000	5000	282	schaal	NA	NA	nobound	296	lex	3_3	selection	all	4_4	BOW
schaal.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.007854796136314285	-0.12165306768146182	1	FOC	241	282	schaal	NA	NA	nobound	296	lex	3_3	selection	nav	4_4	BOW
schaal.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.003039207435268358	-0.11557844728146001	1	FOC	296	282	schaal	NA	NA	nobound	296	lex	3_3	selection	all	4_4	BOW
schaal.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.041863640985705206	-0.10574310804981664	1	5000	5000	296	schaal	NA	NA	nobound	424	lex	3_3	no	nav	4_4	BOW
schaal.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.15921502118684952	-0.2010997029950004	1	5000	5000	296	schaal	NA	NA	nobound	424	lex	3_3	no	all	4_4	BOW
schaal.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.05915159598641392	-0.12250447488469579	1	FOC	342	296	schaal	NA	NA	nobound	424	lex	3_3	no	nav	4_4	BOW
schaal.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.06047317698339533	-0.12396188900952909	1	FOC	424	296	schaal	NA	NA	nobound	424	lex	3_3	no	all	4_4	BOW
schaal.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.11782727044139583	-0.04365118082063378	1	5000	5000	317	schaal	NA	NA	nobound	366	all	3_3	weight	nav	4_4	BOW
schaal.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	-0.15664452337142193	-0.03086436758897788	1	5000	5000	317	schaal	NA	NA	nobound	366	all	3_3	weight	all	4_4	BOW
schaal.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.0575253523807871	-0.04982881977412494	1	FOC	241	317	schaal	NA	NA	nobound	366	all	3_3	weight	nav	4_4	BOW
schaal.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.06361081638671678	-0.04048177921638972	1	FOC	366	317	schaal	NA	NA	nobound	366	all	3_3	weight	all	4_4	BOW
